Table with column headers in row 5 and row headers in column A,,,,
Table 1. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Alabama:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,"4,497,352",490,"107,436","2,608"
Speak only English at home,"4,261,611","3,627",(X),(X)
Speak a language other than English at home,"235,741","3,580","107,436","2,608"
SPANISH AND SPANISH CREOLE,"151,384","2,607","78,970","2,312"
..Spanish,"151,385","2,607","78,970","2,312"
OTHER INDO-EUROPEAN LANGUAGES,"38,001","1,797","7,995",662
".French (incl. Patois, Cajun)","7,379",653,"1,190",217
..French,"7,195",647,"1,165",216
..Patois,140,96,(D),(D)
..Cajun,40,38,(D),(D)
.French Creole,333,127,90,68
.Italian,"1,672",293,440,150
.Portuguese (incl. Portuguese Creole),"1,374",337,421,193
..Portuguese,"1,375",337,420,193
.German (incl. Luxembourgian),"10,038",816,"1,526",275
..German,"10,040",816,"1,525",275
.Yiddish,18,21,9,16
.Other West Germanic languages,935,280,86,61
..Pennsylvania Dutch,(D),(D),(B),--
..Dutch,725,269,85,61
..Afrikaans,170,154,(B),--
.Scandinavian languages,286,128,6,9
..Swedish,125,75,(D),(D)
..Danish,45,51,(B),--
..Norwegian,90,63,(B),--
..Icelandic,25,31,(B),--
.Greek,918,258,145,72
.Russian,"1,325",293,480,176
.Polish,384,135,73,53
.Serbo-Croatian languages,465,244,137,102
..Serbocroatian,170,123,40,53
..Croatian,195,152,80,81
..Serbian,100,118,(D),(D)
.Other Slavic languages,556,196,126,88
..Ukrainian,55,61,45,58
..Czech,310,159,85,63
..Bulgarian,95,87,(B),--
..Macedonian,95,85,(B),--
..Slovene,(D),(D),(B),--
.Armenian,50,44,(B),--
.Persian,"1,010",320,412,187
.Hindi,"3,236",593,885,299
.Gujarati,"2,630",623,674,307
.Urdu,"1,306",396,263,112
.Other Indic languages,"3,191",687,858,275
..India n.e.c.3,860,461,245,198
