Table with column headers in row 5 and row headers in column A,,,,
Table 1. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for United States:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,291484482.00,3346.00,25148900.00,63553.00
Speak only English at home,231122908.00,108816.00,(X),(X)
Speak a language other than English at home,60361574.00,107227.00,25148900.00,63553.00
SPANISH AND SPANISH CREOLE,37458624.00,64494.00,16344473.00,40610.00
..Spanish,37458470.00,64494.00,16344440.00,40610.00
..Ladino,130.00,62.00,25.00,23.00
..Pachuco,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,10737607.00,37771.00,3424558.00,22396.00
".French (incl. Patois, Cajun)",1307742.00,10490.00,266120.00,4546.00
..French,1253560.00,10278.00,258730.00,4421.00
..Patois,32900.00,1658.00,4695.00,558.00
..Cajun,21285.00,1152.00,2695.00,344.00
.French Creole,739725.00,11244.00,323689.00,6652.00
.Italian,708966.00,7910.00,191724.00,3380.00
.Portuguese (incl. Portuguese Creole),693469.00,9721.00,269805.00,5692.00
..Portuguese,692500.00,9692.00,269615.00,5681.00
..Papia Mentae,970.00,244.00,190.00,98.00
.German (incl. Luxembourgian),1063773.00,9107.00,174758.00,2680.00
..German,1063275.00,9084.00,174735.00,2679.00
..Luxembourgian,500.00,160.00,25.00,23.00
.Yiddish,155582.00,4119.00,53116.00,2156.00
.Other West Germanic languages,298287.00,5640.00,71112.00,2264.00
..Pennsylvania Dutch,133190.00,4050.00,44075.00,1856.00
..Dutch,141580.00,3609.00,25030.00,1466.00
..Afrikaans,23010.00,1525.00,1885.00,318.00
..Frisian,510.00,171.00,120.00,65.00
.Scandinavian languages,128339.00,3694.00,13312.00,901.00
..Swedish,55735.00,2458.00,5045.00,494.00
..Danish,28285.00,1453.00,3030.00,479.00
..Norwegian,39430.00,1684.00,4675.00,483.00
..Icelandic,4865.00,552.00,565.00,161.00
..Faroese,30.00,32.00,(B),--
.Greek,304932.00,5423.00,75799.00,2576.00
.Russian,879434.00,11909.00,416526.00,6732.00
.Polish,580153.00,7412.00,235241.00,3866.00
.Serbo-Croatian languages,267979.00,7071.00,103432.00,3261.00
..Serbocroatian,144675.00,5055.00,62965.00,2703.00
..Croatian,53040.00,2104.00,15930.00,1057.00
..Serbian,70260.00,3323.00,24540.00,1549.00
.Other Slavic languages,316501.00,6944.00,120594.00,3743.00
..Bielorussian,1805.00,410.00,1035.00,261.00
..Ukrainian,152325.00,4959.00,71915.00,2753.00
..Czech,47385.00,2026.00,11235.00,977.00
..Lusatian,(D),(D),(B),--
..Slovak,27930.00,1486.00,7125.00,749.00
..Bulgarian,57785.00,2567.00,19455.00,1382.00
..Macedonian,22885.00,1707.00,8125.00,789.00
..Slovene,6370.00,622.00,1705.00,285.00
.Armenian,237840.00,5378.00,106794.00,2839.00
.Persian,391113.00,7265.00,144876.00,3812.00
.Hindi,643337.00,9342.00,132631.00,3943.00
.Gujarati,373253.00,7314.00,132572.00,4200.00
.Urdu,397502.00,9850.00,116566.00,3583.00
.Other Indic languages,800364.00,11771.00,315196.00,6256.00
..India n.e.c.3,61385.00,3120.00,20575.00,1553.00
..Bengali,257740.00,5364.00,105180.00,2827.00
..Punjabi,253740.00,7521.00,104750.00,3479.00
..Marathi,73630.00,3164.00,10525.00,1018.00
..Bihari,595.00,305.00,260.00,258.00
..Rajasthani,715.00,420.00,215.00,142.00
..Oriya,5385.00,610.00,910.00,259.00
..Assamese,1305.00,322.00,100.00,57.00
..Kashmiri,1775.00,490.00,285.00,152.00
..Nepali,94220.00,4413.00,56650.00,3282.00
..Sindhi,8965.00,1125.00,1775.00,370.00
..Pakistan n.e.c.3,12605.00,1511.00,5145.00,765.00
..Sinhalese,26745.00,1927.00,8350.00,989.00
..Romany,1555.00,457.00,480.00,226.00
.Other Indo-European languages,449316.00,8375.00,160695.00,3825.00
..Jamaican Creole,21965.00,1558.00,5965.00,794.00
..Krio,10560.00,1240.00,2820.00,718.00
..Hawaiian Pidgin,365.00,210.00,30.00,25.00
..Pidgin,4445.00,636.00,1100.00,352.00
..Gullah,385.00,143.00,150.00,82.00
..Saramacca,35.00,42.00,(B),--
..Catalonian,2325.00,375.00,500.00,153.00
..Romanian,154625.00,4288.00,55550.00,2123.00
..Rhaeto-Romanic,(D),(D),(B),--
..Welsh,2235.00,318.00,235.00,97.00
..Irish Gaelic,20590.00,1291.00,2505.00,384.00
..Scottic Gaelic,1635.00,264.00,190.00,125.00
..Albanian,133870.00,5513.00,58820.00,2710.00
..Lithuanian,39790.00,2080.00,12370.00,1070.00
..Latvian,16035.00,966.00,3300.00,465.00
..Pashto,22760.00,2595.00,9840.00,1320.00
..Kurdish,17020.00,1830.00,6870.00,740.00
..Balochi,185.00,182.00,85.00,96.00
..Tadzhik,435.00,347.00,350.00,270.00
..Ossete,50.00,48.00,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,9539099.00,23440.00,4570035.00,17435.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",2896766.00,13255.00,1600886.00,8527.00
..Chinese,1867485.00,13875.00,1054885.00,8578.00
..Hakka,1350.00,307.00,840.00,263.00
"..Kan, Hsiang",50.00,65.00,(D),(D)
..Cantonese,458840.00,6487.00,257625.00,4433.00
..Mandarin,487250.00,7953.00,240810.00,5571.00
..Fuchow,1450.00,455.00,1175.00,418.00
..Formosan,77675.00,2687.00,44140.00,1939.00
..Wu,2670.00,466.00,1375.00,287.00
.Japanese,449475.00,7214.00,194436.00,4164.00
.Korean,1117343.00,11453.00,617905.00,7120.00
".Mon-Khmer, Cambodian",212167.00,6281.00,109633.00,4140.00
.Hmong,214943.00,5719.00,92861.00,3459.00
.Thai,152649.00,4111.00,79746.00,2794.00
.Laotian,152647.00,4370.00,75885.00,2526.00
.Vietnamese,1399936.00,14387.00,839237.00,8589.00
.Other Asian languages,908314.00,10777.00,282138.00,5947.00
..Karakalpak,(D),(D),(B),--
..Kazakh,1480.00,382.00,750.00,254.00
..Kirghiz,550.00,243.00,305.00,188.00
..Karachay,420.00,196.00,140.00,100.00
..Uighur,8905.00,1288.00,5895.00,886.00
..Azerbaijani,2085.00,596.00,1025.00,364.00
..Turkish,116515.00,3904.00,43495.00,2084.00
..Turkmen,205.00,113.00,75.00,51.00
..Mongolian,10180.00,1208.00,5430.00,763.00
..Tungus,235.00,149.00,120.00,104.00
..Dravidian,1150.00,356.00,160.00,131.00
..Gondi,1470.00,424.00,270.00,137.00
..Telugu,247760.00,5508.00,51635.00,2104.00
..Kannada,48620.00,2191.00,7425.00,967.00
..Malayalam,146310.00,4254.00,41535.00,1840.00
..Tamil,190685.00,4415.00,33885.00,1935.00
..Munda,2030.00,504.00,235.00,134.00
..Burushaski,95.00,122.00,(D),(D)
..Tibetan,16730.00,1571.00,9735.00,1072.00
..Burmese,62645.00,3308.00,44530.00,2657.00
..Karen,30185.00,2426.00,26440.00,2238.00
..Kachin,520.00,280.00,415.00,241.00
..Mien,19010.00,2201.00,8220.00,1066.00
..Paleo-siberian,530.00,329.00,385.00,274.00
.Tagalog,1613346.00,13019.00,516522.00,6649.00
.Other Pacific Island languages,421513.00,6555.00,160786.00,3972.00
..Indonesian,67410.00,3220.00,29400.00,1702.00
..Achinese,(D),(D),(D),(D)
..Balinese,795.00,437.00,160.00,136.00
..Cham,1050.00,403.00,500.00,234.00
..Javanese,495.00,250.00,135.00,104.00
..Malagasy,720.00,231.00,225.00,101.00
..Malay,14580.00,1285.00,4910.00,618.00
..Minangkabau,15.00,21.00,(D),(D)
..Sundanese,35.00,39.00,35.00,39.00
..Bisayan,29800.00,1858.00,11505.00,1134.00
..Sebuano,15700.00,1364.00,4935.00,620.00
..Pangasinan,2265.00,504.00,1115.00,338.00
..Ilocano,85755.00,3320.00,47250.00,2472.00
..Bikol,695.00,213.00,200.00,95.00
..Pampangan,5620.00,750.00,2460.00,474.00
..Micronesian,7830.00,1409.00,3435.00,777.00
..Carolinian,945.00,389.00,545.00,310.00
..Chamorro,19780.00,1473.00,3195.00,443.00
..Gilbertese,170.00,104.00,85.00,70.00
..Kusaiean,1165.00,467.00,445.00,218.00
..Marshallese,18485.00,1838.00,9545.00,1069.00
