Table with column headers in row 5 and row headers in column A,,,,
Table 1. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Alabama:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,4497352.00,490.00,107436.00,2608.00
Speak only English at home,4261611.00,3627.00,(X),(X)
Speak a language other than English at home,235741.00,3580.00,107436.00,2608.00
SPANISH AND SPANISH CREOLE,151384.00,2607.00,78970.00,2312.00
..Spanish,151385.00,2607.00,78970.00,2312.00
OTHER INDO-EUROPEAN LANGUAGES,38001.00,1797.00,7995.00,662.00
".French (incl. Patois, Cajun)",7379.00,653.00,1190.00,217.00
..French,7195.00,647.00,1165.00,216.00
..Patois,140.00,96.00,(D),(D)
..Cajun,40.00,38.00,(D),(D)
.French Creole,333.00,127.00,90.00,68.00
.Italian,1672.00,293.00,440.00,150.00
.Portuguese (incl. Portuguese Creole),1374.00,337.00,421.00,193.00
..Portuguese,1375.00,337.00,420.00,193.00
.German (incl. Luxembourgian),10038.00,816.00,1526.00,275.00
..German,10040.00,816.00,1525.00,275.00
.Yiddish,18.00,21.00,9.00,16.00
.Other West Germanic languages,935.00,280.00,86.00,61.00
..Pennsylvania Dutch,(D),(D),(B),--
..Dutch,725.00,269.00,85.00,61.00
..Afrikaans,170.00,154.00,(B),--
.Scandinavian languages,286.00,128.00,6.00,9.00
..Swedish,125.00,75.00,(D),(D)
..Danish,45.00,51.00,(B),--
..Norwegian,90.00,63.00,(B),--
..Icelandic,25.00,31.00,(B),--
.Greek,918.00,258.00,145.00,72.00
.Russian,1325.00,293.00,480.00,176.00
.Polish,384.00,135.00,73.00,53.00
.Serbo-Croatian languages,465.00,244.00,137.00,102.00
..Serbocroatian,170.00,123.00,40.00,53.00
..Croatian,195.00,152.00,80.00,81.00
..Serbian,100.00,118.00,(D),(D)
.Other Slavic languages,556.00,196.00,126.00,88.00
..Ukrainian,55.00,61.00,45.00,58.00
..Czech,310.00,159.00,85.00,63.00
..Bulgarian,95.00,87.00,(B),--
..Macedonian,95.00,85.00,(B),--
..Slovene,(D),(D),(B),--
.Armenian,50.00,44.00,(B),--
.Persian,1010.00,320.00,412.00,187.00
.Hindi,3236.00,593.00,885.00,299.00
.Gujarati,2630.00,623.00,674.00,307.00
.Urdu,1306.00,396.00,263.00,112.00
.Other Indic languages,3191.00,687.00,858.00,275.00
..India n.e.c.3,860.00,461.00,245.00,198.00
..Bengali,895.00,333.00,245.00,116.00
..Panjabi,435.00,238.00,115.00,91.00
..Marathi,190.00,83.00,25.00,28.00
..Kashmiri,115.00,88.00,(B),--
..Nepali,555.00,274.00,225.00,173.00
..Sindhi,(D),(D),(D),(D)
..Pakistan n.e.c.3,(D),(D),(B),--
..Sinhalese,120.00,101.00,(B),--
..Romany,(D),(D),(B),--
.Other Indo-European languages,895.00,255.00,174.00,116.00
..Jamaican Creole,65.00,45.00,(D),(D)
..Pidgin,(D),(D),(B),--
..Romanian,460.00,168.00,60.00,54.00
..Welsh,(D),(D),(B),--
..Irish Gaelic,90.00,79.00,(D),(D)
..Albanian,95.00,94.00,(D),(D)
..Lithuanian,(D),(D),(B),--
..Latvian,80.00,58.00,(D),(D)
..Pashto,45.00,56.00,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,36312.00,1666.00,17798.00,1233.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",9461.00,934.00,5167.00,660.00
..Chinese,7405.00,867.00,4275.00,638.00
..Cantonese,195.00,91.00,50.00,38.00
..Mandarin,1625.00,377.00,735.00,325.00
..Formosan,235.00,155.00,110.00,79.00
.Japanese,1814.00,379.00,672.00,243.00
.Korean,7475.00,1008.00,4092.00,663.00
".Mon-Khmer, Cambodian",887.00,329.00,437.00,215.00
.Hmong,208.00,205.00,67.00,72.00
.Thai,828.00,311.00,434.00,188.00
.Laotian,935.00,389.00,517.00,268.00
.Vietnamese,6839.00,983.00,3659.00,611.00
.Other Asian languages,3442.00,541.00,1295.00,490.00
..Turkish,790.00,472.00,505.00,422.00
..Dravidian,(D),(D),(B),--
..Telugu,1130.00,259.00,255.00,140.00
..Kannada,185.00,124.00,60.00,62.00
..Malayalam,365.00,227.00,75.00,89.00
..Tamil,665.00,271.00,195.00,117.00
..Burmese,220.00,159.00,190.00,143.00
..Mien,55.00,76.00,(D),(D)
.Tagalog,3115.00,473.00,895.00,232.00
.Other Pacific Island languages,1308.00,435.00,563.00,353.00
..Indonesian,425.00,346.00,320.00,339.00
..Malay,(D),(D),(B),--
..Bisayan,265.00,151.00,70.00,58.00
..Pangasinan,50.00,86.00,(D),(D)
..Micronesian,(D),(D),(B),--
..Chamorro,70.00,59.00,(D),(D)
..Marshallese,100.00,65.00,25.00,33.00
..Palau,(D),(D),(B),--
..Ponapean,(D),(D),(D),(D)
..Trukese,15.00,27.00,(D),(D)
..Samoan,195.00,193.00,(D),(D)
..Hawaiian,115.00,98.00,40.00,40.00
ALL OTHER LANGUAGES,10044.00,1164.00,2673.00,580.00
.Navajo,96.00,92.00,(B),--
.Other Native North American languages,650.00,195.00,61.00,52.00
..Aleut,(D),(D),(B),--
..Eskimo,(D),(D),(B),--
..Algonquian,20.00,23.00,(B),--
..Chasta Costa,(D),(D),(B),--
..Apache,(D),(D),(B),--
..Kiowa,65.00,83.00,(B),--
..Sahaptian,(D),(D),(B),--
..Dakota,(D),(D),(B),--
..Choctaw,90.00,91.00,15.00,20.00
..Mikasuki,(D),(D),(B),--
..Koasati,25.00,37.00,(B),--
..Muskogee,(D),(D),(B),--
..Cherokee,255.00,162.00,(D),(D)
..Zuni,(D),(D),(B),--
..American Indian,70.00,53.00,35.00,45.00
.Hungarian,145.00,76.00,30.00,43.00
.Arabic,4560.00,838.00,1490.00,491.00
.Hebrew,410.00,184.00,8.00,15.00
.African languages,3325.00,509.00,630.00,189.00
..Amharic,230.00,117.00,130.00,75.00
..Cushite,20.00,21.00,(B),--
..Sudanic,(D),(D),(B),--
..Swahili,1320.00,349.00,270.00,143.00
..Bantu,240.00,126.00,25.00,35.00
..Mande,140.00,124.00,75.00,87.00
..Fulani,120.00,100.00,(D),(D)
"..Kru, Ibo, Yoruba",1210.00,371.00,125.00,72.00
..Efik,30.00,35.00,(B),--
.Other and unspecified languages,858.00,434.00,454.00,256.00
..Finnish,95.00,80.00,(B),--
..Estonian,40.00,48.00,(D),(D)
..Caucasian,(D),(D),(D),(D)
..Mayan languages,430.00,305.00,305.00,208.00
..Oto - Manguen,205.00,299.00,110.00,163.00
..Uncodable,80.00,45.00,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US01). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
