Table with column headers in row 5 and row headers in column A,,,,
Table 2. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Alaska:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,665954.00,168,35221.00,"1,309"
Speak only English at home,557877.00,"1,931",(X),(X)
Speak a language other than English at home,108077.00,"1,921",35221.00,"1,309"
SPANISH AND SPANISH CREOLE,22425.00,"1,109",5772.00,597
..Spanish,22425.00,"1,109",5770.00,597
OTHER INDO-EUROPEAN LANGUAGES,15446.00,"1,253",3308.00,631
".French (incl. Patois, Cajun)",2195.00,423,224.00,109
..French,2165.00,428,225.00,109
..Patois,(D),(D),(B),--
..Cajun,(D),(D),(B),--
.French Creole,120.00,87,26.00,39
.Italian,444.00,146,66.00,44
.Portuguese (incl. Portuguese Creole),279.00,124,93.00,70
..Portuguese,270.00,122,95.00,70
..Papia Mentae,(D),(D),(B),--
.German (incl. Luxembourgian),3662.00,592,336.00,129
..German,3660.00,592,335.00,129
.Other West Germanic languages,249.00,83,13.00,20
..Dutch,205.00,68,(D),(D)
..Afrikaans,45.00,42,(B),--
.Scandinavian languages,718.00,196,90.00,50
..Swedish,200.00,102,35.00,23
..Danish,150.00,66,(D),(D)
..Norwegian,365.00,148,40.00,43
..Icelandic,(D),(D),(B),--
.Greek,140.00,76,33.00,33
.Russian,4426.00,667,1015.00,230
.Polish,426.00,158,186.00,107
.Serbo-Croatian languages,32.00,31,7.00,11
..Serbocroatian,(D),(D),(B),--
..Croatian,(D),(D),(D),(D)
..Serbian,(D),(D),(B),--
.Other Slavic languages,921.00,542,592.00,498
..Ukrainian,610.00,508,505.00,494
..Czech,30.00,27,4.00,9
..Slovak,(D),(D),(B),--
..Bulgarian,30.00,42,(D),(D)
..Macedonian,215.00,192,75.00,64
..Slovene,(D),(D),(B),--
.Armenian,3.00,8,(B),--
.Persian,100.00,75,23.00,32
.Hindi,290.00,190,(B),--
.Gujarati,123.00,177,(B),--
.Urdu,272.00,235,177.00,196
.Other Indic languages,486.00,344,252.00,204
..Bengali,110.00,105,35.00,43
..Panjabi,40.00,80,(D),(D)
..Marathi,(D),(D),(D),(D)
..Nepali,300.00,309,190.00,193
..Sinhalese,25.00,26,(D),(D)
.Other Indo-European languages,560.00,190,175.00,88
..Jamaican Creole,45.00,46,(B),--
..Pidgin,115.00,101,45.00,54
..Romanian,85.00,76,40.00,48
..Irish Gaelic,100.00,86,45.00,53
