Table with column headers in row 5 and row headers in column A,,,,
Table 3. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Arizona:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,"6,033,147",321,"574,452","7,168"
Speak only English at home,"4,416,957","10,221",(X),(X)
Speak a language other than English at home,"1,616,190","10,218","574,452","7,168"
SPANISH AND SPANISH CREOLE,"1,230,732","7,873","458,851","6,274"
..Spanish,"1,230,730","7,873","458,850","6,274"
OTHER INDO-EUROPEAN LANGUAGES,"123,220","3,926","27,453","1,697"
".French (incl. Patois, Cajun)","16,511","1,118","3,118",432
..French,"16,480","1,119","3,120",432
..Patois,30,29,(B),--
.French Creole,756,313,213,197
.Italian,"7,901",792,"1,662",278
.Portuguese (incl. Portuguese Creole),"4,401",725,982,260
..Portuguese,"4,400",725,980,260
.German (incl. Luxembourgian),"23,063","1,449","2,831",486
..German,"23,020","1,441","2,830",486
..Luxembourgian,40,54,(B),--
.Yiddish,445,175,28,29
.Other West Germanic languages,"2,725",473,325,122
..Pennsylvania Dutch,45,42,(D),(D)
..Dutch,"2,145",387,260,113
..Afrikaans,535,248,55,45
.Scandinavian languages,"2,562",360,214,82
..Swedish,"1,220",267,105,56
..Danish,445,157,60,49
..Norwegian,865,235,50,42
..Icelandic,30,34,(B),--
.Greek,"3,043",486,533,190
.Russian,"6,602","1,031","2,045",396
.Polish,"5,844",691,"1,487",357
.Serbo-Croatian languages,"8,370","1,302","3,210",582
..Serbocroatian,"4,960",973,"2,000",445
..Croatian,810,271,330,155
..Serbian,"2,600",650,880,273
.Other Slavic languages,"4,146",624,"1,036",291
..Bielorussian,(D),(D),(D),(D)
..Ukrainian,"1,375",374,375,155
..Czech,905,287,210,134
..Slovak,520,213,135,94
..Bulgarian,"1,110",369,280,143
..Macedonian,115,132,(B),--
..Slovene,110,72,35,31
.Armenian,"1,385",488,326,229
.Persian,"6,111","1,063","2,051",553
.Hindi,"8,474","1,145",978,293
.Gujarati,"3,824",601,862,242
.Urdu,"2,380",591,564,272
.Other Indic languages,"7,396","1,322","2,350",547
..India n.e.c.3,455,273,175,125
..Bengali,"2,185",582,555,186
..Panjabi,"2,285",566,730,261
..Marathi,"1,000",392,70,76
..Bihari,45,81,(D),(D)
..Rajasthani,(D),(D),(B),--
..Oriya,75,70,(D),(D)
..Assamese,70,86,(B),--
..Nepali,"1,085",498,765,398
..Sindhi,(D),(D),(B),--
..Pakistan n.e.c.3,(D),(D),(B),--
..Sinhalese,125,95,(D),(D)
..Romany,(D),(D),(B),--
.Other Indo-European languages,"7,281",987,"2,638",502
..Jamaican Creole,190,153,(D),(D)
..Krio,40,45,(D),(D)
..Romanian,"4,210",663,"1,660",376
..Irish Gaelic,495,174,75,63
..Scottic Gaelic,(D),(D),(B),--
..Albanian,"1,000",450,510,259
..Lithuanian,400,163,85,68
..Latvian,115,73,(D),(D)
..Pashto,325,322,95,113
..Kurdish,495,311,125,103
..Ossete,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,"113,544","2,598","48,706","1,846"
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)","28,552","1,789","14,099","1,187"
..Chinese,"19,765","1,555","10,520","1,035"
..Hakka,(D),(D),(B),--
..Cantonese,"3,045",607,"1,445",367
..Mandarin,"5,135",743,"1,875",411
..Formosan,595,208,260,129
..Wu,(D),(D),(B),--
.Japanese,"6,237",787,"2,258",394
.Korean,"10,733","1,111","4,854",641
".Mon-Khmer, Cambodian","2,055",610,823,208
.Hmong,234,222,31,38
.Thai,"2,492",511,"1,489",374
.Laotian,"1,397",444,517,221
.Vietnamese,"20,608","1,762","12,751","1,219"
.Other Asian languages,"13,533","1,528","4,310",861
..Kazakh,160,211,150,211
..Kirghiz,25,43,25,43
..Uighur,175,136,125,112
..Turkish,"1,030",388,290,152
..Mongolian,60,93,60,93
..Tungus,(D),(D),(B),--
..Dravidian,(D),(D),(B),--
..Telugu,"4,725",902,"1,125",456
..Kannada,560,199,50,35
..Malayalam,"1,465",413,315,140
..Tamil,"3,205",562,515,181
..Munda,(D),(D),(B),--
..Tibetan,85,119,(D),(D)
..Burmese,665,360,480,276
..Karen,"1,290",430,"1,110",407
..Mien,(D),(D),(D),(D)
.Tagalog,"20,664","1,476","5,672",714
.Other Pacific Island languages,"7,039",860,"1,902",414
..Indonesian,965,331,385,200
..Malay,250,181,80,69
..Sundanese,(D),(D),(D),(D)
..Bisayan,435,172,160,115
..Sebuano,400,164,140,93
..Ilocano,530,312,240,166
..Bikol,(D),(D),(B),--
..Pampangan,85,91,(D),(D)
..Carolinian,185,189,120,157
..Chamorro,605,280,210,136
..Marshallese,685,405,175,140
..Palau,155,137,(D),(D)
..Trukese,75,71,(D),(D)
..Yapese,(D),(D),(D),(D)
..Melanesian,125,76,(D),(D)
..Polynesian,(D),(D),(D),(D)
..Samoan,"1,220",486,65,45
..Tongan,790,317,140,101
..Fijian,30,31,(B),--
..Hawaiian,440,160,65,53
ALL OTHER LANGUAGES,"148,694","3,724","39,442","1,504"
.Navajo,"83,792","1,745","20,980",955
.Other Native North American languages,"26,869","1,372","3,808",459
..Aleut,40,38,(B),--
..Eskimo,(D),(D),(B),--
..Inupik,(D),(D),(D),(D)
..Yupik,(D),(D),(B),--
..Cheyenne,35,37,(D),(D)
..Cree,(D),(D),(B),--
..Ojibwa,25,31,(D),(D)
..Ottawa,20,30,(B),--
..Athapascan,20,20,(B),--
..Ahtena,(D),(D),(B),--
..Hupa,(D),(D),(B),--
..Apache,"10,700",740,"1,190",246
..Kiowa,(D),(D),(D),(D)
..Siuslaw,(D),(D),(D),(D)
..Sahaptian,(D),(D),(B),--
..Pomo,(D),(D),(B),--
..Cocomaricopa,30,30,(B),--
..Mohave,90,45,30,28
..Yuma,30,29,(B),--
..Delta River Yuman,325,145,10,10
..Havasupai,50,37,4,10
..Walapai,250,81,4,10
..Yavapai,210,116,15,13
..Hidatsa,(D),(D),(B),--
..Mandan,(D),(D),(D),(D)
..Dakota,300,153,(D),(D)
..Omaha,45,63,(B),--
..Choctaw,45,51,(B),--
..Keres,155,196,(D),(D)
..Mohawk,(D),(D),(B),--
..Cherokee,150,107,(B),--
..Paiute,40,34,(D),(D)
..Southern Paiute,(D),(D),(D),(D)
..Shoshoni,(D),(D),(B),--
..Hopi,"5,660",736,"1,525",367
..Pima,"6,695",700,655,176
..Yaqui,585,242,55,51
..Tewa,155,91,80,68
..Towa,(D),(D),(B),--
..Zuni,160,114,(D),(D)
..American Indian,515,168,60,39
..San Carlos,275,153,30,26
.Hungarian,"1,499",293,388,141
.Arabic,"16,865","1,851","6,719",929
.Hebrew,"2,705",661,386,194
.African languages,"11,579","1,421","4,610",697
..Amharic,"2,180",574,"1,180",384
..Berber,35,45,(D),(D)
..Chadic,100,86,(B),--
..Cushite,"2,285",623,"1,255",381
..Sudanic,425,316,210,192
..Nilotic,125,167,(B),--
..Nilo-Saharan,(D),(D),(D),(D)
..Swahili,"1,570",552,740,402
..Bantu,"1,290",532,380,236
..Mande,385,227,135,113
..Fulani,250,186,80,104
"..Kru, Ibo, Yoruba","2,500",649,465,225
..Efik,135,108,(D),(D)
..Mbum (and related),(D),(D),(B),--
..African,225,162,125,88
.Other and unspecified languages,"5,385","1,103","2,551",656
..Finnish,490,180,65,80
..Estonian,(D),(D),(B),--
..Caucasian,55,64,(D),(D)
..Basque,(D),(D),(B),--
..Syriac,"4,215","1,077","2,110",624
..Aztecan,25,34,(D),(D)
..Mayan languages,145,126,95,103
..Oto - Manguen,135,80,95,80
..Quechua,(D),(D),(D),(D)
..Chibchan,60,67,(D),(D)
..Uncodable,205,122,80,81
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US04). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
