Table with column headers in row 5 and row headers in column A,,,,
Table 4. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Arkansas:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,2738012,459.00,89977,2467.00
Speak only English at home,2540974,3012.00,(X),(X)
Speak a language other than English at home,197038,2958.00,89977,2467.00
SPANISH AND SPANISH CREOLE,143540,2172.00,69398,2255.00
..Spanish,143540,2172.00,69400,2255.00
OTHER INDO-EUROPEAN LANGUAGES,21691,1614.00,5192,681.00
".French (incl. Patois, Cajun)",4326,508.00,893,209.00
..French,4260,507.00,890,209.00
..Patois,(D),(D),(D),(D)
..Cajun,60,50.00,(B),--
.French Creole,93,83.00,22,37.00
.Italian,963,210.00,207,99.00
.Portuguese (incl. Portuguese Creole),1050,360.00,262,166.00
..Portuguese,1050,360.00,260,166.00
.German (incl. Luxembourgian),5488,604.00,819,202.00
..German,5475,609.00,820,202.00
..Luxembourgian,(D),(D),(B),--
.Other West Germanic languages,1585,542.00,220,134.00
..Pennsylvania Dutch,560,228.00,120,100.00
..Dutch,890,441.00,100,94.00
..Afrikaans,135,120.00,(B),--
.Scandinavian languages,212,99.00,14,25.00
..Swedish,130,89.00,(D),(D)
..Danish,(D),(D),(B),--
..Norwegian,60,46.00,(B),--
..Icelandic,(D),(D),(B),--
.Greek,144,77.00,27,31.00
.Russian,515,162.00,148,82.00
.Polish,315,136.00,103,75.00
.Serbo-Croatian languages,211,117.00,132,100.00
..Serbocroatian,(D),(D),(B),--
..Croatian,(D),(D),(D),(D)
..Serbian,200,116.00,125,98.00
.Other Slavic languages,570,356.00,161,190.00
..Ukrainian,70,63.00,(D),(D)
..Czech,185,97.00,(D),(D)
..Slovak,(D),(D),(B),--
..Bulgarian,305,300.00,(D),(D)
..Slovene,(D),(D),(B),--
.Armenian,100,94.00,58,86.00
.Persian,519,273.00,252,191.00
.Hindi,1413,523.00,433,225.00
.Gujarati,917,376.00,385,201.00
.Urdu,628,270.00,223,143.00
.Other Indic languages,2067,473.00,593,190.00
..India n.e.c.3,675,351.00,125,90.00
..Bengali,230,146.00,70,56.00
..Panjabi,180,147.00,40,43.00
..Marathi,435,215.00,55,53.00
..Oriya,(D),(D),(B),--
..Nepali,320,167.00,205,113.00
..Sindhi,55,85.00,55,85.00
..Sinhalese,160,142.00,(D),(D)
..Romany,(D),(D),(B),--
.Other Indo-European languages,575,267.00,240,166.00
..Jamaican Creole,(D),(D),(B),--
..Krio,(D),(D),(B),--
..Romanian,345,215.00,205,155.00
..Irish Gaelic,65,51.00,(D),(D)
..Scottic Gaelic,(D),(D),(D),(D)
..Albanian,45,56.00,(D),(D)
..Lithuanian,35,33.00,(B),--
..Latvian,(D),(D),(B),--
..Pashto,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,26769,1231.00,13797,856.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",4125,667.00,2213,516.00
..Chinese,3320,642.00,1920,509.00
..Cantonese,155,71.00,110,71.00
..Mandarin,560,330.00,165,112.00
..Formosan,85,61.00,20,23.00
.Japanese,942,219.00,436,138.00
.Korean,1591,357.00,549,153.00
".Mon-Khmer, Cambodian",273,236.00,160,129.00
.Hmong,1584,440.00,716,274.00
.Thai,438,151.00,258,129.00
