Table with column headers in row 5 and row headers in column A,,,,
Table 5. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for California:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,35131429.00,586,6799270.00,"22,260"
Speak only English at home,19782598.00,"34,163",(X),(X)
Speak a language other than English at home,15348831.00,"34,040",6799270.00,"22,260"
SPANISH AND SPANISH CREOLE,10105424.00,"22,961",4539249.00,"16,174"
..Spanish,10105385.00,"22,963",4539250.00,"16,174"
..Ladino,40.00,35,(B),--
OTHER INDO-EUROPEAN LANGUAGES,1543211.00,"13,369",495598.00,"6,553"
".French (incl. Patois, Cajun)",126083.00,"3,706",18836.00,"1,187"
..French,124980.00,"3,689",18755.00,"1,185"
..Patois,985.00,302,35.00,26
..Cajun,120.00,82,50.00,51
.French Creole,6718.00,862,1300.00,358
.Italian,62621.00,"2,128",12973.00,729
.Portuguese (incl. Portuguese Creole),79572.00,"3,175",25343.00,"1,541"
..Portuguese,79550.00,"3,174",25320.00,"1,537"
..Papia Mentae,(D),(D),(D),(D)
.German (incl. Luxembourgian),110575.00,"2,794",14235.00,750
..German,110545.00,"2,793",14225.00,748
..Luxembourgian,30.00,36,(D),(D)
.Yiddish,3272.00,513,634.00,188
.Other West Germanic languages,25660.00,"1,519",3162.00,400
..Pennsylvania Dutch,25.00,27,(B),--
..Dutch,22335.00,"1,359",2865.00,385
..Afrikaans,3075.00,552,240.00,107
..Frisian,225.00,124,60.00,48
.Scandinavian languages,23859.00,"1,601",2476.00,412
..Swedish,11690.00,984,1250.00,322
..Danish,6275.00,640,665.00,158
..Norwegian,4915.00,641,445.00,188
..Icelandic,980.00,310,115.00,73
.Greek,22932.00,996,4476.00,454
.Russian,151685.00,"4,956",74239.00,"2,957"
.Polish,19699.00,"1,266",5805.00,647
.Serbo-Croatian languages,22753.00,"1,635",6179.00,700
..Serbocroatian,7285.00,997,2735.00,545
..Croatian,7995.00,997,1735.00,290
..Serbian,7470.00,924,1705.00,402
.Other Slavic languages,33935.00,"2,071",14314.00,"1,283"
..Bielorussian,255.00,173,200.00,152
..Ukrainian,17635.00,"1,751",9520.00,"1,074"
..Czech,5490.00,660,1395.00,277
..Slovak,1790.00,433,500.00,286
..Bulgarian,7755.00,985,2535.00,492
..Macedonian,655.00,255,135.00,82
..Slovene,360.00,141,25.00,21
.Armenian,191928.00,"4,930",93415.00,"2,794"
.Persian,191138.00,"5,789",73557.00,"2,896"
.Hindi,149301.00,"4,735",29614.00,"1,830"
.Gujarati,44917.00,"2,616",13367.00,"1,112"
.Urdu,45609.00,"2,723",12779.00,"1,244"
