Table with column headers in row 5 and row headers in column A,,,,
Table 6. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Colorado:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,4779527.00,437,312251.00,"4,287"
Speak only English at home,3976875.00,"7,959",(X),(X)
Speak a language other than English at home,802652.00,"7,936",312251.00,"4,287"
SPANISH AND SPANISH CREOLE,565058.00,"6,145",230423.00,"3,833"
..Spanish,565060.00,"6,145",230425.00,"3,833"
OTHER INDO-EUROPEAN LANGUAGES,110342.00,"3,234",25041.00,"1,398"
".French (incl. Patois, Cajun)",16213.00,"1,050",2462.00,433
..French,16045.00,"1,032",2460.00,433
..Patois,165.00,120,(B),--
..Cajun,(D),(D),(B),--
.French Creole,382.00,209,106.00,81
.Italian,5767.00,725,737.00,181
.Portuguese (incl. Portuguese Creole),3370.00,566,695.00,250
..Portuguese,3360.00,565,695.00,250
..Papia Mentae,(D),(D),(B),--
.German (incl. Luxembourgian),25675.00,"1,307",3047.00,342
..German,25645.00,"1,307",3045.00,342
..Luxembourgian,(D),(D),(B),--
.Yiddish,135.00,64,15.00,17
.Other West Germanic languages,3275.00,589,246.00,115
..Pennsylvania Dutch,330.00,226,(D),(D)
..Dutch,2065.00,345,160.00,72
..Afrikaans,880.00,300,70.00,74
.Scandinavian languages,2881.00,483,273.00,104
..Swedish,1600.00,394,110.00,60
..Danish,480.00,159,75.00,55
..Norwegian,740.00,227,90.00,75
..Icelandic,60.00,58,(B),--
.Greek,1910.00,367,461.00,187
.Russian,15124.00,"1,565",6279.00,807
.Polish,5365.00,649,1175.00,321
.Serbo-Croatian languages,2531.00,500,987.00,225
..Serbocroatian,1680.00,464,685.00,204
..Croatian,395.00,135,90.00,64
..Serbian,455.00,166,210.00,96
.Other Slavic languages,4101.00,733,1223.00,354
..Bielorussian,25.00,22,(D),(D)
..Ukrainian,1280.00,378,525.00,207
..Czech,880.00,256,210.00,95
..Slovak,540.00,208,25.00,26
..Bulgarian,1185.00,469,420.00,200
..Macedonian,35.00,31,(B),--
..Slovene,160.00,75,(D),(D)
.Armenian,583.00,236,225.00,167
.Persian,4090.00,650,1237.00,283
.Hindi,4171.00,563,623.00,209
.Gujarati,762.00,256,182.00,107
.Urdu,1613.00,492,460.00,252
.Other Indic languages,7862.00,"1,055",3073.00,718
..India n.e.c.3,500.00,261,60.00,41
..Bengali,1350.00,434,345.00,123
..Panjabi,1105.00,446,235.00,139
..Marathi,730.00,288,215.00,204
..Rajasthani,85.00,130,(D),(D)
..Oriya,55.00,55,(B),--
..Nepali,3615.00,831,2095.00,649
..Sindhi,250.00,169,(B),--
..Pakistan n.e.c.3,95.00,139,55.00,99
..Sinhalese,55.00,45,(D),(D)
..Romany,(D),(D),(D),(D)
.Other Indo-European languages,4532.00,830,1535.00,580
..Jamaican Creole,600.00,510,540.00,490
..Krio,115.00,97,(B),--
..Pidgin,55.00,43,(B),--
..Catalonian,180.00,121,70.00,82
..Romanian,1455.00,354,415.00,186
..Welsh,70.00,48,(D),(D)
..Irish Gaelic,330.00,164,20.00,19
..Scottic Gaelic,90.00,91,(D),(D)
..Albanian,175.00,143,55.00,69
..Lithuanian,610.00,238,155.00,88
..Latvian,125.00,58,(D),(D)
..Pashto,430.00,267,125.00,103
..Kurdish,295.00,183,70.00,72
ASIAN AND PACIFIC ISLAND LANGUAGES,91051.00,"1,758",42929.00,"1,190"
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",19020.00,"1,496",9428.00,974
..Chinese,14380.00,"1,163",7390.00,785
..Hakka,(D),(D),(B),--
..Cantonese,1940.00,535,890.00,308
..Mandarin,2230.00,459,980.00,287
..Formosan,465.00,163,165.00,117
.Japanese,6071.00,706,1751.00,263
.Korean,15629.00,"1,162",8180.00,692
".Mon-Khmer, Cambodian",2210.00,603,950.00,379
.Hmong,3008.00,725,1037.00,317
.Thai,1950.00,380,1084.00,271
.Laotian,2175.00,713,981.00,313
.Vietnamese,20099.00,"1,706",12700.00,"1,121"
.Other Asian languages,9628.00,"1,089",3350.00,644
..Kazakh,30.00,36,(B),--
..Uighur,80.00,82,60.00,67
..Azerbaijani,(D),(D),(D),(D)
..Turkish,1180.00,414,625.00,332
..Mongolian,715.00,337,375.00,196
..Telugu,2405.00,575,465.00,189
..Kannada,380.00,150,35.00,41
..Malayalam,925.00,320,205.00,121
..Tamil,1920.00,512,125.00,85
..Tibetan,430.00,174,200.00,127
..Burmese,775.00,374,630.00,317
..Karen,745.00,417,615.00,361
..Mien,(D),(D),(B),--
.Tagalog,7293.00,835,1970.00,420
.Other Pacific Island languages,3968.00,614,1498.00,311
