Table with column headers in row 5 and row headers in column A,,,,
Table 7. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Connecticut:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,3386166.00,207.00,283518.00,4351.00
Speak only English at home,2658925.00,5118.00,(X),(X)
Speak a language other than English at home,727241.00,5133.00,283518.00,4351.00
SPANISH AND SPANISH CREOLE,371024.00,3078.00,156236.00,3067.00
..Spanish,371025.00,3078.00,156235.00,3067.00
OTHER INDO-EUROPEAN LANGUAGES,254783.00,4336.00,85770.00,2798.00
".French (incl. Patois, Cajun)",34519.00,1270.00,7863.00,806.00
..French,30575.00,1248.00,7435.00,803.00
..Patois,3930.00,705.00,430.00,150.00
..Cajun,(D),(D),(B),--
.French Creole,14081.00,1277.00,6073.00,735.00
.Italian,36571.00,1374.00,10365.00,797.00
.Portuguese (incl. Portuguese Creole),37016.00,2153.00,16954.00,1327.00
..Portuguese,36945.00,2155.00,16955.00,1327.00
..Papia Mentae,75.00,87.00,(B),--
.German (incl. Luxembourgian),11533.00,807.00,1451.00,256.00
..German,11535.00,807.00,1450.00,256.00
.Yiddish,353.00,105.00,20.00,23.00
.Other West Germanic languages,2027.00,415.00,175.00,107.00
..Dutch,1825.00,404.00,170.00,109.00
..Afrikaans,205.00,102.00,(D),(D)
.Scandinavian languages,2233.00,352.00,208.00,83.00
..Swedish,1290.00,253.00,140.00,76.00
..Danish,390.00,163.00,25.00,30.00
..Norwegian,535.00,149.00,45.00,37.00
..Icelandic,20.00,20.00,(B),--
.Greek,8670.00,777.00,2195.00,351.00
.Russian,10684.00,932.00,4920.00,527.00
.Polish,37704.00,2251.00,15640.00,1241.00
.Serbo-Croatian languages,4160.00,721.00,1636.00,374.00
..Serbocroatian,2640.00,541.00,1050.00,280.00
..Croatian,985.00,412.00,280.00,153.00
..Serbian,535.00,277.00,305.00,198.00
.Other Slavic languages,4812.00,651.00,1552.00,392.00
..Ukrainian,2190.00,468.00,925.00,247.00
..Czech,490.00,167.00,40.00,38.00
..Slovak,1040.00,295.00,275.00,146.00
..Bulgarian,480.00,198.00,105.00,107.00
..Macedonian,440.00,242.00,185.00,179.00
..Slovene,175.00,125.00,20.00,17.00
.Armenian,731.00,220.00,152.00,72.00
.Persian,1488.00,293.00,441.00,144.00
.Hindi,11430.00,1173.00,2561.00,640.00
.Gujarati,5647.00,869.00,2109.00,416.00
.Urdu,6282.00,1024.00,2000.00,573.00
.Other Indic languages,10873.00,980.00,4111.00,594.00
..India n.e.c.3,1130.00,317.00,245.00,106.00
..Bengali,4745.00,814.00,2225.00,551.00
..Panjabi,1590.00,401.00,385.00,146.00
..Marathi,885.00,276.00,150.00,107.00
..Bihari,(D),(D),(B),--
..Oriya,160.00,132.00,55.00,72.00
..Assamese,60.00,63.00,(B),--
..Nepali,1325.00,412.00,615.00,256.00
..Sindhi,230.00,255.00,(D),(D)
..Pakistan n.e.c.3,200.00,156.00,140.00,125.00
..Sinhalese,455.00,203.00,195.00,106.00
..Romany,80.00,92.00,80.00,92.00
.Other Indo-European languages,13969.00,1310.00,5344.00,658.00
..Jamaican Creole,1600.00,410.00,640.00,237.00
..Krio,(D),(D),(B),--
..Catalonian,(D),(D),(B),--
..Romanian,1860.00,414.00,490.00,162.00
..Welsh,35.00,33.00,(B),--
..Irish Gaelic,290.00,101.00,35.00,28.00
..Scottic Gaelic,55.00,48.00,(B),--
..Albanian,7430.00,996.00,3295.00,505.00
..Lithuanian,1420.00,343.00,270.00,112.00
..Latvian,400.00,166.00,130.00,73.00
..Pashto,345.00,276.00,310.00,268.00
..Kurdish,490.00,313.00,175.00,135.00
ASIAN AND PACIFIC ISLAND LANGUAGES,76859.00,1952.00,33934.00,1456.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",27002.00,1733.00,13034.00,1111.00
..Chinese,20945.00,1562.00,10415.00,986.00
..Cantonese,2250.00,587.00,1000.00,393.00
..Mandarin,3180.00,560.00,1350.00,331.00
..Fuchow,(D),(D),(D),(D)
..Formosan,500.00,218.00,205.00,114.00
..Wu,90.00,84.00,(D),(D)
.Japanese,3391.00,606.00,1550.00,529.00
.Korean,6456.00,802.00,3449.00,576.00
".Mon-Khmer, Cambodian",2456.00,607.00,1244.00,332.00
.Hmong,9.00,15.00,(B),--
.Thai,1401.00,418.00,753.00,322.00
.Laotian,2981.00,668.00,1476.00,395.00
.Vietnamese,7735.00,1192.00,4840.00,806.00
.Other Asian languages,15932.00,1492.00,4542.00,652.00
..Karachay,(D),(D),(D),(D)
..Uighur,95.00,111.00,(D),(D)
..Turkish,2195.00,457.00,935.00,253.00
..Tungus,(D),(D),(D),(D)
..Dravidian,(D),(D),(B),--
..Gondi,120.00,129.00,(B),--
..Telugu,5575.00,825.00,1625.00,401.00
..Kannada,860.00,300.00,(D),(D)
..Malayalam,2395.00,572.00,475.00,200.00
..Tamil,3745.00,698.00,925.00,324.00
..Munda,125.00,122.00,(B),--
..Tibetan,455.00,275.00,230.00,142.00
..Burmese,205.00,133.00,140.00,91.00
..Karen,125.00,106.00,125.00,106.00
.Tagalog,8539.00,883.00,2663.00,473.00
.Other Pacific Island languages,957.00,285.00,383.00,151.00
..Indonesian,235.00,125.00,115.00,86.00
..Malay,180.00,107.00,45.00,46.00
..Bisayan,120.00,83.00,60.00,43.00
..Sebuano,60.00,40.00,(D),(D)
..Ilocano,15.00,27.00,(D),(D)
..Bikol,(D),(D),(D),(D)
..Micronesian,(D),(D),(B),--
..Chamorro,155.00,122.00,30.00,32.00
..Palau,(D),(D),(B),--
..Trukese,(D),(D),(D),(D)
..Melanesian,35.00,37.00,(D),(D)
..Samoan,(D),(D),(D),(D)
..Hawaiian,(D),(D),(B),--
ALL OTHER LANGUAGES,24575.00,1912.00,7578.00,997.00
.Other Native North American languages,260.00,109.00,71.00,44.00
..Algonquian,60.00,72.00,(D),(D)
..Blackfoot,(D),(D),(B),--
..Delaware,(D),(D),(B),--
..Ottawa,(D),(D),(D),(D)
..Potawatomi,40.00,40.00,(D),(D)
..Puget Sound Salish,(D),(D),(B),--
..Hidatsa,(D),(D),(D),(D)
..Dakota,10.00,16.00,(B),--
..Mohawk,(D),(D),(B),--
..Towa,(D),(D),(D),(D)
..American Indian,50.00,47.00,20.00,36.00
.Hungarian,2764.00,459.00,780.00,223.00
.Arabic,9271.00,1371.00,3893.00,752.00
.Hebrew,2762.00,582.00,343.00,120.00
.African languages,8553.00,1137.00,2257.00,530.00
..Amharic,380.00,187.00,160.00,118.00
..Berber,(D),(D),(D),(D)
..Chadic,385.00,319.00,115.00,127.00
..Cushite,365.00,246.00,255.00,223.00
..Nilotic,35.00,31.00,(B),--
..Swahili,880.00,480.00,225.00,147.00
..Bantu,640.00,314.00,180.00,156.00
..Mande,170.00,188.00,30.00,71.00
..Fulani,250.00,325.00,(D),(D)
..Gur,(D),(D),(B),--
"..Kru, Ibo, Yoruba",5165.00,723.00,1085.00,349.00
..Efik,(D),(D),(D),(D)
..African,195.00,108.00,95.00,57.00
.Other and unspecified languages,965.00,226.00,234.00,84.00
..Finnish,340.00,150.00,60.00,53.00
..Estonian,170.00,112.00,35.00,33.00
..Caucasian,50.00,40.00,45.00,39.00
..Basque,(D),(D),(B),--
..Syriac,225.00,100.00,35.00,30.00
..Quechua,40.00,45.00,(D),(D)
..Tupi-Guarani,(D),(D),(D),(D)
..Uncodable,120.00,68.00,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US09). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
