Table with column headers in row 5 and row headers in column A,,,,
Table 8. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Delaware:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,852446.00,109,40323.00,"1,652"
Speak only English at home,745175.00,"2,415",(X),(X)
Speak a language other than English at home,107271.00,"2,419",40323.00,"1,652"
SPANISH AND SPANISH CREOLE,57255.00,"1,611",25777.00,"1,350"
..Spanish,57255.00,"1,611",25775.00,"1,350"
OTHER INDO-EUROPEAN LANGUAGES,27391.00,"1,587",7898.00,849
".French (incl. Patois, Cajun)",3520.00,524,722.00,264
..French,3320.00,494,720.00,264
..Patois,200.00,158,(D),(D)
.French Creole,2562.00,646,1378.00,419
.Italian,2282.00,357,631.00,183
.Portuguese (incl. Portuguese Creole),696.00,238,210.00,110
..Portuguese,680.00,239,195.00,108
..Papia Mentae,(D),(D),(D),(D)
.German (incl. Luxembourgian),3191.00,430,572.00,181
..German,3190.00,430,570.00,181
.Yiddish,75.00,56,(B),--
.Other West Germanic languages,1349.00,420,485.00,189
..Pennsylvania Dutch,595.00,274,185.00,95
..Dutch,695.00,292,290.00,161
..Afrikaans,60.00,52,(D),(D)
.Scandinavian languages,95.00,57,(B),--
..Swedish,65.00,53,(B),--
..Danish,(D),(D),(B),--
..Norwegian,20.00,16,(B),--
..Icelandic,(D),(D),(B),--
.Greek,1288.00,312,149.00,81
.Russian,999.00,334,294.00,218
.Polish,1014.00,257,220.00,103
.Serbo-Croatian languages,216.00,125,38.00,38
..Serbocroatian,110.00,105,(B),--
..Croatian,70.00,74,35.00,37
..Serbian,35.00,33,(D),(D)
.Other Slavic languages,622.00,229,246.00,115
..Ukrainian,255.00,135,100.00,63
..Czech,160.00,115,50.00,47
..Slovak,70.00,47,(D),(D)
..Bulgarian,140.00,120,75.00,68
.Armenian,62.00,99,40.00,64
.Persian,262.00,150,123.00,95
.Hindi,1895.00,545,416.00,213
.Gujarati,2091.00,552,1069.00,309
.Urdu,1746.00,467,385.00,178
.Other Indic languages,2379.00,557,525.00,166
..India n.e.c.3,710.00,336,155.00,125
..Bengali,465.00,205,140.00,91
..Panjabi,455.00,215,180.00,119
..Marathi,320.00,171,(D),(D)
..Nepali,115.00,105,(D),(D)
..Sindhi,285.00,252,(D),(D)
..Sinhalese,(D),(D),(B),--
.Other Indo-European languages,1047.00,399,395.00,284
..Jamaican Creole,85.00,68,(D),(D)
..Krio,150.00,120,40.00,41
..Romanian,235.00,211,155.00,201
..Irish Gaelic,75.00,62,(B),--
..Scottic Gaelic,(D),(D),(B),--
..Albanian,115.00,98,60.00,63
..Lithuanian,180.00,155,(B),--
..Latvian,(D),(D),(B),--
..Pashto,160.00,185,120.00,179
ASIAN AND PACIFIC ISLAND LANGUAGES,16609.00,"1,003",5707.00,674
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",6110.00,738,2930.00,505
..Chinese,5060.00,705,2445.00,482
..Cantonese,240.00,119,85.00,77
..Mandarin,600.00,233,320.00,180
..Formosan,210.00,108,80.00,64
..Wu,(D),(D),(B),--
.Japanese,562.00,180,112.00,97
.Korean,1598.00,353,581.00,218
".Mon-Khmer, Cambodian",49.00,48,19.00,22
.Thai,183.00,126,104.00,75
.Laotian,42.00,56,31.00,39
