Table with column headers in row 5 and row headers in column A,,,,
Table 9. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for District of Columbia:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,582879.00,72.00,28176.00,1469.00
Speak only English at home,490944.00,1976.00,(X),(X)
Speak a language other than English at home,91935.00,1972.00,28176.00,1469.00
SPANISH AND SPANISH CREOLE,44457.00,1422.00,16201.00,1067.00
..Spanish,44455.00,1422.00,16200.00,1067.00
OTHER INDO-EUROPEAN LANGUAGES,24907.00,1325.00,4348.00,528.00
".French (incl. Patois, Cajun)",8489.00,818.00,1648.00,362.00
..French,8360.00,808.00,1640.00,361.00
..Patois,130.00,103.00,(D),(D)
.French Creole,440.00,170.00,107.00,70.00
.Italian,1759.00,458.00,363.00,182.00
.Portuguese (incl. Portuguese Creole),1449.00,365.00,407.00,152.00
..Portuguese,1420.00,360.00,405.00,152.00
..Papia Mentae,(D),(D),(B),--
.German (incl. Luxembourgian),2623.00,380.00,293.00,101.00
..German,2625.00,380.00,295.00,101.00
.Yiddish,7.00,11.00,(B),--
.Other West Germanic languages,259.00,121.00,(B),--
..Dutch,205.00,90.00,(B),--
..Afrikaans,(D),(D),(B),--
.Scandinavian languages,816.00,266.00,81.00,113.00
..Swedish,490.00,199.00,(B),--
..Danish,145.00,122.00,(D),(D)
..Norwegian,170.00,112.00,(B),--
..Icelandic,(D),(D),(D),(D)
.Greek,662.00,214.00,48.00,44.00
.Russian,1895.00,342.00,407.00,175.00
.Polish,483.00,154.00,52.00,42.00
.Serbo-Croatian languages,486.00,198.00,81.00,50.00
..Serbocroatian,120.00,69.00,55.00,44.00
..Croatian,195.00,157.00,(D),(D)
..Serbian,170.00,82.00,20.00,24.00
.Other Slavic languages,674.00,194.00,91.00,50.00
..Ukrainian,120.00,101.00,(D),(D)
..Czech,95.00,91.00,(D),(D)
..Slovak,25.00,28.00,(D),(D)
..Bulgarian,275.00,108.00,25.00,26.00
..Slovene,160.00,109.00,(D),(D)
.Armenian,93.00,50.00,(B),--
.Persian,663.00,193.00,107.00,74.00
.Hindi,1245.00,338.00,148.00,97.00
.Gujarati,311.00,151.00,26.00,29.00
.Urdu,261.00,105.00,16.00,15.00
.Other Indic languages,1269.00,367.00,348.00,164.00
..India n.e.c.3,80.00,71.00,(D),(D)
..Bengali,860.00,373.00,305.00,165.00
..Panjabi,(D),(D),(B),--
..Marathi,110.00,107.00,(B),--
..Nepali,85.00,74.00,(D),(D)
..Sindhi,(D),(D),(B),--
..Pakistan n.e.c.3,(D),(D),(B),--
..Sinhalese,65.00,52.00,(B),--
.Other Indo-European languages,1023.00,321.00,125.00,75.00
..Jamaican Creole,135.00,105.00,(B),--
..Krio,50.00,53.00,(D),(D)
..Catalonian,195.00,157.00,(D),(D)
..Romanian,290.00,174.00,(D),(D)
..Welsh,(D),(D),(B),--
..Irish Gaelic,(D),(D),(B),--
..Albanian,180.00,147.00,(D),(D)
