Table with column headers in row 5 and row headers in column A,,,,
Table 10. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Florida:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,18014852.00,540,2107585.00,"14,834"
Speak only English at home,13070061.00,"15,364",(X),(X)
Speak a language other than English at home,4944791.00,"15,256",2107585.00,"14,834"
SPANISH AND SPANISH CREOLE,3640750.00,"9,978",1617076.00,"10,794"
..Spanish,3640735.00,"9,979",1617065.00,"10,797"
..Ladino,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,940254.00,"11,895",343230.00,"6,946"
".French (incl. Patois, Cajun)",114756.00,"3,410",30774.00,"1,442"
..French,107290.00,"3,411",29595.00,"1,465"
..Patois,7390.00,962,1135.00,291
..Cajun,75.00,42,45.00,37
.French Creole,361103.00,"7,687",173905.00,"4,989"
.Italian,49161.00,"2,093",13839.00,"1,000"
.Portuguese (incl. Portuguese Creole),87311.00,"3,268",33328.00,"1,966"
..Portuguese,87105.00,"3,263",33225.00,"1,962"
..Papia Mentae,205.00,130,100.00,75
.German (incl. Luxembourgian),69475.00,"2,416",11906.00,835
..German,69410.00,"2,412",11905.00,835
..Luxembourgian,65.00,55,(B),--
.Yiddish,5785.00,548,828.00,221
.Other West Germanic languages,13769.00,"1,325",1647.00,415
..Pennsylvania Dutch,450.00,164,70.00,46
..Dutch,10360.00,"1,189",1305.00,354
..Afrikaans,2935.00,495,265.00,163
..Frisian,20.00,25,(D),(D)
.Scandinavian languages,9505.00,778,1335.00,327
..Swedish,3930.00,512,470.00,198
..Danish,1935.00,329,270.00,127
..Norwegian,2880.00,469,450.00,177
..Icelandic,755.00,256,150.00,99
.Greek,20862.00,"1,548",4545.00,585
.Russian,35974.00,"2,646",16148.00,"1,584"
.Polish,23937.00,"1,642",8859.00,"1,020"
.Serbo-Croatian languages,17890.00,"1,757",7205.00,999
..Serbocroatian,10625.00,"1,446",4690.00,887
..Croatian,2960.00,571,895.00,262
..Serbian,4305.00,752,1620.00,335
.Other Slavic languages,16520.00,"1,285",5841.00,835
..Bielorussian,55.00,61,55.00,61
..Ukrainian,4605.00,866,1655.00,470
..Czech,4405.00,628,1305.00,332
..Slovak,1595.00,345,625.00,241
..Bulgarian,4670.00,765,1815.00,491
..Macedonian,935.00,342,285.00,144
..Slovene,260.00,132,100.00,62
.Armenian,2268.00,500,663.00,254
.Persian,9435.00,"1,093",2928.00,533
.Hindi,19848.00,"1,889",4457.00,713
.Gujarati,19530.00,"2,024",5574.00,865
.Urdu,17383.00,"1,939",3790.00,566
.Other Indic languages,20422.00,"1,837",6411.00,"1,009"
..India n.e.c.3,3555.00,959,995.00,357
..Bengali,9275.00,"1,248",3380.00,678
..Panjabi,1705.00,412,490.00,183
..Marathi,2140.00,521,315.00,135
..Bihari,215.00,260,160.00,249
..Oriya,175.00,117,(B),--
..Kashmiri,(D),(D),(B),--
..Nepali,1525.00,646,760.00,490
..Sindhi,325.00,200,65.00,68
..Pakistan n.e.c.3,625.00,411,(D),(D)
..Sinhalese,765.00,288,230.00,120
..Romany,90.00,113,(B),--
.Other Indo-European languages,25320.00,"2,010",9247.00,"1,034"
..Jamaican Creole,3440.00,873,980.00,313
..Krio,550.00,453,210.00,233
..Pidgin,95.00,67,(B),--
..Catalonian,175.00,130,75.00,58
..Romanian,9665.00,"1,223",3420.00,607
..Welsh,255.00,102,(D),(D)
..Irish Gaelic,1015.00,251,50.00,62
..Albanian,6275.00,"1,088",3060.00,608
..Lithuanian,2130.00,409,945.00,305
..Latvian,680.00,211,210.00,115
..Pashto,655.00,535,205.00,238
..Kurdish,390.00,229,90.00,62
ASIAN AND PACIFIC ISLAND LANGUAGES,269329.00,"4,348",120898.00,"3,585"
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",59400.00,"2,863",31589.00,"1,933"
..Chinese,43280.00,"2,459",23730.00,"1,802"
..Hakka,(D),(D),(B),--
..Cantonese,6355.00,"1,090",3130.00,646
..Mandarin,8460.00,"1,437",3930.00,904
..Fuchow,(D),(D),(D),(D)
..Formosan,1260.00,348,770.00,259
.Japanese,12041.00,"1,373",5004.00,808
.Korean,18720.00,"1,576",9141.00,911
".Mon-Khmer, Cambodian",4679.00,918,2816.00,630
.Hmong,1643.00,699,890.00,387
.Thai,9870.00,"1,098",5072.00,646
.Laotian,4224.00,793,2190.00,542
.Vietnamese,56119.00,"3,186",33628.00,"2,123"
.Other Asian languages,35024.00,"2,014",10213.00,"1,074"
..Kazakh,(D),(D),(D),(D)
..Uighur,380.00,220,205.00,167
..Azerbaijani,35.00,68,35.00,68
..Turkish,8640.00,"1,064",3055.00,728
..Mongolian,140.00,121,(B),--
..Dravidian,(D),(D),(B),--
..Gondi,40.00,51,(B),--
..Telugu,8255.00,"1,196",1785.00,481
..Kannada,1605.00,444,220.00,175
..Malayalam,7400.00,"1,073",2270.00,484
..Tamil,5395.00,918,895.00,352
..Munda,750.00,331,90.00,96
..Burmese,2005.00,627,1355.00,500
..Karen,325.00,301,270.00,284
..Kachin,30.00,36,30.00,36
..Mien,(D),(D),(B),--
.Tagalog,60165.00,"2,894",17642.00,"1,828"
.Other Pacific Island languages,7444.00,"1,008",2713.00,596
..Indonesian,1600.00,452,830.00,342
..Balinese,(D),(D),(D),(D)
..Malagasy,30.00,54,(D),(D)
..Malay,400.00,157,130.00,99
..Bisayan,1230.00,396,550.00,214
..Sebuano,960.00,341,255.00,125
..Ilocano,550.00,231,165.00,125
..Pampangan,80.00,94,(D),(D)
..Micronesian,(D),(D),(D),(D)
..Carolinian,165.00,162,135.00,154
..Chamorro,620.00,230,(D),(D)
..Marshallese,180.00,146,75.00,60
..Mokilese,(D),(D),(B),--
..Ponapean,315.00,367,(D),(D)
..Yapese,65.00,57,55.00,47
..Melanesian,(D),(D),(D),(D)
..Samoan,555.00,291,75.00,61
..Tongan,185.00,139,125.00,131
..Fijian,(D),(D),(B),--
..Marquesan,(D),(D),(B),--
..Nukuoro,(D),(D),(D),(D)
..Hawaiian,295.00,149,(D),(D)
ALL OTHER LANGUAGES,94458.00,"3,643",26381.00,"1,828"
.Navajo,79.00,66,32.00,46
.Other Native North American languages,1990.00,354,359.00,125
..Aleut,(D),(D),(B),--
..Inupik,65.00,69,(D),(D)
..Algonquian,(D),(D),(D),(D)
..Blackfoot,(D),(D),(B),--
..Cheyenne,(D),(D),(D),(D)
..Cree,60.00,57,35.00,33
..Delaware,(D),(D),(B),--
..Ojibwa,(D),(D),(B),--
..Passamaquoddy,(D),(D),(B),--
..Abnaki,(D),(D),(B),--
..Potawatomi,55.00,46,(B),--
..Shawnee,(D),(D),(B),--
..Apache,(D),(D),(B),--
..Klamath,(D),(D),(B),--
..Sahaptian,(D),(D),(D),(D)
..Havasupai,(D),(D),(B),--
..Dakota,160.00,89,(D),(D)
..Winnebago,(D),(D),(B),--
..Choctaw,(D),(D),(B),--
..Mikasuki,280.00,133,60.00,48
..Muskogee,470.00,156,80.00,47
..Keres,95.00,104,(D),(D)
..Mohawk,(D),(D),(B),--
..Cherokee,170.00,80,(D),(D)
..Shoshoni,(D),(D),(D),(D)
..Tewa,(D),(D),(B),--
..American Indian,305.00,103,30.00,33
..San Carlos,(D),(D),(B),--
.Hungarian,10658.00,975,3836.00,647
.Arabic,42761.00,"2,579",12817.00,"1,295"
