Table with column headers in row 5 and row headers in column A,,,,
Table 11. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Georgia:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,9133039.00,965.00,522952.00,7424.00
Speak only English at home,7921115.00,9722.00,(X),(X)
Speak a language other than English at home,1211924.00,9641.00,522952.00,7424.00
SPANISH AND SPANISH CREOLE,709563.00,6393.00,346236.00,5607.00
..Spanish,709565.00,6393.00,346235.00,5607.00
OTHER INDO-EUROPEAN LANGUAGES,234947.00,6134.00,63569.00,2927.00
".French (incl. Patois, Cajun)",38390.00,2015.00,7294.00,934.00
..French,35800.00,1857.00,7090.00,920.00
..Patois,2460.00,523.00,150.00,103.00
..Cajun,130.00,130.00,(D),(D)
.French Creole,17446.00,2382.00,5258.00,999.00
.Italian,4846.00,561.00,994.00,230.00
.Portuguese (incl. Portuguese Creole),12148.00,1551.00,3931.00,904.00
..Portuguese,12080.00,1562.00,3930.00,904.00
..Papia Mentae,(D),(D),(B),--
.German (incl. Luxembourgian),25968.00,1526.00,3366.00,426.00
..German,25960.00,1526.00,3365.00,426.00
..Luxembourgian,(D),(D),(B),--
.Yiddish,551.00,234.00,48.00,47.00
.Other West Germanic languages,5057.00,742.00,481.00,182.00
..Pennsylvania Dutch,165.00,124.00,(D),(D)
..Dutch,2795.00,452.00,240.00,129.00
..Afrikaans,2100.00,558.00,210.00,126.00
.Scandinavian languages,2236.00,400.00,186.00,103.00
..Swedish,1295.00,319.00,110.00,85.00
..Danish,540.00,158.00,60.00,41.00
..Norwegian,320.00,149.00,(B),--
..Icelandic,70.00,44.00,(D),(D)
..Faroese,(D),(D),(B),--
.Greek,2765.00,469.00,350.00,122.00
.Russian,14848.00,1466.00,5342.00,831.00
.Polish,3767.00,792.00,1105.00,358.00
.Serbo-Croatian languages,7444.00,1233.00,3381.00,658.00
..Serbocroatian,6175.00,1182.00,2945.00,569.00
..Croatian,790.00,695.00,270.00,281.00
..Serbian,480.00,279.00,165.00,128.00
.Other Slavic languages,4378.00,675.00,1511.00,336.00
..Bielorussian,40.00,34.00,40.00,34.00
..Ukrainian,1400.00,465.00,610.00,231.00
..Czech,895.00,275.00,330.00,168.00
..Slovak,290.00,126.00,35.00,41.00
..Bulgarian,1625.00,322.00,460.00,145.00
..Macedonian,135.00,152.00,(D),(D)
.Armenian,449.00,253.00,154.00,132.00
.Persian,9228.00,1321.00,3637.00,759.00
.Hindi,21744.00,2003.00,5083.00,866.00
.Gujarati,19656.00,1993.00,6352.00,876.00
.Urdu,9407.00,1322.00,2533.00,565.00
.Other Indic languages,21774.00,2037.00,8318.00,1094.00
..India n.e.c.3,3555.00,898.00,1620.00,473.00
..Bengali,8220.00,1276.00,2770.00,569.00
..Panjabi,1945.00,646.00,580.00,297.00
..Marathi,2790.00,724.00,660.00,237.00
..Rajasthani,(D),(D),(D),(D)
..Oriya,110.00,106.00,(D),(D)
..Assamese,35.00,50.00,(D),(D)
..Nepali,3345.00,837.00,2330.00,718.00
..Sindhi,800.00,359.00,160.00,119.00
..Pakistan n.e.c.3,365.00,239.00,(B),--
..Sinhalese,545.00,234.00,155.00,106.00
..Romany,(D),(D),(B),--
.Other Indo-European languages,12845.00,1397.00,4245.00,743.00
..Jamaican Creole,1340.00,443.00,95.00,80.00
..Krio,1035.00,578.00,265.00,311.00
..Pidgin,60.00,64.00,(B),--
..Gullah,55.00,51.00,(D),(D)
..Catalonian,60.00,48.00,(B),--
..Romanian,6305.00,1132.00,2085.00,494.00
..Welsh,115.00,136.00,(D),(D)
..Irish Gaelic,380.00,160.00,55.00,56.00
..Scottic Gaelic,(D),(D),(B),--
..Albanian,1420.00,577.00,845.00,362.00
..Lithuanian,680.00,409.00,185.00,132.00
..Latvian,260.00,136.00,75.00,87.00
..Pashto,515.00,468.00,370.00,335.00
..Kurdish,590.00,347.00,220.00,197.00
ASIAN AND PACIFIC ISLAND LANGUAGES,197248.00,4127.00,95464.00,3142.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",42582.00,2032.00,21397.00,1366.00
..Chinese,31485.00,1757.00,16790.00,1268.00
..Hakka,(D),(D),(B),--
"..Kan, Hsiang",(D),(D),(D),(D)
..Cantonese,2750.00,635.00,1110.00,347.00
..Mandarin,7300.00,715.00,3105.00,534.00
..Fuchow,(D),(D),(D),(D)
..Formosan,960.00,335.00,350.00,171.00
..Wu,40.00,66.00,(B),--
.Japanese,8474.00,959.00,3438.00,608.00
.Korean,44978.00,2721.00,25443.00,1903.00
".Mon-Khmer, Cambodian",4475.00,1021.00,2298.00,608.00
.Hmong,3061.00,687.00,907.00,270.00
.Thai,3186.00,769.00,1247.00,364.00
.Laotian,5143.00,809.00,2336.00,477.00
.Vietnamese,41108.00,2327.00,26034.00,1814.00
.Other Asian languages,27285.00,2137.00,7854.00,977.00
..Kazakh,(D),(D),(D),(D)
..Kirghiz,(D),(D),(B),--
..Uighur,50.00,56.00,50.00,56.00
..Azerbaijani,(D),(D),(D),(D)
..Turkish,3190.00,766.00,985.00,319.00
..Mongolian,(D),(D),(B),--
..Dravidian,65.00,96.00,(B),--
..Gondi,55.00,80.00,(D),(D)
..Telugu,8995.00,1074.00,2025.00,467.00
..Kannada,1280.00,383.00,230.00,125.00
..Malayalam,4000.00,742.00,1010.00,343.00
..Tamil,6350.00,914.00,1330.00,479.00
..Munda,115.00,107.00,(B),--
..Tibetan,(D),(D),(D),(D)
..Burmese,1650.00,583.00,1135.00,413.00
..Karen,1230.00,613.00,1015.00,579.00
..Kachin,60.00,88.00,(B),--
..Mien,160.00,141.00,(B),--
.Tagalog,12205.00,1122.00,2884.00,556.00
.Other Pacific Island languages,4751.00,907.00,1626.00,461.00
..Indonesian,2310.00,684.00,1140.00,431.00
..Malagasy,(D),(D),(B),--
..Malay,195.00,157.00,(D),(D)
..Bisayan,175.00,97.00,20.00,27.00
..Sebuano,240.00,135.00,70.00,62.00
..Ilocano,160.00,127.00,95.00,85.00
..Micronesian,180.00,169.00,(B),--
..Chamorro,360.00,167.00,25.00,31.00
..Marshallese,(D),(D),(D),(D)
..Palau,(D),(D),(B),--
..Ponapean,(D),(D),(B),--
..Melanesian,(D),(D),(D),(D)
..Polynesian,10.00,14.00,10.00,14.00
..Samoan,850.00,418.00,175.00,84.00
..Tongan,(D),(D),(B),--
..Fijian,(D),(D),(B),--
..Hawaiian,105.00,80.00,(D),(D)
ALL OTHER LANGUAGES,70166.00,3218.00,17683.00,1504.00
.Navajo,233.00,156.00,21.00,36.00
.Other Native North American languages,1049.00,319.00,85.00,69.00
..Blackfoot,(D),(D),(B),--
..Ottawa,(D),(D),(B),--
..Okanogan,(D),(D),(B),--
..Kuchin,(D),(D),(B),--
..Apache,(D),(D),(B),--
..Pomo,(D),(D),(D),(D)
..Dakota,65.00,56.00,(B),--
..Alabama,(D),(D),(B),--
..Choctaw,(D),(D),(B),--
..Koasati,(D),(D),(B),--
..Muskogee,100.00,66.00,(B),--
..Keres,95.00,85.00,(D),(D)
..Iroquois,(D),(D),(B),--
..Oneida,(D),(D),(B),--
..Cherokee,145.00,74.00,35.00,40.00
..Comanche,(D),(D),(B),--
..Pima,(D),(D),(B),--
..Tewa,140.00,180.00,(B),--
..American Indian,130.00,110.00,(B),--
.Hungarian,956.00,249.00,245.00,112.00
.Arabic,15343.00,1662.00,4084.00,791.00
.Hebrew,2794.00,665.00,97.00,63.00
.African languages,48036.00,2613.00,12499.00,1327.00
..Amharic,12415.00,1752.00,5585.00,1143.00
..Berber,(D),(D),(D),(D)
..Chadic,330.00,246.00,(D),(D)
..Cushite,3255.00,700.00,1470.00,358.00
..Sudanic,(D),(D),(D),(D)
..Nilotic,50.00,50.00,(B),--
..Nubian,20.00,49.00,(D),(D)
..Swahili,4730.00,767.00,525.00,206.00
..Bantu,2225.00,740.00,460.00,245.00
..Mande,865.00,244.00,220.00,125.00
..Fulani,2095.00,633.00,600.00,238.00
..Gur,225.00,309.00,130.00,209.00
"..Kru, Ibo, Yoruba",20450.00,1595.00,3020.00,583.00
..Efik,760.00,326.00,180.00,149.00
..Mbum (and related),100.00,186.00,100.00,186.00
..African,425.00,259.00,110.00,123.00
.Other and unspecified languages,1755.00,507.00,652.00,384.00
..Finnish,545.00,327.00,(D),(D)
..Estonian,25.00,25.00,(B),--
..Caucasian,260.00,155.00,(D),(D)
..Syriac,(D),(D),(B),--
..Aztecan,(D),(D),(D),(D)
..Mayan languages,110.00,110.00,55.00,52.00
..Mapuche,210.00,267.00,195.00,246.00
..Oto - Manguen,290.00,294.00,265.00,269.00
..Arawakian,20.00,22.00,20.00,22.00
..Chibchan,160.00,251.00,75.00,116.00
..Uncodable,120.00,73.00,(B),--
,,,,
