Table with column headers in row 5 and row headers in column A,,,,
Table 12. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Hawaii:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,1287075.00,151.00,159497.00,3268.00
Speak only English at home,960182.00,4625.00,(X),(X)
Speak a language other than English at home,326893.00,4609.00,159497.00,3268.00
SPANISH AND SPANISH CREOLE,25491.00,1500.00,7011.00,819.00
..Spanish,25490.00,1500.00,7010.00,819.00
OTHER INDO-EUROPEAN LANGUAGES,19537.00,1322.00,3855.00,601.00
".French (incl. Patois, Cajun)",4450.00,579.00,751.00,216.00
..French,4405.00,576.00,715.00,204.00
..Patois,(D),(D),(D),(D)
.French Creole,348.00,323.00,256.00,296.00
.Italian,655.00,197.00,106.00,63.00
.Portuguese (incl. Portuguese Creole),1915.00,414.00,322.00,124.00
..Portuguese,1915.00,414.00,320.00,124.00
.German (incl. Luxembourgian),4615.00,724.00,823.00,350.00
..German,4615.00,724.00,825.00,350.00
.Yiddish,39.00,36.00,(B),--
.Other West Germanic languages,550.00,158.00,24.00,19.00
..Pennsylvania Dutch,(D),(D),(B),--
..Dutch,445.00,119.00,25.00,19.00
..Afrikaans,50.00,51.00,(B),--
.Scandinavian languages,813.00,210.00,160.00,130.00
..Swedish,375.00,138.00,35.00,41.00
..Danish,210.00,125.00,95.00,119.00
..Norwegian,205.00,126.00,35.00,31.00
..Icelandic,25.00,27.00,(B),--
.Greek,192.00,118.00,101.00,100.00
.Russian,1169.00,314.00,347.00,124.00
.Polish,513.00,193.00,164.00,107.00
.Serbo-Croatian languages,187.00,128.00,31.00,37.00
..Croatian,35.00,38.00,(D),(D)
..Serbian,155.00,124.00,(D),(D)
.Other Slavic languages,623.00,251.00,85.00,71.00
..Ukrainian,85.00,58.00,(D),(D)
..Czech,360.00,241.00,65.00,66.00
..Slovak,(D),(D),(B),--
..Bulgarian,105.00,86.00,(D),(D)
..Slovene,(D),(D),(B),--
.Armenian,82.00,69.00,16.00,21.00
.Persian,476.00,212.00,99.00,75.00
.Hindi,410.00,159.00,171.00,117.00
.Gujarati,57.00,86.00,12.00,19.00
.Urdu,45.00,44.00,12.00,20.00
.Other Indic languages,430.00,189.00,139.00,86.00
..India n.e.c.3,65.00,73.00,(D),(D)
..Bengali,95.00,81.00,45.00,55.00
..Panjabi,(D),(D),(D),(D)
..Marathi,75.00,99.00,30.00,39.00
..Kashmiri,(D),(D),(D),(D)
..Nepali,100.00,77.00,30.00,33.00
..Sinhalese,30.00,35.00,(B),--
.Other Indo-European languages,1968.00,347.00,236.00,92.00
..Jamaican Creole,40.00,42.00,(B),--
..Hawaiian Pidgin,335.00,210.00,(D),(D)
..Pidgin,1275.00,286.00,185.00,85.00
..Catalonian,(D),(D),(D),(D)
..Romanian,145.00,95.00,(D),(D)
..Irish Gaelic,25.00,22.00,(B),--
..Albanian,(D),(D),(B),--
..Lithuanian,45.00,64.00,(D),(D)
..Latvian,50.00,50.00,(D),(D)
..Pashto,15.00,20.00,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,279961.00,4085.00,148136.00,3020.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",31537.00,1677.00,20010.00,1259.00
..Chinese,17360.00,1259.00,10450.00,837.00
..Cantonese,7890.00,852.00,5375.00,648.00
..Mandarin,5650.00,919.00,3705.00,738.00
..Fuchow,(D),(D),(B),--
..Formosan,620.00,195.00,480.00,163.00
..Wu,(D),(D),(B),--
.Japanese,45633.00,1705.00,21262.00,1162.00
.Korean,17276.00,1497.00,11713.00,1199.00
".Mon-Khmer, Cambodian",274.00,121.00,48.00,47.00
.Hmong,23.00,28.00,7.00,12.00
.Thai,1920.00,402.00,1045.00,309.00
.Laotian,2279.00,710.00,1462.00,498.00
.Vietnamese,9418.00,1022.00,6686.00,836.00
.Other Asian languages,769.00,299.00,338.00,256.00
..Kazakh,(D),(D),(B),--
..Turkish,40.00,39.00,(B),--
..Mongolian,55.00,42.00,(D),(D)
..Telugu,185.00,111.00,(D),(D)
..Kannada,(D),(D),(B),--
..Malayalam,30.00,38.00,(D),(D)
..Tamil,30.00,34.00,(B),--
..Tibetan,(D),(D),(D),(D)
..Burmese,170.00,146.00,80.00,94.00
..Paleo-siberian,230.00,238.00,230.00,238.00
.Tagalog,58345.00,3064.00,30147.00,1958.00
.Other Pacific Island languages,112487.00,3668.00,55418.00,2643.00
..Indonesian,880.00,523.00,570.00,456.00
..Balinese,(D),(D),(B),--
..Javanese,(D),(D),(B),--
..Malagasy,(D),(D),(B),--
..Malay,60.00,45.00,(B),--
..Bisayan,3005.00,639.00,1640.00,549.00
..Sebuano,260.00,160.00,125.00,111.00
..Pangasinan,170.00,100.00,50.00,41.00
..Ilocano,54005.00,2776.00,33085.00,2070.00
..Bikol,(D),(D),(D),(D)
..Pampangan,70.00,56.00,55.00,52.00
..Micronesian,3965.00,1007.00,2210.00,633.00
..Carolinian,145.00,208.00,130.00,207.00
..Chamorro,820.00,245.00,235.00,100.00
..Gilbertese,(D),(D),(D),(D)
..Kusaiean,515.00,295.00,270.00,200.00
..Marshallese,6930.00,1281.00,3840.00,742.00
..Mokilese,(D),(D),(D),(D)
..Palau,580.00,225.00,195.00,107.00
..Ponapean,715.00,268.00,445.00,210.00
..Trukese,4475.00,875.00,3410.00,771.00
..Ulithean,40.00,41.00,(D),(D)
..Yapese,155.00,105.00,110.00,79.00
..Melanesian,(D),(D),(B),--
..Samoan,12795.00,1443.00,4400.00,713.00
..Tongan,3860.00,863.00,1515.00,421.00
..Niuean,(D),(D),(B),--
..Tokelauan,(D),(D),(B),--
..Fijian,65.00,40.00,25.00,24.00
..Marquesan,65.00,52.00,(B),--
..Rarotongan,35.00,39.00,(B),--
..Maori,70.00,52.00,(D),(D)
..Hawaiian,18610.00,1505.00,3010.00,571.00
ALL OTHER LANGUAGES,1904.00,391.00,495.00,177.00
.Navajo,13.00,26.00,(B),--
.Other Native North American languages,220.00,120.00,110.00,93.00
..Inupik,(D),(D),(B),--
..Yupik,(D),(D),(D),(D)
..Blackfoot,(D),(D),(B),--
..Ottawa,(D),(D),(B),--
..Athapascan,(D),(D),(D),(D)
..Foothill North Yokuts,55.00,71.00,55.00,71.00
..Upper Chinook,35.00,61.00,35.00,61.00
..Crow,(D),(D),(B),--
..Dakota,(D),(D),(B),--
..Muskogee,(D),(D),(B),--
..Keres,(D),(D),(D),(D)
..Zuni,(D),(D),(B),--
..American Indian,(D),(D),(B),--
.Hungarian,139.00,81.00,27.00,33.00
.Arabic,446.00,170.00,81.00,89.00
.Hebrew,290.00,181.00,44.00,52.00
.African languages,594.00,227.00,223.00,107.00
..Amharic,50.00,46.00,25.00,37.00
..Cushite,(D),(D),(B),--
..Swahili,40.00,49.00,40.00,49.00
..Bantu,190.00,127.00,95.00,69.00
..Mande,50.00,39.00,(D),(D)
..Fulani,45.00,68.00,(B),--
"..Kru, Ibo, Yoruba",220.00,154.00,45.00,50.00
.Other and unspecified languages,202.00,86.00,10.00,16.00
..Finnish,90.00,53.00,(D),(D)
..Estonian,45.00,51.00,(B),--
..Uncodable,65.00,53.00,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US15). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
