Table with column headers in row 5 and row headers in column A,,,,
Table 13. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Idaho:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,1465609.00,322.00,57835.00,1926.00
Speak only English at home,1312576.00,2979.00,(X),(X)
Speak a language other than English at home,153033.00,2969.00,57835.00,1926.00
SPANISH AND SPANISH CREOLE,114558.00,2268.00,45709.00,1605.00
..Spanish,114560.00,2268.00,45710.00,1605.00
OTHER INDO-EUROPEAN LANGUAGES,20687.00,1533.00,5262.00,794.00
".French (incl. Patois, Cajun)",3268.00,492.00,360.00,162.00
..French,3265.00,493.00,360.00,162.00
..Patois,(D),(D),(B),--
.French Creole,64.00,36.00,13.00,14.00
.Italian,660.00,145.00,101.00,67.00
.Portuguese (incl. Portuguese Creole),1563.00,378.00,166.00,89.00
..Portuguese,1565.00,378.00,165.00,89.00
.German (incl. Luxembourgian),4483.00,546.00,671.00,187.00
..German,4485.00,546.00,670.00,187.00
.Yiddish,20.00,22.00,(B),--
.Other West Germanic languages,786.00,211.00,172.00,86.00
..Pennsylvania Dutch,(D),(D),(B),--
..Dutch,665.00,171.00,160.00,84.00
..Afrikaans,45.00,53.00,(B),--
..Frisian,70.00,90.00,(D),(D)
.Scandinavian languages,707.00,178.00,94.00,49.00
..Swedish,400.00,147.00,60.00,44.00
..Danish,180.00,89.00,35.00,24.00
..Norwegian,130.00,61.00,(B),--
.Greek,245.00,112.00,119.00,90.00
.Russian,1878.00,454.00,681.00,228.00
.Polish,225.00,103.00,73.00,57.00
.Serbo-Croatian languages,2533.00,794.00,847.00,328.00
..Serbocroatian,2425.00,772.00,815.00,325.00
..Croatian,70.00,61.00,20.00,23.00
..Serbian,35.00,35.00,(D),(D)
.Other Slavic languages,783.00,375.00,278.00,213.00
..Ukrainian,540.00,333.00,245.00,208.00
..Czech,230.00,128.00,30.00,31.00
..Slovak,(D),(D),(B),--
..Bulgarian,(D),(D),(B),--
.Armenian,34.00,31.00,3.00,6.00
.Persian,484.00,343.00,283.00,273.00
.Hindi,296.00,151.00,31.00,21.00
.Gujarati,99.00,116.00,(B),--
.Urdu,30.00,44.00,15.00,22.00
.Other Indic languages,1249.00,458.00,896.00,417.00
..India n.e.c.3,(D),(D),(B),--
..Bengali,(D),(D),(B),--
..Panjabi,255.00,174.00,160.00,98.00
..Marathi,85.00,76.00,(D),(D)
..Nepali,890.00,433.00,715.00,402.00
..Sinhalese,(D),(D),(B),--
.Other Indo-European languages,1280.00,390.00,459.00,219.00
..Jamaican Creole,(D),(D),(D),(D)
..Krio,50.00,46.00,20.00,24.00
..Romanian,895.00,347.00,315.00,191.00
..Irish Gaelic,40.00,36.00,(B),--
..Albanian,160.00,124.00,80.00,64.00
..Lithuanian,40.00,52.00,4.00,15.00
..Latvian,55.00,47.00,(B),--
..Pashto,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,12505.00,957.00,5135.00,635.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",3281.00,596.00,1586.00,372.00
..Chinese,2175.00,522.00,1080.00,335.00
..Cantonese,355.00,224.00,140.00,115.00
..Mandarin,490.00,213.00,155.00,91.00
..Formosan,260.00,152.00,210.00,127.00
.Japanese,1595.00,302.00,522.00,158.00
.Korean,1128.00,256.00,499.00,164.00
".Mon-Khmer, Cambodian",98.00,66.00,39.00,31.00
.Hmong,42.00,50.00,(B),--
.Thai,412.00,152.00,139.00,74.00
.Laotian,787.00,277.00,302.00,129.00
.Vietnamese,1049.00,345.00,653.00,258.00
.Other Asian languages,1248.00,431.00,759.00,352.00
..Uighur,145.00,164.00,145.00,164.00
..Turkish,325.00,240.00,200.00,172.00
..Telugu,195.00,120.00,(D),(D)
..Kannada,50.00,63.00,(B),--
..Malayalam,(D),(D),(D),(D)
..Tamil,180.00,133.00,75.00,105.00
..Burmese,70.00,74.00,70.00,74.00
..Karen,270.00,208.00,215.00,159.00
.Tagalog,1886.00,381.00,510.00,180.00
.Other Pacific Island languages,979.00,247.00,126.00,72.00
..Indonesian,130.00,99.00,(D),(D)
..Malay,(D),(D),(B),--
..Bisayan,70.00,51.00,(D),(D)
..Sebuano,30.00,26.00,(B),--
..Ilocano,(D),(D),(B),--
..Pampangan,(D),(D),(B),--
..Micronesian,(D),(D),(D),(D)
..Chamorro,355.00,192.00,(D),(D)
..Gilbertese,(D),(D),(B),--
..Palau,25.00,32.00,(B),--
..Trukese,45.00,50.00,(D),(D)
..Woleai-Ulithi,(D),(D),(D),(D)
..Yapese,(D),(D),(B),--
..Polynesian,(D),(D),(B),--
..Samoan,80.00,68.00,(D),(D)
..Tongan,60.00,113.00,(B),--
..Fijian,(D),(D),(B),--
ALL OTHER LANGUAGES,5283.00,690.00,1729.00,514.00
.Navajo,153.00,97.00,21.00,20.00
.Other Native North American languages,1967.00,280.00,238.00,134.00
..Aleut,(D),(D),(B),--
..Arapaho,(D),(D),(B),--
..Blackfoot,30.00,26.00,(B),--
..Cheyenne,70.00,86.00,(B),--
..Yurok,(D),(D),(D),(D)
..Kutenai,45.00,46.00,(B),--
..Coeur d'Alene,55.00,45.00,(B),--
..Okanogan,(D),(D),(B),--
..Apache,4.00,9.00,4.00,9.00
..Nez Perce,535.00,124.00,25.00,26.00
..Crow,15.00,22.00,(B),--
..Dakota,50.00,39.00,(D),(D)
..Choctaw,(D),(D),(B),--
..Muskogee,(D),(D),(B),--
..Cherokee,(D),(D),(B),--
..Comanche,(D),(D),(B),--
..Paiute,65.00,57.00,40.00,44.00
..Northern Paiute,20.00,22.00,(B),--
..Shoshoni,815.00,160.00,70.00,45.00
..Pima,4.00,4.00,(B),--
..American Indian,120.00,122.00,(D),(D)
.Hungarian,108.00,71.00,38.00,46.00
.Arabic,1270.00,480.00,428.00,257.00
.Hebrew,16.00,24.00,(B),--
.African languages,1050.00,426.00,701.00,418.00
..Amharic,145.00,87.00,90.00,83.00
..Cushite,235.00,298.00,220.00,297.00
..Swahili,185.00,160.00,45.00,54.00
..Bantu,335.00,315.00,305.00,314.00
..Fulani,(D),(D),(D),(D)
"..Kru, Ibo, Yoruba",85.00,69.00,(B),--
..African,25.00,30.00,(B),--
.Other and unspecified languages,719.00,164.00,303.00,116.00
..Finnish,105.00,50.00,15.00,14.00
..Caucasian,25.00,25.00,(D),(D)
..Basque,500.00,151.00,240.00,115.00
..Mayan languages,(D),(D),(B),--
..Uncodable,85.00,64.00,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US16). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
