Table with column headers in row 5 and row headers in column A,,,,
Table 14. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Illinois:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,12027783.00,470.00,1131389.00,8843.00
Speak only English at home,9342837.00,12175.00,(X),(X)
Speak a language other than English at home,2684946.00,12160.00,1131389.00,8843.00
SPANISH AND SPANISH CREOLE,1570809.00,6916.00,704908.00,5861.00
..Spanish,1570810.00,6916.00,704910.00,5861.00
OTHER INDO-EUROPEAN LANGUAGES,670517.00,8255.00,246768.00,4673.00
".French (incl. Patois, Cajun)",35613.00,1773.00,8065.00,851.00
..French,35005.00,1799.00,8015.00,851.00
..Patois,540.00,155.00,50.00,30.00
..Cajun,65.00,66.00,(D),(D)
.French Creole,4727.00,826.00,1285.00,333.00
.Italian,40223.00,1797.00,11450.00,809.00
.Portuguese (incl. Portuguese Creole),6699.00,851.00,1341.00,244.00
..Portuguese,6650.00,840.00,1340.00,244.00
..Papia Mentae,50.00,71.00,(B),--
.German (incl. Luxembourgian),45782.00,1929.00,7550.00,659.00
..German,45780.00,1929.00,7550.00,659.00
.Yiddish,1372.00,379.00,240.00,142.00
.Other West Germanic languages,6411.00,652.00,1240.00,286.00
..Pennsylvania Dutch,2315.00,507.00,655.00,252.00
..Dutch,3440.00,440.00,515.00,183.00
..Afrikaans,655.00,255.00,70.00,68.00
.Scandinavian languages,3508.00,456.00,444.00,144.00
..Swedish,1950.00,309.00,245.00,116.00
..Danish,715.00,147.00,70.00,64.00
..Norwegian,820.00,252.00,130.00,70.00
..Icelandic,25.00,26.00,(B),--
.Greek,33302.00,2143.00,8438.00,747.00
.Russian,41404.00,1992.00,19575.00,1215.00
.Polish,185121.00,4705.00,91438.00,2828.00
.Serbo-Croatian languages,31264.00,2214.00,12478.00,1208.00
..Serbocroatian,11720.00,1426.00,5040.00,788.00
..Croatian,4910.00,653.00,1440.00,286.00
..Serbian,14635.00,1287.00,6000.00,766.00
