Table with column headers in row 5 and row headers in column A,,,,
Table 15. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Indiana:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,6087409.00,542,198648.00,"4,069"
Speak only English at home,5588460.00,"5,499",(X),(X)
Speak a language other than English at home,498949.00,"5,498",198648.00,"4,069"
SPANISH AND SPANISH CREOLE,277381.00,"3,508",123268.00,"3,124"
..Spanish,277380.00,"3,508",123270.00,"3,124"
OTHER INDO-EUROPEAN LANGUAGES,136530.00,"3,659",36637.00,"1,839"
".French (incl. Patois, Cajun)",13911.00,"1,131",3150.00,485
..French,13770.00,"1,126",3110.00,490
..Patois,125.00,125,(D),(D)
..Cajun,(D),(D),(B),--
.French Creole,1438.00,432,375.00,251
.Italian,3574.00,550,448.00,138
.Portuguese (incl. Portuguese Creole),1878.00,472,512.00,222
..Portuguese,1880.00,472,510.00,222
.German (incl. Luxembourgian),35409.00,"1,839",8107.00,955
..German,35400.00,"1,838",8100.00,953
..Luxembourgian,(D),(D),(D),(D)
.Yiddish,185.00,124,20.00,30
.Other West Germanic languages,24121.00,"1,561",7221.00,768
..Pennsylvania Dutch,15895.00,"1,391",4600.00,631
..Dutch,7950.00,727,2595.00,465
..Afrikaans,275.00,164,(D),(D)
.Scandinavian languages,876.00,330,44.00,35
..Swedish,220.00,92,(D),(D)
..Danish,410.00,243,(D),(D)
..Norwegian,120.00,67,(D),(D)
..Icelandic,130.00,169,(B),--
.Greek,4391.00,670,1085.00,280
.Russian,4835.00,879,1980.00,482
.Polish,4965.00,620,1361.00,323
.Serbo-Croatian languages,7265.00,897,2822.00,469
..Serbocroatian,2705.00,593,1260.00,330
..Croatian,780.00,270,230.00,119
..Serbian,3780.00,665,1330.00,334
.Other Slavic languages,5154.00,878,1709.00,426
..Bielorussian,(D),(D),(B),--
..Ukrainian,1005.00,286,330.00,132
..Czech,350.00,136,30.00,26
..Lusatian,(D),(D),(B),--
..Slovak,435.00,206,40.00,27
..Bulgarian,420.00,225,30.00,24
..Macedonian,2875.00,718,1280.00,392
..Slovene,55.00,36,(B),--
.Armenian,122.00,86,28.00,37
.Persian,1480.00,314,423.00,169
.Hindi,7225.00,"1,061",1762.00,485
.Gujarati,4007.00,646,1343.00,341
.Urdu,3573.00,668,864.00,265
.Other Indic languages,9234.00,"1,116",2786.00,544
..India n.e.c.3,1255.00,441,340.00,194
..Bengali,1155.00,334,250.00,121
..Panjabi,5130.00,876,1755.00,476
..Marathi,860.00,307,130.00,86
..Bihari,(D),(D),(B),--
..Oriya,45.00,69,(B),--
..Assamese,(D),(D),(B),--
..Nepali,245.00,176,160.00,110
..Sindhi,(D),(D),(B),--
..Pakistan n.e.c.3,55.00,67,(D),(D)
..Sinhalese,345.00,159,90.00,79
..Romany,50.00,64,45.00,52
.Other Indo-European languages,2887.00,580,597.00,207
..Jamaican Creole,85.00,114,(B),--
..Krio,50.00,41,(B),--
..Pidgin,(D),(D),(B),--
..Catalonian,(D),(D),(D),(D)
..Romanian,1145.00,357,195.00,110
..Welsh,(D),(D),(B),--
..Irish Gaelic,230.00,82,45.00,34
..Scottic Gaelic,45.00,52,(B),--
..Albanian,180.00,144,(D),(D)
..Lithuanian,700.00,289,190.00,104
..Latvian,300.00,143,105.00,71
..Pashto,115.00,117,(D),(D)
