Table with column headers in row 5 and row headers in column A,,,,
Table 16. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Iowa:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,"2,864,943",515,"85,841","1,935"
Speak only English at home,"2,657,355","2,468",(X),(X)
Speak a language other than English at home,"207,588","2,445","85,841","1,935"
SPANISH AND SPANISH CREOLE,"113,173","1,810","50,002","1,482"
..Spanish,"113,175","1,810","50,000","1,482"
OTHER INDO-EUROPEAN LANGUAGES,"45,955","2,009","13,058",988
".French (incl. Patois, Cajun)","5,458",611,995,292
..French,"5,440",612,995,292
..Patois,(D),(D),(B),--
..Cajun,(D),(D),(B),--
.French Creole,31,30,(B),--
.Italian,"1,083",211,166,64
.Portuguese (incl. Portuguese Creole),668,183,120,61
..Portuguese,670,183,120,61
.German (incl. Luxembourgian),"12,482",925,"2,615",390
..German,"12,465",926,"2,615",390
..Luxembourgian,20,14,(B),--
.Yiddish,253,150,86,97
.Other West Germanic languages,"3,773",649,"1,126",325
..Pennsylvania Dutch,"2,015",563,875,307
..Dutch,"1,630",323,200,89
..Afrikaans,125,102,50,62
.Scandinavian languages,"1,269",251,120,56
..Swedish,220,93,25,26
..Danish,425,145,40,30
..Norwegian,565,177,55,30
..Icelandic,55,45,(B),--
.Greek,562,250,69,44
.Russian,"1,936",436,637,158
.Polish,522,130,147,75
.Serbo-Croatian languages,"8,635",960,"4,003",598
..Serbocroatian,"7,965",923,"3,795",583
..Croatian,265,135,110,118
..Serbian,405,238,100,73
.Other Slavic languages,"1,388",262,503,154
..Ukrainian,595,220,315,129
..Czech,620,124,100,50
..Slovak,115,72,40,45
..Bulgarian,60,52,45,43
..Macedonian,(D),(D),(B),--
.Armenian,122,94,71,82
.Persian,327,130,107,82
.Hindi,"2,628",485,924,238
.Gujarati,532,238,169,109
.Urdu,806,335,164,109
.Other Indic languages,"2,353",654,729,259
..India n.e.c.3,355,225,45,43
..Bengali,200,118,50,57
..Panjabi,330,168,55,42
..Marathi,610,280,80,54
..Assamese,10,17,(D),(D)
