Table with column headers in row 5 and row headers in column A,,,,
Table 17. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Kansas:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,"2,665,346",409,"120,332","2,673"
Speak only English at home,"2,371,428","3,466",(X),(X)
Speak a language other than English at home,"293,918","3,462","120,332","2,673"
SPANISH AND SPANISH CREOLE,"195,103","2,333","85,126","2,115"
..Spanish,"195,105","2,333","85,125","2,115"
OTHER INDO-EUROPEAN LANGUAGES,"39,087","1,602","7,738",680
".French (incl. Patois, Cajun)","4,847",568,894,225
..French,"4,715",567,885,223
..Patois,70,50,(D),(D)
..Cajun,65,76,4,4
.French Creole,337,187,18,40
.Italian,"1,058",266,258,133
.Portuguese (incl. Portuguese Creole),"1,342",336,409,199
..Portuguese,"1,340",336,410,199
.German (incl. Luxembourgian),"13,095",748,"1,949",290
..German,"13,095",748,"1,950",290
.Yiddish,70,54,(B),--
.Other West Germanic languages,"1,882",284,270,113
..Pennsylvania Dutch,540,138,40,31
..Dutch,"1,015",242,180,99
..Afrikaans,330,130,55,46
.Scandinavian languages,567,208,49,47
..Swedish,185,104,35,43
..Danish,120,72,(B),--
..Norwegian,135,65,(D),(D)
..Icelandic,125,180,(B),--
.Greek,351,120,53,43
.Russian,"2,860",728,733,228
.Polish,469,187,75,59
.Serbo-Croatian languages,675,194,256,102
..Serbocroatian,85,69,60,56
..Croatian,530,177,180,85
..Serbian,60,48,(D),(D)
.Other Slavic languages,729,206,183,139
..Ukrainian,100,85,50,44
..Czech,195,67,45,36
..Slovak,(D),(D),(D),(D)
..Bulgarian,320,204,(D),(D)
..Macedonian,55,56,(B),--
..Slovene,(D),(D),(B),--
.Armenian,113,71,11,21
.Persian,"1,485",441,472,192
.Hindi,"2,919",534,275,128
.Gujarati,575,171,239,105
.Urdu,"1,203",377,261,130
.Other Indic languages,"3,936",559,"1,098",265
..India n.e.c.3,310,249,135,115
..Bengali,"1,050",318,245,104
..Panjabi,830,301,190,104
..Marathi,305,167,(D),(D)
..Oriya,(D),(D),(D),(D)
..Assamese,(D),(D),(B),--
..Kashmiri,60,68,(B),--
..Nepali,685,263,240,142
..Sindhi,30,45,(B),--
..Pakistan n.e.c.3,100,80,75,53
..Sinhalese,515,220,180,124
.Other Indo-European languages,574,242,235,121
..Jamaican Creole,15,22,(B),--
