Table with column headers in row 5 and row headers in column A,,,,
Table 18. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Kentucky:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,"4,082,467",773,"85,829","2,385"
Speak only English at home,"3,879,829","4,073",(X),(X)
Speak a language other than English at home,"202,638","4,065","85,829","2,385"
SPANISH AND SPANISH CREOLE,"104,471","2,443","49,237","1,702"
..Spanish,"104,470","2,443","49,235","1,702"
OTHER INDO-EUROPEAN LANGUAGES,"51,176","2,360","15,455","1,191"
".French (incl. Patois, Cajun)","8,031",809,"1,825",316
..French,"7,995",807,"1,825",316
..Patois,35,34,(B),--
.French Creole,465,245,146,119
.Italian,943,204,150,67
.Portuguese (incl. Portuguese Creole),771,233,115,75
..Portuguese,770,233,115,75
.German (incl. Luxembourgian),"13,016","1,379","3,048",645
..German,"13,015","1,379","3,050",645
.Yiddish,109,63,(B),--
.Other West Germanic languages,"5,345",968,"1,848",507
..Pennsylvania Dutch,"3,440",768,"1,255",465
..Dutch,"1,790",462,570,237
..Afrikaans,115,81,(D),(D)
.Scandinavian languages,658,240,16,19
..Swedish,140,76,(B),--
..Danish,265,155,(B),--
..Norwegian,250,174,(D),(D)
..Icelandic,(D),(D),(D),(D)
.Greek,802,306,168,144
.Russian,"2,108",386,959,252
.Polish,535,175,123,82
.Serbo-Croatian languages,"5,067",740,"2,569",475
..Serbocroatian,"4,825",753,"2,545",474
..Croatian,115,97,(D),(D)
..Serbian,130,96,(D),(D)
.Other Slavic languages,"1,701",424,639,230
..Ukrainian,"1,080",398,410,179
..Czech,125,78,(D),(D)
..Slovak,85,47,(D),(D)
..Bulgarian,395,198,190,131
..Slovene,(D),(D),(B),--
.Armenian,145,163,64,73
.Persian,"1,021",340,377,134
.Hindi,"2,429",494,445,176
.Gujarati,"1,266",451,429,205
.Urdu,"1,245",382,347,143
.Other Indic languages,"4,113",800,"1,641",493
..India n.e.c.3,355,304,90,97
..Bengali,575,195,70,44
..Panjabi,635,342,195,134
..Marathi,355,200,(D),(D)
..Oriya,25,42,(D),(D)
..Assamese,(D),(D),(B),--
..Nepali,"1,855",579,"1,185",485
..Sindhi,40,44,(D),(D)
..Pakistan n.e.c.3,30,53,(B),--
..Sinhalese,175,135,55,56
..Romany,45,43,(B),--
.Other Indo-European languages,"1,406",398,546,245
..Jamaican Creole,35,42,(D),(D)
..Krio,30,37,(B),--
..Pidgin,15,18,(B),--
..Catalonian,(D),(D),(B),--
..Romanian,470,222,215,141
..Welsh,(D),(D),(B),--
..Irish Gaelic,55,38,(B),--
..Scottic Gaelic,(D),(D),(B),--
..Albanian,545,300,235,156
..Lithuanian,60,50,(D),(D)
..Latvian,15,14,(B),--
..Pashto,20,23,15,19
..Kurdish,140,124,60,56
ASIAN AND PACIFIC ISLAND LANGUAGES,"32,592","1,048","15,779",878
