Table with column headers in row 5 and row headers in column A,,,,
Table 19. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Louisiana:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,4255893.00,450.00,119591.00,3145.00
Speak only English at home,3887593.00,4476.00,(X),(X)
Speak a language other than English at home,368300.00,4515.00,119591.00,3145.00
SPANISH AND SPANISH CREOLE,150424.00,2356.00,65395.00,2054.00
..Spanish,150415.00,2358.00,65395.00,2054.00
..Ladino,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,154092.00,3179.00,25649.00,1276.00
".French (incl. Patois, Cajun)",119931.00,2756.00,18295.00,910.00
..French,101330.00,2402.00,16060.00,863.00
..Patois,130.00,134.00,(B),--
..Cajun,18470.00,1036.00,2235.00,295.00
.French Creole,6706.00,886.00,649.00,170.00
.Italian,2450.00,317.00,374.00,127.00
.Portuguese (incl. Portuguese Creole),3117.00,750.00,1170.00,440.00
..Portuguese,3115.00,750.00,1170.00,440.00
.German (incl. Luxembourgian),5412.00,521.00,722.00,179.00
..German,5395.00,519.00,720.00,179.00
..Luxembourgian,(D),(D),(B),--
.Yiddish,52.00,50.00,2.00,5.00
.Other West Germanic languages,490.00,187.00,24.00,26.00
..Dutch,395.00,152.00,25.00,26.00
..Afrikaans,95.00,119.00,(B),--
.Scandinavian languages,525.00,193.00,58.00,43.00
..Swedish,95.00,72.00,(B),--
..Danish,155.00,86.00,(D),(D)
..Norwegian,275.00,163.00,40.00,36.00
.Greek,540.00,188.00,88.00,51.00
.Russian,1779.00,476.00,520.00,216.00
.Polish,844.00,229.00,80.00,48.00
.Serbo-Croatian languages,990.00,448.00,309.00,179.00
..Serbocroatian,300.00,250.00,110.00,113.00
..Croatian,660.00,377.00,185.00,139.00
..Serbian,30.00,38.00,(D),(D)
.Other Slavic languages,432.00,143.00,78.00,64.00
..Ukrainian,40.00,45.00,(D),(D)
..Czech,140.00,95.00,(D),(D)
..Slovak,40.00,40.00,(B),--
..Bulgarian,160.00,73.00,30.00,37.00
..Macedonian,50.00,42.00,(D),(D)
.Armenian,63.00,78.00,10.00,18.00
.Persian,1454.00,397.00,378.00,173.00
.Hindi,1860.00,478.00,327.00,166.00
.Gujarati,1079.00,332.00,353.00,166.00
.Urdu,2223.00,554.00,743.00,284.00
.Other Indic languages,3352.00,717.00,1276.00,486.00
..India n.e.c.3,780.00,449.00,310.00,229.00
..Bengali,905.00,316.00,320.00,183.00
..Panjabi,475.00,233.00,110.00,97.00
..Marathi,355.00,212.00,(B),--
..Oriya,(D),(D),(D),(D)
..Nepali,340.00,187.00,185.00,118.00
..Sindhi,20.00,29.00,(B),--
..Pakistan n.e.c.3,225.00,191.00,225.00,191.00
..Sinhalese,230.00,129.00,125.00,105.00
..Romany,(D),(D),(B),--
.Other Indo-European languages,793.00,247.00,193.00,114.00
..Jamaican Creole,105.00,53.00,(D),(D)
..Krio,(D),(D),(B),--
..Romanian,320.00,195.00,45.00,36.00
..Irish Gaelic,65.00,39.00,25.00,27.00
..Scottic Gaelic,(D),(D),(B),--
..Albanian,120.00,115.00,40.00,58.00
..Lithuanian,85.00,94.00,(D),(D)
..Latvian,(D),(D),(B),--
..Pashto,(D),(D),(B),--
..Kurdish,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,52463.00,1329.00,25719.00,1328.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",9471.00,1054.00,5007.00,760.00
..Chinese,8240.00,954.00,4635.00,740.00
..Cantonese,385.00,211.00,120.00,93.00
..Mandarin,570.00,202.00,130.00,74.00
..Formosan,275.00,168.00,120.00,80.00
