Table with column headers in row 5 and row headers in column A,,,,
Table 20. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Maine:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,1261144.00,269,21071.00,"1,070"
Speak only English at home,1175657.00,"1,860",(X),(X)
Speak a language other than English at home,85487.00,"1,855",21071.00,"1,070"
SPANISH AND SPANISH CREOLE,11599.00,813,2543.00,366
..Spanish,11600.00,813,2545.00,366
OTHER INDO-EUROPEAN LANGUAGES,57615.00,"1,447",10885.00,766
".French (incl. Patois, Cajun)",45475.00,"1,290",8522.00,647
..French,45350.00,"1,323",8440.00,650
..Patois,125.00,125,85.00,94
.French Creole,123.00,61,(B),--
.Italian,1019.00,196,123.00,48
.Portuguese (incl. Portuguese Creole),673.00,194,107.00,67
..Portuguese,675.00,194,105.00,67
.German (incl. Luxembourgian),3417.00,368,385.00,118
..German,3415.00,368,385.00,118
.Yiddish,42.00,44,8.00,13
.Other West Germanic languages,528.00,184,129.00,97
..Pennsylvania Dutch,85.00,44,25.00,20
..Dutch,435.00,168,105.00,86
..Afrikaans,(D),(D),(B),--
.Scandinavian languages,470.00,115,39.00,35
..Swedish,315.00,98,35.00,34
..Danish,105.00,62,(D),(D)
..Norwegian,50.00,36,(B),--
.Greek,710.00,210,81.00,60
.Russian,1567.00,470,568.00,253
.Polish,673.00,180,182.00,98
.Serbo-Croatian languages,251.00,109,123.00,76
..Serbocroatian,40.00,35,(D),(D)
..Croatian,70.00,60,40.00,30
..Serbian,140.00,83,65.00,53
.Other Slavic languages,441.00,172,116.00,83
..Ukrainian,50.00,35,(D),(D)
..Czech,185.00,102,20.00,20
..Slovak,45.00,47,(D),(D)
..Bulgarian,120.00,89,35.00,39
..Macedonian,45.00,67,35.00,52
.Armenian,99.00,123,15.00,21
.Persian,572.00,267,234.00,134
.Hindi,496.00,197,12.00,18
.Gujarati,123.00,155,(B),--
.Urdu,225.00,172,71.00,109
.Other Indic languages,203.00,98,18.00,27
..India n.e.c.3,(D),(D),(D),(D)
..Bengali,60.00,65,(B),--
..Panjabi,(D),(D),(B),--
..Marathi,40.00,42,(B),--
..Nepali,(D),(D),(B),--
..Pakistan n.e.c.3,(D),(D),(B),--
..Sinhalese,35.00,39,(B),--
.Other Indo-European languages,508.00,153,152.00,75
..Jamaican Creole,45.00,47,(B),--
..Pidgin,(D),(D),(D),(D)
..Catalonian,(D),(D),(B),--
..Romanian,80.00,59,65.00,55
..Welsh,(D),(D),(B),--
..Irish Gaelic,100.00,63,(B),--
..Scottic Gaelic,45.00,48,(D),(D)
..Albanian,75.00,68,55.00,46
..Lithuanian,100.00,64,(D),(D)
..Latvian,20.00,15,(B),--
..Pashto,20.00,28,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,10007.00,732,4904.00,457
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",2521.00,507,1521.00,356
..Chinese,1955.00,447,1265.00,318
..Cantonese,205.00,140,175.00,130
..Mandarin,320.00,127,70.00,70
..Formosan,35.00,31,(D),(D)
.Japanese,839.00,196,149.00,77
.Korean,873.00,238,364.00,119
".Mon-Khmer, Cambodian",984.00,405,588.00,239
.Thai,489.00,166,318.00,153
.Laotian,96.00,95,39.00,43
.Vietnamese,1807.00,431,977.00,273
.Other Asian languages,807.00,411,310.00,178
..Turkish,250.00,264,135.00,148
..Mongolian,(D),(D),(B),--
..Telugu,285.00,261,(D),(D)
..Kannada,20.00,24,(D),(D)
..Malayalam,150.00,159,55.00,67
..Tamil,75.00,62,40.00,35
..Munda,(D),(D),(B),--
..Burmese,25.00,37,(D),(D)
.Tagalog,1423.00,342,589.00,213
.Other Pacific Island languages,168.00,76,49.00,37
..Indonesian,25.00,27,(D),(D)
..Malagasy,(D),(D),(B),--
..Malay,(D),(D),(B),--
..Bisayan,45.00,37,(D),(D)
..Sebuano,(D),(D),(B),--
..Chamorro,10.00,13,(D),(D)
..Palau,(D),(D),(D),(D)
..Samoan,(D),(D),(B),--
ALL OTHER LANGUAGES,6266.00,712,2739.00,505
.Navajo,17.00,17,(B),--
.Other Native North American languages,1016.00,147,98.00,48
..Inupik,(D),(D),(B),--
..Algonquian,(D),(D),(B),--
..Micmac,90.00,46,25.00,32
..Passamaquoddy,785.00,121,45.00,24
..Penobscot,70.00,39,(D),(D)
..Abnaki,30.00,24,(D),(D)
..Okanogan,(D),(D),(B),--
..Dakota,(D),(D),(B),--
..Mikasuki,(D),(D),(D),(D)
..Cherokee,(D),(D),(B),--
..American Indian,20.00,12,15.00,8
.Hungarian,25.00,16,4.00,5
.Arabic,1255.00,445,520.00,270
.Hebrew,146.00,82,9.00,14
.African languages,3570.00,499,2078.00,403
..Amharic,235.00,187,95.00,82
..Chadic,55.00,64,(B),--
..Cushite,2055.00,401,1285.00,312
..Sudanic,25.00,29,25.00,29
..Nilotic,395.00,245,290.00,193
..Nilo-Hamitic,160.00,196,(D),(D)
..Swahili,165.00,99,(D),(D)
..Bantu,265.00,141,150.00,110
"..Kru, Ibo, Yoruba",50.00,42,(D),(D)
..Mbum (and related),160.00,163,130.00,153
.Other and unspecified languages,237.00,102,30.00,30
..Finnish,140.00,75,(D),(D)
..Estonian,(D),(D),(D),(D)
..Caucasian,(D),(D),(D),(D)
..Basque,(D),(D),(B),--
..Syriac,(D),(D),(B),--
..Uncodable,30.00,21,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US23). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
