Table with column headers in row 5 and row headers in column A,,,,
Table 21. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Maryland:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,5467945.00,286,347459.00,"4,946"
Speak only English at home,4553640.00,"6,793",(X),(X)
Speak a language other than English at home,914305.00,"6,764",347459.00,"4,946"
SPANISH AND SPANISH CREOLE,378010.00,"4,101",173970.00,"3,465"
..Spanish,378010.00,"4,101",173970.00,"3,465"
OTHER INDO-EUROPEAN LANGUAGES,242645.00,"4,484",65038.00,"2,126"
".French (incl. Patois, Cajun)",52960.00,"2,634",12576.00,"1,045"
..French,50635.00,"2,512",12405.00,"1,040"
..Patois,2310.00,524,160.00,88
..Cajun,(D),(D),(D),(D)
.French Creole,11932.00,"1,378",3556.00,681
.Italian,10135.00,725,2325.00,307
.Portuguese (incl. Portuguese Creole),10971.00,"1,073",3787.00,552
..Portuguese,10960.00,"1,073",3785.00,552
..Papia Mentae,(D),(D),(B),--
.German (incl. Luxembourgian),18284.00,"1,113",2726.00,462
..German,18285.00,"1,113",2725.00,462
.Yiddish,1003.00,314,134.00,63
.Other West Germanic languages,3703.00,585,383.00,222
..Pennsylvania Dutch,1195.00,450,265.00,213
..Dutch,2040.00,334,110.00,66
..Afrikaans,435.00,190,(D),(D)
..Frisian,(D),(D),(B),--
.Scandinavian languages,2262.00,416,87.00,48
..Swedish,1010.00,276,40.00,36
..Danish,700.00,269,(D),(D)
..Norwegian,440.00,161,25.00,25
..Icelandic,110.00,92,(D),(D)
.Greek,9848.00,"1,131",2410.00,535
.Russian,21388.00,"1,483",8535.00,843
.Polish,4356.00,698,1148.00,275
.Serbo-Croatian languages,2121.00,450,674.00,251
..Serbocroatian,925.00,291,265.00,147
..Croatian,295.00,127,100.00,69
..Serbian,900.00,313,310.00,175
.Other Slavic languages,5420.00,697,1398.00,351
..Bielorussian,(D),(D),(D),(D)
..Ukrainian,2155.00,453,685.00,216
..Czech,915.00,228,180.00,97
..Slovak,550.00,203,155.00,116
..Bulgarian,1545.00,484,300.00,199
..Macedonian,(D),(D),(B),--
..Slovene,210.00,116,55.00,56
.Armenian,1634.00,435,377.00,155
.Persian,13898.00,"1,143",4794.00,584
.Hindi,16192.00,"1,611",2558.00,537
.Gujarati,9631.00,"1,177",3647.00,601
.Urdu,16765.00,"1,559",4987.00,723
.Other Indic languages,21406.00,"1,581",6594.00,773
..India n.e.c.3,560.00,269,145.00,112
..Bengali,8435.00,"1,121",2280.00,452
..Panjabi,3270.00,742,1100.00,387
..Marathi,1600.00,391,110.00,81
..Bihari,(D),(D),(B),--
..Oriya,170.00,136,35.00,41
..Assamese,(D),(D),(B),--
..Kashmiri,120.00,100,35.00,33
..Nepali,4240.00,849,2170.00,479
..Sindhi,255.00,145,(D),(D)
..Pakistan n.e.c.3,815.00,449,135.00,77
..Sinhalese,1885.00,517,560.00,260
..Romany,35.00,40,(B),--
.Other Indo-European languages,8736.00,"1,111",2342.00,535
..Jamaican Creole,730.00,276,185.00,130
..Krio,2360.00,615,655.00,383
..Pidgin,500.00,242,190.00,115
..Gullah,(D),(D),(B),--
..Catalonian,155.00,106,(B),--
..Romanian,1930.00,381,535.00,179
..Welsh,30.00,31,(D),(D)
..Irish Gaelic,340.00,151,(D),(D)
..Scottic Gaelic,(D),(D),(B),--
..Albanian,685.00,278,210.00,109
..Lithuanian,630.00,194,175.00,89
..Latvian,830.00,348,240.00,177
..Pashto,375.00,227,85.00,75
..Kurdish,140.00,102,65.00,75
ASIAN AND PACIFIC ISLAND LANGUAGES,196814.00,"3,429",85374.00,"2,553"
