Table with column headers in row 5 and row headers in column A,,,,
Table 22. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Massachusetts:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,"6,238,762",273,"553,602","5,266"
Speak only English at home,"4,871,680","7,523",(X),(X)
Speak a language other than English at home,"1,367,082","7,457","553,602","5,266"
SPANISH AND SPANISH CREOLE,"502,625","3,612","215,660","3,319"
..Spanish,"502,615","3,610","215,650","3,317"
..Pachuco,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,"552,815","6,336","197,598","4,096"
".French (incl. Patois, Cajun)","62,941","2,147","12,076","1,052"
..French,"60,905","2,149","11,780","1,048"
..Patois,"2,005",590,295,133
..Cajun,30,27,(B),--
.French Creole,"64,549","2,967","28,704","1,841"
.Italian,"38,919","1,599","10,295",795
.Portuguese (incl. Portuguese Creole),"181,917","4,738","84,755","2,951"
..Portuguese,"181,810","4,721","84,725","2,948"
..Papia Mentae,110,85,(D),(D)
.German (incl. Luxembourgian),"17,515","1,127","1,842",292
..German,"17,515","1,127","1,840",292
.Yiddish,785,161,69,49
.Other West Germanic languages,"3,737",577,329,187
..Dutch,"3,365",558,295,182
..Afrikaans,375,136,35,38
.Scandinavian languages,"4,027",571,234,78
..Swedish,"2,185",390,95,50
..Danish,800,216,60,52
..Norwegian,825,205,55,35
..Icelandic,215,111,(D),(D)
.Greek,"23,991","1,615","6,752",749
.Russian,"36,549","1,939","16,341","1,181"
.Polish,"19,235","1,226","6,255",834
.Serbo-Croatian languages,"4,806","1,011","1,454",391
..Serbocroatian,"3,170",920,"1,180",381
..Croatian,770,307,145,107
..Serbian,870,232,130,91
.Other Slavic languages,"6,969",902,"2,146",447
..Bielorussian,100,111,(B),--
..Ukrainian,"3,000",581,"1,320",324
..Czech,"1,000",370,175,154
..Slovak,235,105,(D),(D)
..Bulgarian,"2,300",471,545,200
..Macedonian,290,171,65,54
..Slovene,45,36,(D),(D)
.Armenian,"8,104","1,138","1,957",430
.Persian,"6,453","1,035","2,281",581
.Hindi,"18,845","1,461","3,370",606
.Gujarati,"8,926","1,047","3,165",588
.Urdu,"6,303","1,009","1,618",412
.Other Indic languages,"18,901","1,611","6,978","1,033"
..India n.e.c.3,"1,415",477,690,354
..Bengali,"4,995",697,"1,685",391
..Panjabi,"2,980",624,"1,375",506
..Marathi,"3,020",590,640,344
..Bihari,(D),(D),(B),--
..Rajasthani,(D),(D),(B),--
