Table with column headers in row 5 and row headers in column A,,,,
Table 23. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Michigan:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,9300837.00,376,301467.00,"4,111"
Speak only English at home,8457581.00,"6,635",(X),(X)
Speak a language other than English at home,843256.00,"6,567",301467.00,"4,111"
SPANISH AND SPANISH CREOLE,270708.00,"3,068",95184.00,"2,120"
..Spanish,270695.00,"3,067",95185.00,"2,120"
..Pachuco,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,275043.00,"4,891",82797.00,"2,164"
".French (incl. Patois, Cajun)",25011.00,"1,194",4420.00,466
..French,24590.00,"1,176",4305.00,443
..Patois,405.00,166,115.00,142
..Cajun,15.00,12,(B),--
.French Creole,1600.00,349,337.00,135
.Italian,19934.00,"1,002",5836.00,513
.Portuguese (incl. Portuguese Creole),4031.00,522,988.00,258
..Portuguese,4030.00,522,990.00,258
.German (incl. Luxembourgian),39503.00,"1,674",6780.00,523
..German,39505.00,"1,674",6780.00,523
.Yiddish,579.00,128,59.00,39
.Other West Germanic languages,9372.00,810,2473.00,382
..Pennsylvania Dutch,3370.00,545,1415.00,282
..Dutch,5710.00,560,1035.00,210
..Afrikaans,250.00,119,20.00,20
..Frisian,45.00,38,(B),--
.Scandinavian languages,2088.00,329,195.00,66
..Swedish,1205.00,259,95.00,48
..Danish,370.00,99,(D),(D)
..Norwegian,465.00,119,85.00,50
..Icelandic,50.00,49,(D),(D)
.Greek,7887.00,776,2043.00,368
.Russian,11819.00,935,5165.00,533
.Polish,23042.00,"1,302",6918.00,603
.Serbo-Croatian languages,13009.00,"1,413",5695.00,727
..Serbocroatian,8930.00,"1,216",4470.00,643
..Croatian,1225.00,265,405.00,125
..Serbian,2855.00,447,820.00,236
.Other Slavic languages,13432.00,"1,054",4920.00,471
..Bielorussian,(D),(D),(D),(D)
..Ukrainian,4535.00,608,2280.00,419
..Czech,1025.00,205,250.00,96
..Slovak,1210.00,382,140.00,72
..Bulgarian,945.00,307,330.00,116
..Macedonian,5610.00,824,1875.00,389
..Slovene,95.00,57,35.00,31
.Armenian,2284.00,422,553.00,164
.Persian,2644.00,446,813.00,225
.Hindi,16340.00,"1,393",3378.00,501
.Gujarati,9355.00,"1,002",2905.00,444
.Urdu,11294.00,990,3400.00,525
.Other Indic languages,26343.00,"1,686",11779.00,"1,106"
..India n.e.c.3,1400.00,350,725.00,231
..Bengali,13795.00,"1,287",7110.00,892
..Panjabi,4730.00,790,1470.00,339
..Marathi,2540.00,529,495.00,189
..Rajasthani,(D),(D),(B),--
..Oriya,335.00,171,40.00,47
..Assamese,75.00,70,(D),(D)
..Kashmiri,(D),(D),(B),--
..Nepali,2405.00,541,1625.00,458
..Sindhi,125.00,93,(D),(D)
..Pakistan n.e.c.3,190.00,153,20.00,28
..Sinhalese,530.00,231,205.00,126
..Romany,175.00,121,40.00,38
.Other Indo-European languages,35476.00,"2,321",14140.00,"1,231"
..Jamaican Creole,150.00,74,20.00,23
..Krio,55.00,46,(B),--
..Pidgin,90.00,91,45.00,51
..Catalonian,(D),(D),(B),--
..Romanian,11375.00,"1,050",4360.00,534
..Welsh,85.00,75,(B),--
..Irish Gaelic,370.00,107,20.00,23
..Scottic Gaelic,60.00,49,(D),(D)
..Albanian,20060.00,"1,906",8895.00,"1,001"
..Lithuanian,1530.00,297,360.00,103
..Latvian,1170.00,244,200.00,84
..Pashto,30.00,43,(D),(D)
..Kurdish,490.00,253,225.00,125
ASIAN AND PACIFIC ISLAND LANGUAGES,135724.00,"2,540",57987.00,"2,040"
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",39273.00,"1,491",18790.00,"1,057"
..Chinese,29960.00,"1,458",14875.00,967
..Hakka,(D),(D),(D),(D)
..Cantonese,2325.00,418,1070.00,296
..Mandarin,5955.00,604,2350.00,436
..Formosan,940.00,225,435.00,141
..Wu,45.00,33,(D),(D)
.Japanese,12022.00,977,6080.00,807
.Korean,15356.00,"1,216",8333.00,852
".Mon-Khmer, Cambodian",1511.00,380,736.00,215
