Table with column headers in row 5 and row headers in column A,,,,
Table 24. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Minnesota:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,4996324.00,377,212464.00,"3,610"
Speak only English at home,4460951.00,"5,182",(X),(X)
Speak a language other than English at home,535373.00,"5,146",212464.00,"3,610"
SPANISH AND SPANISH CREOLE,192113.00,"2,629",84219.00,"2,264"
..Spanish,192115.00,"2,629",84220.00,"2,264"
OTHER INDO-EUROPEAN LANGUAGES,105432.00,"2,725",25017.00,"1,130"
".French (incl. Patois, Cajun)",14925.00,941,2669.00,359
..French,14765.00,937,2655.00,359
..Patois,105.00,64,15.00,16
..Cajun,55.00,66,(B),--
.French Creole,1088.00,388,330.00,163
.Italian,2503.00,402,499.00,131
.Portuguese (incl. Portuguese Creole),2414.00,385,331.00,112
..Portuguese,2415.00,385,330.00,112
.German (incl. Luxembourgian),24277.00,921,4165.00,353
..German,24275.00,921,4165.00,353
.Yiddish,145.00,81,(B),--
.Other West Germanic languages,2406.00,323,593.00,159
..Pennsylvania Dutch,795.00,214,380.00,149
..Dutch,1315.00,212,170.00,54
..Afrikaans,300.00,113,45.00,40
.Scandinavian languages,7965.00,403,877.00,118
..Swedish,2440.00,353,210.00,66
..Danish,770.00,181,135.00,55
..Norwegian,4665.00,340,530.00,100
..Icelandic,90.00,59,(D),(D)
.Greek,1142.00,272,114.00,60
.Russian,14039.00,"1,143",6479.00,647
.Polish,2923.00,403,605.00,143
.Serbo-Croatian languages,3948.00,728,1570.00,342
..Serbocroatian,3180.00,663,1395.00,339
..Croatian,275.00,123,45.00,46
..Serbian,490.00,183,135.00,84
.Other Slavic languages,4074.00,515,1164.00,248
..Bielorussian,65.00,63,55.00,58
..Ukrainian,1830.00,413,800.00,236
..Czech,1380.00,214,185.00,71
..Slovak,290.00,122,(D),(D)
..Bulgarian,305.00,120,90.00,66
..Macedonian,(D),(D),(B),--
..Slovene,175.00,94,15.00,13
.Armenian,32.00,24,21.00,26
.Persian,1653.00,367,550.00,223
.Hindi,6998.00,918,1109.00,288
.Gujarati,1894.00,561,487.00,228
.Urdu,2660.00,724,600.00,296
.Other Indic languages,6655.00,832,1946.00,527
..India n.e.c.3,555.00,304,225.00,205
..Bengali,1850.00,430,305.00,156
..Panjabi,840.00,408,290.00,230
..Marathi,785.00,220,70.00,62
..Oriya,235.00,165,(D),(D)
..Assamese,65.00,68,(B),--
..Nepali,1675.00,447,930.00,355
..Sindhi,65.00,66,(D),(D)
..Pakistan n.e.c.3,(D),(D),(B),--
..Sinhalese,570.00,186,80.00,60
.Other Indo-European languages,3691.00,752,908.00,273
..Jamaican Creole,100.00,52,(D),(D)
..Krio,185.00,116,60.00,67
..Pidgin,80.00,60,(D),(D)
..Catalonian,70.00,51,(B),--
..Romanian,1400.00,578,410.00,216
..Welsh,(D),(D),(B),--
..Irish Gaelic,120.00,68,25.00,25
..Scottic Gaelic,20.00,17,(D),(D)
..Albanian,365.00,182,110.00,69
..Lithuanian,100.00,60,25.00,35
..Latvian,795.00,257,100.00,72
..Pashto,115.00,100,75.00,63
..Kurdish,320.00,207,75.00,73
ASIAN AND PACIFIC ISLAND LANGUAGES,151280.00,"2,585",70901.00,"1,949"
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",21193.00,"1,278",9187.00,872
..Chinese,16730.00,"1,137",7495.00,756
..Cantonese,1555.00,357,655.00,210
..Mandarin,2645.00,461,945.00,297
..Formosan,260.00,117,90.00,74
.Japanese,3743.00,496,1406.00,273
.Korean,6000.00,892,2737.00,437
".Mon-Khmer, Cambodian",5732.00,983,3039.00,516
.Hmong,55037.00,"2,294",24674.00,"1,490"
.Thai,2226.00,537,1271.00,450
.Laotian,9900.00,913,4954.00,593
.Vietnamese,21640.00,"1,622",13324.00,"1,150"
.Other Asian languages,18333.00,"1,810",7831.00,"1,178"
..Kazakh,(D),(D),(B),--
..Uighur,55.00,92,30.00,46
..Azerbaijani,30.00,34,(D),(D)
..Turkish,765.00,281,285.00,167
..Mongolian,40.00,46,(D),(D)
..Telugu,4930.00,876,850.00,330
..Kannada,750.00,278,85.00,71
..Malayalam,1365.00,424,165.00,98
..Tamil,3585.00,656,870.00,373
..Tibetan,1295.00,410,685.00,260
..Burmese,1000.00,381,790.00,338
..Karen,4490.00,908,4045.00,847
