Table with column headers in row 5 and row headers in column A,,,,
Table 25. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Mississippi:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,2771287.00,538,43433.00,"1,720"
Speak only English at home,2663097.00,"2,380",(X),(X)
Speak a language other than English at home,108190.00,"2,353",43433.00,"1,720"
SPANISH AND SPANISH CREOLE,65295.00,"1,971",28987.00,"1,418"
..Spanish,65295.00,"1,971",28985.00,"1,418"
OTHER INDO-EUROPEAN LANGUAGES,16463.00,"1,146",3832.00,507
".French (incl. Patois, Cajun)",4739.00,587,1037.00,273
..French,4315.00,561,1005.00,270
..Patois,15.00,21,(B),--
..Cajun,410.00,167,35.00,33
.French Creole,194.00,178,4.00,8
.Italian,890.00,182,145.00,67
.Portuguese (incl. Portuguese Creole),472.00,197,82.00,57
..Portuguese,470.00,197,80.00,57
.German (incl. Luxembourgian),3143.00,403,689.00,203
..German,3145.00,403,690.00,203
.Yiddish,45.00,40,30.00,32
.Other West Germanic languages,344.00,142,12.00,19
..Pennsylvania Dutch,35.00,32,(D),(D)
..Dutch,215.00,119,(B),--
..Afrikaans,95.00,73,(B),--
.Scandinavian languages,194.00,93,56.00,52
..Swedish,(D),(D),(D),(D)
..Danish,50.00,37,40.00,33
..Norwegian,135.00,81,(D),(D)
.Greek,229.00,130,31.00,37
.Russian,467.00,186,151.00,68
.Polish,175.00,110,(B),--
.Serbo-Croatian languages,97.00,69,18.00,18
..Serbocroatian,30.00,38,(B),--
..Croatian,35.00,32,20.00,18
..Serbian,30.00,47,(B),--
.Other Slavic languages,283.00,139,41.00,34
..Ukrainian,(D),(D),(B),--
..Czech,160.00,90,40.00,34
..Slovak,65.00,79,(B),--
.Armenian,26.00,28,(B),--
.Persian,174.00,105,39.00,39
.Hindi,978.00,253,134.00,102
.Gujarati,1566.00,409,490.00,194
.Urdu,414.00,292,97.00,66
.Other Indic languages,1759.00,427,754.00,292
..India n.e.c.3,525.00,308,255.00,221
..Bengali,265.00,148,90.00,72
..Panjabi,530.00,206,190.00,119
..Marathi,125.00,85,25.00,27
..Bihari,(D),(D),(D),(D)
..Nepali,110.00,83,80.00,91
..Sindhi,(D),(D),(B),--
..Sinhalese,160.00,117,110.00,87
.Other Indo-European languages,274.00,108,22.00,35
..Jamaican Creole,(D),(D),(B),--
..Romanian,105.00,85,(B),--
..Irish Gaelic,80.00,52,(B),--
..Lithuanian,25.00,36,20.00,35
..Latvian,(D),(D),(B),--
..Kurdish,(D),(D),(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,17938.00,"1,032",8230.00,734
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",4165.00,742,2467.00,496
..Chinese,3675.00,728,2235.00,505
..Cantonese,135.00,90,60.00,37
..Mandarin,280.00,158,160.00,107
..Formosan,75.00,78,(D),(D)
.Japanese,778.00,252,310.00,152
.Korean,1524.00,409,552.00,181
".Mon-Khmer, Cambodian",111.00,71,33.00,27
.Hmong,8.00,8,(B),--
.Thai,197.00,151,127.00,98
.Laotian,215.00,211,30.00,37
.Vietnamese,6564.00,880,3539.00,620
.Other Asian languages,1136.00,342,126.00,101
..Turkish,370.00,229,80.00,75
..Telugu,440.00,208,(D),(D)
..Kannada,25.00,27,(B),--
..Malayalam,95.00,112,(B),--
..Tamil,130.00,98,(D),(D)
..Burmese,(D),(D),(B),--
..Mien,(D),(D),(B),--
.Tagalog,2661.00,565,940.00,337
.Other Pacific Island languages,579.00,427,106.00,84
..Indonesian,55.00,65,(D),(D)
..Malay,45.00,40,(B),--
