Table with column headers in row 5 and row headers in column A,,,,
Table 26. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Missouri:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,5624171.00,590,128049.00,"3,298"
Speak only English at home,5279336.00,"4,734",(X),(X)
Speak a language other than English at home,344835.00,"4,641",128049.00,"3,298"
SPANISH AND SPANISH CREOLE,148039.00,"2,631",56168.00,"2,047"
..Spanish,148040.00,"2,631",56170.00,"2,047"
OTHER INDO-EUROPEAN LANGUAGES,104592.00,"2,808",31366.00,"1,706"
".French (incl. Patois, Cajun)",14500.00,984,2874.00,442
..French,14380.00,999,2830.00,443
..Patois,80.00,68,(D),(D)
..Cajun,35.00,34,(D),(D)
.French Creole,734.00,275,330.00,235
.Italian,4391.00,576,770.00,193
.Portuguese (incl. Portuguese Creole),2653.00,612,743.00,303
..Portuguese,2595.00,590,745.00,303
..Papia Mentae,(D),(D),(B),--
.German (incl. Luxembourgian),22909.00,"1,409",5563.00,929
..German,22910.00,"1,409",5565.00,929
.Yiddish,221.00,107,51.00,41
.Other West Germanic languages,7498.00,948,2456.00,420
..Pennsylvania Dutch,4085.00,677,1685.00,354
..Dutch,3085.00,716,745.00,215
..Afrikaans,330.00,130,25.00,22
.Scandinavian languages,853.00,235,93.00,68
..Swedish,475.00,205,40.00,42
..Danish,170.00,93,45.00,49
..Norwegian,200.00,97,4.00,9
..Icelandic,(D),(D),(B),--
.Greek,1474.00,354,378.00,146
.Russian,8678.00,899,4225.00,667
.Polish,1500.00,298,409.00,136
.Serbo-Croatian languages,13498.00,"1,505",6478.00,794
..Serbocroatian,12340.00,"1,454",6045.00,795
..Croatian,635.00,219,220.00,95
..Serbian,525.00,261,215.00,127
.Other Slavic languages,2387.00,553,647.00,248
..Ukrainian,880.00,327,300.00,177
..Czech,325.00,161,20.00,23
..Slovak,60.00,56,(D),(D)
..Bulgarian,1020.00,362,285.00,184
..Macedonian,90.00,112,(D),(D)
..Slovene,(D),(D),(B),--
.Armenian,187.00,132,49.00,62
.Persian,3068.00,549,1039.00,282
.Hindi,3999.00,645,402.00,130
.Gujarati,1813.00,485,570.00,228
.Urdu,3456.00,764,484.00,150
.Other Indic languages,6061.00,946,1944.00,439
..India n.e.c.3,415.00,209,190.00,140
..Bengali,1990.00,588,570.00,220
..Panjabi,820.00,351,245.00,143
..Marathi,845.00,297,80.00,74
..Oriya,265.00,211,(D),(D)
..Assamese,(D),(D),(B),--
