Table with column headers in row 5 and row headers in column A,,,,
Table 27. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Montana:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,937514.00,329,8575.00,624
Speak only English at home,896207.00,"1,524",(X),(X)
Speak a language other than English at home,41307.00,"1,447",8575.00,624
SPANISH AND SPANISH CREOLE,13929.00,927,3125.00,394
..Spanish,13930.00,927,3125.00,394
OTHER INDO-EUROPEAN LANGUAGES,14220.00,953,2714.00,353
".French (incl. Patois, Cajun)",2328.00,343,344.00,122
..French,2305.00,343,345.00,122
..Cajun,20.00,24,(B),--
.French Creole,57.00,55,(B),--
.Italian,619.00,257,85.00,83
.Portuguese (incl. Portuguese Creole),135.00,64,38.00,31
..Portuguese,135.00,64,40.00,31
.German (incl. Luxembourgian),7122.00,621,1265.00,280
..German,7120.00,621,1265.00,280
.Yiddish,35.00,39,9.00,12
.Other West Germanic languages,800.00,233,133.00,85
..Pennsylvania Dutch,170.00,106,80.00,62
..Dutch,580.00,189,55.00,54
..Afrikaans,50.00,51,(B),--
.Scandinavian languages,1036.00,239,150.00,73
..Swedish,130.00,71,10.00,12
..Danish,300.00,147,15.00,13
..Norwegian,590.00,164,115.00,72
..Icelandic,15.00,22,10.00,17
.Greek,160.00,62,24.00,23
.Russian,615.00,242,358.00,150
.Polish,251.00,105,28.00,21
.Serbo-Croatian languages,81.00,63,6.00,11
..Serbocroatian,(D),(D),(D),(D)
..Croatian,65.00,62,(B),--
.Other Slavic languages,314.00,121,110.00,76
..Ukrainian,170.00,106,95.00,74
..Czech,100.00,42,15.00,13
..Bulgarian,(D),(D),(B),--
..Slovene,35.00,34,(B),--
.Persian,29.00,41,(B),--
.Hindi,78.00,76,22.00,39
.Gujarati,8.00,16,(B),--
.Urdu,51.00,67,14.00,20
.Other Indic languages,131.00,97,54.00,54
..India n.e.c.3,60.00,72,20.00,21
..Bengali,(D),(D),(D),(D)
..Panjabi,(D),(D),(B),--
..Nepali,(D),(D),(B),--
.Other Indo-European languages,370.00,170,74.00,61
..Romanian,150.00,132,(D),(D)
..Irish Gaelic,170.00,89,(D),(D)
..Latvian,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,3876.00,341,1965.00,271
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",1000.00,264,617.00,206
..Chinese,775.00,241,435.00,177
..Cantonese,45.00,48,(D),(D)
..Mandarin,155.00,123,135.00,118
..Formosan,(D),(D),(D),(D)
.Japanese,715.00,229,360.00,184
.Korean,431.00,175,282.00,139
".Mon-Khmer, Cambodian",6.00,9,6.00,9
.Hmong,92.00,143,9.00,19
.Thai,185.00,106,113.00,83
.Laotian,5.00,7,5.00,7
.Vietnamese,133.00,91,87.00,82
.Other Asian languages,179.00,108,93.00,61
..Turkish,40.00,36,30.00,32
..Mongolian,(D),(D),(D),(D)
..Telugu,80.00,92,(D),(D)
..Malayalam,(D),(D),(D),(D)
..Tamil,(D),(D),(B),--
..Burmese,(D),(D),(D),(D)
..Karen,(D),(D),(B),--
.Tagalog,787.00,233,342.00,173
.Other Pacific Island languages,343.00,130,51.00,45
..Indonesian,35.00,36,(B),--
..Malay,85.00,99,(B),--
..Bisayan,115.00,97,35.00,40
..Chamorro,(D),(D),(D),(D)
..Polynesian,(D),(D),(B),--
..Samoan,40.00,25,(D),(D)
..Tongan,(D),(D),(B),--
..Fijian,(D),(D),(D),(D)
..Hawaiian,40.00,46,(B),--
ALL OTHER LANGUAGES,9282.00,676,771.00,246
.Navajo,159.00,77,12.00,14
.Other Native North American languages,8133.00,610,413.00,181
..Arapaho,(D),(D),(B),--
..Atsina,30.00,26,(B),--
..Blackfoot,1075.00,209,35.00,33
..Cheyenne,1120.00,264,50.00,29
..Cree,250.00,85,35.00,28
..Ojibwa,305.00,120,30.00,25
..Potawatomi,55.00,70,(B),--
..Shawnee,(D),(D),(B),--
..Kutenai,165.00,143,(D),(D)
..Salish,565.00,161,(D),(D)
..Apache,(D),(D),(B),--
..Nez Perce,35.00,36,(B),--
..Crow,3860.00,464,200.00,165
..Hidatsa,(D),(D),(B),--
..Dakota,510.00,173,40.00,35
..Winnebago,(D),(D),(B),--
..Choctaw,(D),(D),(B),--
..Muskogee,(D),(D),(B),--
..American Indian,85.00,50,(D),(D)
.Hungarian,57.00,35,(B),--
.Arabic,415.00,241,240.00,154
.Hebrew,176.00,119,(B),--
.African languages,187.00,117,102.00,75
..Amharic,75.00,62,55.00,54
..Bantu,45.00,46,(D),(D)
"..Kru, Ibo, Yoruba",70.00,77,25.00,29
.Other and unspecified languages,155.00,63,4.00,7
..Finnish,90.00,49,(B),--
..Estonian,(D),(D),(B),--
..Syriac,(D),(D),(B),--
..Uncodable,30.00,30,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US30). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
