Table with column headers in row 5 and row headers in column A,,,,
Table 29. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Nevada:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,2546528.00,194.00,317113.00,4446.00
Speak only English at home,1799141.00,6469.00,(X),(X)
Speak a language other than English at home,747387.00,6440.00,317113.00,4446.00
SPANISH AND SPANISH CREOLE,517933.00,4650.00,230366.00,3870.00
..Spanish,517935.00,4650.00,230365.00,3870.00
OTHER INDO-EUROPEAN LANGUAGES,63079.00,2507.00,17994.00,1374.00
".French (incl. Patois, Cajun)",8070.00,709.00,1526.00,355.00
..French,7940.00,696.00,1510.00,356.00
..Patois,130.00,99.00,(D),(D)
.French Creole,543.00,220.00,37.00,53.00
.Italian,4794.00,639.00,1091.00,243.00
.Portuguese (incl. Portuguese Creole),2786.00,429.00,708.00,159.00
..Portuguese,2755.00,420.00,710.00,159.00
..Papia Mentae,(D),(D),(B),--
.German (incl. Luxembourgian),7998.00,703.00,1127.00,232.00
..German,7945.00,701.00,1125.00,232.00
..Luxembourgian,50.00,40.00,(B),--
.Yiddish,367.00,154.00,69.00,59.00
.Other West Germanic languages,1056.00,218.00,168.00,96.00
..Dutch,945.00,209.00,170.00,96.00
..Afrikaans,90.00,52.00,(B),--
..Frisian,(D),(D),(B),--
.Scandinavian languages,1313.00,292.00,105.00,62.00
..Swedish,290.00,113.00,(D),(D)
..Danish,450.00,152.00,(D),(D)
..Norwegian,535.00,220.00,60.00,51.00
..Icelandic,40.00,45.00,(B),--
.Greek,2236.00,398.00,425.00,134.00
.Russian,5168.00,812.00,1810.00,419.00
.Polish,2496.00,551.00,460.00,176.00
.Serbo-Croatian languages,3824.00,899.00,1681.00,500.00
..Serbocroatian,1425.00,599.00,740.00,341.00
..Croatian,830.00,422.00,300.00,202.00
..Serbian,1570.00,530.00,640.00,278.00
.Other Slavic languages,2970.00,554.00,1164.00,332.00
..Ukrainian,425.00,168.00,135.00,101.00
..Czech,470.00,173.00,180.00,96.00
..Slovak,65.00,49.00,(D),(D)
..Bulgarian,1765.00,485.00,780.00,263.00
..Macedonian,170.00,123.00,(D),(D)
..Slovene,75.00,60.00,(D),(D)
.Armenian,2411.00,585.00,704.00,214.00
.Persian,4187.00,785.00,1485.00,396.00
.Hindi,2435.00,573.00,894.00,390.00
.Gujarati,1022.00,372.00,626.00,252.00
.Urdu,1536.00,470.00,407.00,149.00
.Other Indic languages,4544.00,929.00,2054.00,537.00
..India n.e.c.3,515.00,356.00,230.00,187.00
..Bengali,765.00,485.00,335.00,227.00
..Panjabi,1485.00,535.00,600.00,270.00
..Marathi,165.00,137.00,(D),(D)
..Oriya,(D),(D),(B),--
..Assamese,(D),(D),(B),--
..Nepali,1030.00,463.00,750.00,382.00
..Sindhi,35.00,38.00,(D),(D)
..Pakistan n.e.c.3,35.00,62.00,(D),(D)
..Sinhalese,450.00,233.00,80.00,52.00
..Romany,(D),(D),(B),--
.Other Indo-European languages,3323.00,816.00,1453.00,472.00
..Jamaican Creole,30.00,27.00,(D),(D)
..Krio,(D),(D),(B),--
..Pidgin,(D),(D),(B),--
..Romanian,1760.00,476.00,745.00,298.00
..Welsh,(D),(D),(B),--
..Irish Gaelic,115.00,89.00,(D),(D)
..Scottic Gaelic,45.00,50.00,(D),(D)
..Albanian,895.00,521.00,460.00,293.00
..Lithuanian,245.00,140.00,110.00,72.00
..Latvian,25.00,24.00,(D),(D)
..Pashto,145.00,143.00,85.00,105.00
ASIAN AND PACIFIC ISLAND LANGUAGES,142667.00,2608.00,60286.00,2026.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",27518.00,1760.00,16029.00,1249.00
..Chinese,17580.00,1562.00,10470.00,1078.00
..Cantonese,4495.00,816.00,2525.00,620.00
..Mandarin,4375.00,700.00,2315.00,544.00
..Formosan,1070.00,320.00,715.00,208.00
.Japanese,5811.00,640.00,2349.00,455.00
.Korean,10507.00,1252.00,6413.00,892.00
".Mon-Khmer, Cambodian",1198.00,382.00,617.00,259.00
.Hmong,59.00,56.00,17.00,25.00
.Thai,5168.00,840.00,3029.00,592.00
.Laotian,1842.00,614.00,1067.00,343.00
.Vietnamese,8718.00,1212.00,5092.00,804.00
.Other Asian languages,2408.00,581.00,653.00,240.00
..Kirghiz,(D),(D),(B),--
..Turkish,805.00,334.00,160.00,120.00
..Mongolian,(D),(D),(D),(D)
..Telugu,530.00,306.00,85.00,82.00
..Kannada,180.00,127.00,(D),(D)
..Malayalam,320.00,207.00,125.00,91.00
..Tamil,320.00,188.00,130.00,96.00
..Burmese,205.00,162.00,80.00,68.00
.Tagalog,69278.00,2827.00,21527.00,1446.00
.Other Pacific Island languages,10160.00,1368.00,3493.00,930.00
..Indonesian,410.00,151.00,175.00,92.00
..Malay,275.00,129.00,185.00,113.00
..Bisayan,1015.00,462.00,350.00,182.00
..Sebuano,315.00,125.00,105.00,59.00
