Table with column headers in row 5 and row headers in column A,,,,
Table 30. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for New Hampshire:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,1251055.00,206.00,31578.00,1467.00
Speak only English at home,1150977.00,2529.00,(X),(X)
Speak a language other than English at home,100078.00,2503.00,31578.00,1467.00
SPANISH AND SPANISH CREOLE,26815.00,1209.00,9682.00,832.00
..Spanish,26815.00,1209.00,9680.00,832.00
OTHER INDO-EUROPEAN LANGUAGES,51412.00,2047.00,13117.00,1059.00
".French (incl. Patois, Cajun)",24061.00,1421.00,4646.00,479.00
..French,24025.00,1422.00,4645.00,477.00
..Patois,35.00,38.00,(D),(D)
.French Creole,794.00,262.00,376.00,175.00
.Italian,1798.00,315.00,217.00,96.00
.Portuguese (incl. Portuguese Creole),3347.00,655.00,1366.00,483.00
..Portuguese,3345.00,655.00,1365.00,483.00
.German (incl. Luxembourgian),3920.00,502.00,344.00,101.00
..German,3920.00,502.00,345.00,101.00
.Yiddish,14.00,26.00,(B),--
.Other West Germanic languages,452.00,133.00,89.00,64.00
..Dutch,405.00,127.00,90.00,64.00
..Afrikaans,50.00,44.00,(B),--
.Scandinavian languages,474.00,148.00,7.00,11.00
..Swedish,345.00,135.00,(B),--
..Danish,(D),(D),(B),--
..Norwegian,105.00,53.00,(D),(D)
..Icelandic,(D),(D),(B),--
.Greek,2693.00,538.00,666.00,186.00
.Russian,1774.00,417.00,575.00,199.00
.Polish,1320.00,373.00,479.00,209.00
.Serbo-Croatian languages,1504.00,450.00,688.00,274.00
..Serbocroatian,1410.00,438.00,655.00,268.00
..Croatian,(D),(D),(B),--
..Serbian,85.00,86.00,(D),(D)
.Other Slavic languages,485.00,194.00,206.00,122.00
..Bielorussian,20.00,29.00,20.00,29.00
..Ukrainian,130.00,96.00,55.00,84.00
..Czech,155.00,121.00,(D),(D)
..Slovak,65.00,57.00,45.00,43.00
..Bulgarian,110.00,84.00,60.00,61.00
.Armenian,210.00,101.00,47.00,38.00
.Persian,205.00,113.00,86.00,74.00
.Hindi,1618.00,412.00,278.00,164.00
.Gujarati,1138.00,405.00,544.00,292.00
.Urdu,717.00,481.00,277.00,196.00
.Other Indic languages,3343.00,743.00,1837.00,477.00
..India n.e.c.3,485.00,344.00,45.00,53.00
..Bengali,325.00,186.00,(D),(D)
..Panjabi,180.00,137.00,65.00,92.00
..Marathi,305.00,210.00,110.00,123.00
..Oriya,50.00,70.00,(B),--
..Nepali,1990.00,562.00,1550.00,461.00
..Sinhalese,(D),(D),(B),--
.Other Indo-European languages,1545.00,367.00,389.00,176.00
..Jamaican Creole,40.00,48.00,(B),--
..Krio,35.00,49.00,35.00,49.00
..Romanian,720.00,247.00,135.00,86.00
..Welsh,(D),(D),(B),--
..Irish Gaelic,175.00,90.00,(B),--
..Scottic Gaelic,(D),(D),(B),--
..Albanian,230.00,145.00,140.00,114.00
..Lithuanian,110.00,63.00,40.00,44.00
..Latvian,95.00,72.00,(B),--
..Pashto,25.00,62.00,20.00,43.00
..Kurdish,70.00,95.00,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,15842.00,1056.00,6813.00,758.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",4876.00,694.00,2701.00,541.00
..Chinese,3725.00,616.00,2120.00,525.00
..Cantonese,375.00,191.00,235.00,126.00
..Mandarin,695.00,264.00,290.00,160.00
..Formosan,70.00,64.00,50.00,58.00
..Wu,(D),(D),(D),(D)
.Japanese,795.00,240.00,258.00,136.00
.Korean,1420.00,334.00,575.00,198.00
".Mon-Khmer, Cambodian",792.00,300.00,179.00,98.00
.Hmong,9.00,12.00,4.00,5.00
.Thai,237.00,116.00,92.00,70.00
.Laotian,555.00,414.00,193.00,133.00
.Vietnamese,2087.00,427.00,1348.00,333.00
.Other Asian languages,2771.00,550.00,465.00,158.00
..Turkish,220.00,156.00,45.00,48.00
..Mongolian,(D),(D),(D),(D)
..Gondi,(D),(D),(B),--
..Telugu,1415.00,383.00,235.00,102.00
..Kannada,170.00,121.00,(B),--
..Malayalam,270.00,181.00,80.00,80.00
..Tamil,560.00,292.00,65.00,66.00
..Tibetan,(D),(D),(B),--
..Burmese,80.00,96.00,40.00,54.00
.Tagalog,1078.00,346.00,279.00,152.00
.Other Pacific Island languages,1222.00,379.00,719.00,276.00
..Indonesian,900.00,333.00,565.00,253.00
..Malay,55.00,59.00,55.00,58.00
..Minangkabau,(D),(D),(B),--
..Bisayan,105.00,91.00,30.00,41.00
..Sebuano,95.00,79.00,60.00,51.00
..Pampangan,(D),(D),(B),--
..Chamorro,45.00,44.00,(D),(D)
ALL OTHER LANGUAGES,6009.00,848.00,1966.00,500.00
.Other Native North American languages,170.00,122.00,65.00,71.00
..Micmac,(D),(D),(B),--
..Abnaki,15.00,17.00,(D),(D)
..Okanogan,75.00,104.00,(D),(D)
..Chasta Costa,(D),(D),(B),--
..Dakota,(D),(D),(B),--
..Choctaw,(D),(D),(B),--
..Iroquois,(D),(D),(B),--
..American Indian,(D),(D),(D),(D)
.Hungarian,187.00,120.00,13.00,20.00
.Arabic,2285.00,541.00,715.00,282.00
.Hebrew,438.00,264.00,3.00,5.00
.African languages,2359.00,530.00,1094.00,381.00
..Amharic,50.00,74.00,(D),(D)
..Chadic,65.00,55.00,35.00,38.00
..Cushite,330.00,267.00,175.00,128.00
..Sudanic,(D),(D),(D),(D)
..Swahili,645.00,323.00,285.00,260.00
..Bantu,580.00,305.00,345.00,255.00
..Mande,(D),(D),(D),(D)
..Fulani,170.00,204.00,(D),(D)
"..Kru, Ibo, Yoruba",365.00,209.00,105.00,88.00
..Efik,40.00,58.00,(D),(D)
.Other and unspecified languages,570.00,206.00,76.00,96.00
..Finnish,325.00,144.00,(D),(D)
..Estonian,(D),(D),(B),--
..Mayan languages,95.00,133.00,(D),(D)
..Arawakian,(D),(D),(B),--
..Uncodable,115.00,54.00,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US33). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
