Table with column headers in row 5 and row headers in column A,,,,
Table 32. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for New Mexico:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,1928173.00,382.00,184199.00,4741.00
Speak only English at home,1232242.00,6501.00,(X),(X)
Speak a language other than English at home,695931.00,6537.00,184199.00,4741.00
SPANISH AND SPANISH CREOLE,553052.00,5895.00,155214.00,4582.00
..Spanish,553050.00,5895.00,155215.00,4582.00
OTHER INDO-EUROPEAN LANGUAGES,23962.00,1524.00,4320.00,482.00
".French (incl. Patois, Cajun)",4837.00,557.00,551.00,160.00
..French,4805.00,557.00,550.00,160.00
..Patois,(D),(D),(B),--
..Cajun,(D),(D),(B),--
.French Creole,75.00,66.00,(B),--
.Italian,1729.00,305.00,380.00,125.00
.Portuguese (incl. Portuguese Creole),753.00,226.00,103.00,79.00
..Portuguese,755.00,226.00,105.00,79.00
.German (incl. Luxembourgian),7580.00,731.00,1527.00,280.00
..German,7580.00,731.00,1525.00,280.00
.Yiddish,125.00,58.00,14.00,22.00
.Other West Germanic languages,816.00,249.00,30.00,31.00
..Pennsylvania Dutch,(D),(D),(B),--
..Dutch,590.00,220.00,(D),(D)
..Afrikaans,225.00,128.00,(D),(D)
.Scandinavian languages,491.00,193.00,46.00,37.00
..Swedish,295.00,157.00,(D),(D)
..Danish,70.00,59.00,(B),--
..Norwegian,60.00,42.00,(D),(D)
..Icelandic,70.00,80.00,(D),(D)
.Greek,297.00,125.00,18.00,21.00
.Russian,1341.00,368.00,304.00,140.00
.Polish,477.00,172.00,95.00,68.00
.Serbo-Croatian languages,409.00,240.00,15.00,21.00
..Serbocroatian,100.00,76.00,(D),(D)
..Croatian,260.00,224.00,(D),(D)
..Serbian,45.00,47.00,(B),--
.Other Slavic languages,431.00,208.00,138.00,136.00
..Ukrainian,60.00,40.00,(D),(D)
..Czech,135.00,87.00,(D),(D)
..Slovak,100.00,85.00,(B),--
..Bulgarian,125.00,138.00,(D),(D)
..Macedonian,(D),(D),(D),(D)
.Armenian,47.00,50.00,(B),--
.Persian,1086.00,385.00,319.00,121.00
.Hindi,1038.00,324.00,148.00,108.00
.Gujarati,488.00,245.00,165.00,93.00
.Urdu,183.00,116.00,62.00,57.00
.Other Indic languages,1023.00,377.00,235.00,104.00
..India n.e.c.3,125.00,171.00,(D),(D)
..Bengali,260.00,223.00,(D),(D)
..Panjabi,150.00,127.00,110.00,88.00
..Marathi,95.00,90.00,(B),--
..Oriya,(D),(D),(B),--
..Nepali,155.00,107.00,65.00,52.00
..Sindhi,135.00,128.00,(D),(D)
..Sinhalese,(D),(D),(D),(D)
.Other Indo-European languages,736.00,197.00,170.00,82.00
..Jamaican Creole,(D),(D),(B),--
..Pidgin,55.00,49.00,(B),--
..Romanian,210.00,95.00,75.00,65.00
..Welsh,(D),(D),(B),--
..Irish Gaelic,220.00,104.00,(D),(D)
..Scottic Gaelic,(D),(D),(B),--
..Albanian,80.00,78.00,25.00,33.00
..Lithuanian,90.00,74.00,(D),(D)
..Pashto,55.00,73.00,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,17781.00,852.00,7870.00,657.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",4273.00,597.00,2007.00,330.00
..Chinese,3160.00,540.00,1420.00,297.00
..Cantonese,230.00,112.00,145.00,93.00
..Mandarin,730.00,224.00,395.00,131.00
..Formosan,150.00,118.00,(D),(D)
.Japanese,1941.00,369.00,565.00,149.00
.Korean,1288.00,292.00,656.00,166.00
".Mon-Khmer, Cambodian",36.00,45.00,28.00,39.00
.Hmong,21.00,32.00,(B),--
.Thai,453.00,194.00,229.00,150.00
.Laotian,542.00,286.00,159.00,128.00
.Vietnamese,4555.00,821.00,2837.00,608.00
.Other Asian languages,1219.00,366.00,419.00,216.00
..Turkish,265.00,151.00,130.00,85.00
..Telugu,360.00,214.00,55.00,54.00
..Kannada,(D),(D),(B),--
..Malayalam,90.00,73.00,(B),--
..Tamil,180.00,126.00,(B),--
..Tibetan,230.00,194.00,185.00,180.00
..Burmese,70.00,113.00,45.00,78.00
.Tagalog,2808.00,466.00,781.00,251.00
.Other Pacific Island languages,645.00,239.00,189.00,87.00
..Indonesian,75.00,82.00,50.00,46.00
..Malay,(D),(D),(B),--
..Bisayan,115.00,88.00,75.00,60.00
..Sebuano,(D),(D),(B),--
..Ilocano,(D),(D),(B),--
..Bikol,(D),(D),(B),--
..Pampangan,(D),(D),(B),--
..Micronesian,(D),(D),(B),--
..Chamorro,95.00,64.00,(D),(D)
..Ponapean,30.00,37.00,30.00,37.00
..Trukese,(D),(D),(D),(D)
..Yapese,(D),(D),(B),--
..Melanesian,(D),(D),(B),--
..Samoan,45.00,32.00,(D),(D)
..Tongan,45.00,49.00,(B),--
..Fijian,(D),(D),(B),--
..Hawaiian,95.00,111.00,(B),--
ALL OTHER LANGUAGES,101136.00,1785.00,16795.00,977.00
.Navajo,64040.00,1763.00,11579.00,790.00
.Other Native North American languages,32951.00,1361.00,4217.00,510.00
..Aleut,(D),(D),(B),--
..Cheyenne,(D),(D),(B),--
..Kickapoo,(D),(D),(B),--
..Ojibwa,(D),(D),(B),--
..Ottawa,30.00,31.00,(D),(D)
..Potawatomi,(D),(D),(B),--
..Salish,40.00,41.00,25.00,32.00
..Athapascan,(D),(D),(B),--
..Apache,1700.00,274.00,225.00,72.00
..Pomo,60.00,57.00,(B),--
..Mohave,(D),(D),(B),--
..Crow,(D),(D),(B),--
..Dakota,265.00,279.00,(B),--
..Choctaw,90.00,104.00,(B),--
..Keres,11950.00,686.00,1760.00,258.00
..Mohawk,(D),(D),(B),--
..Seneca,(D),(D),(B),--
..Cherokee,205.00,120.00,(D),(D)
..Comanche,(D),(D),(B),--
..Ute,60.00,56.00,(B),--
..Shoshoni,(D),(D),(B),--
..Hopi,185.00,145.00,(B),--
..Pima,(D),(D),(D),(D)
..Picuris,(D),(D),(B),--
..Tiwa,1900.00,303.00,65.00,42.00
..Sandia,(D),(D),(B),--
..Tewa,4115.00,445.00,265.00,109.00
..Towa,1780.00,332.00,510.00,234.00
..Zuni,9255.00,1107.00,1210.00,301.00
..American Indian,540.00,265.00,80.00,41.00
..Jicarilla,510.00,178.00,30.00,20.00
..Chiricahua,130.00,55.00,10.00,14.00
.Hungarian,375.00,153.00,127.00,93.00
.Arabic,2114.00,582.00,571.00,298.00
.Hebrew,523.00,240.00,24.00,22.00
.African languages,850.00,238.00,174.00,83.00
..Amharic,320.00,144.00,65.00,41.00
..Cushite,(D),(D),(B),--
..Swahili,175.00,114.00,45.00,48.00
..Bantu,210.00,132.00,50.00,47.00
..Fulani,(D),(D),(B),--
"..Kru, Ibo, Yoruba",115.00,82.00,(D),(D)
..African,20.00,25.00,(B),--
.Other and unspecified languages,283.00,142.00,103.00,121.00
..Finnish,90.00,51.00,(D),(D)
..Estonian,(D),(D),(D),(D)
..Caucasian,(D),(D),(B),--
..Oto - Manguen,75.00,116.00,75.00,116.00
..Uncodable,80.00,65.00,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US35). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
