Table with column headers in row 5 and row headers in column A,,,,
Table 33. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for New York:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,18322476.00,609.00,2455989.00,12836.00
Speak only English at home,12835426.00,17251.00,(X),(X)
Speak a language other than English at home,5487050.00,17333.00,2455989.00,12836.00
SPANISH AND SPANISH CREOLE,2705243.00,9252.00,1232242.00,9042.00
..Spanish,2705225.00,9249.00,1232235.00,9040.00
..Ladino,(D),(D),(D),(D)
OTHER INDO-EUROPEAN LANGUAGES,1628047.00,14318.00,632076.00,7496.00
".French (incl. Patois, Cajun)",139202.00,3875.00,33531.00,1790.00
..French,133535.00,3866.00,32520.00,1782.00
..Patois,5645.00,578.00,1010.00,205.00
..Cajun,(D),(D),(B),--
.French Creole,153455.00,4931.00,66679.00,2698.00
.Italian,191569.00,4101.00,60918.00,1765.00
.Portuguese (incl. Portuguese Creole),45070.00,2161.00,16785.00,1403.00
..Portuguese,44980.00,2168.00,16765.00,1403.00
..Papia Mentae,90.00,60.00,20.00,21.00
.German (incl. Luxembourgian),65194.00,2029.00,10762.00,696.00
..German,65165.00,2027.00,10760.00,696.00
..Luxembourgian,(D),(D),(B),--
.Yiddish,128760.00,3686.00,49887.00,1996.00
.Other West Germanic languages,17931.00,1221.00,4371.00,479.00
..Pennsylvania Dutch,6485.00,805.00,2595.00,431.00
..Dutch,10840.00,900.00,1775.00,303.00
..Afrikaans,610.00,176.00,(D),(D)
.Scandinavian languages,9210.00,785.00,1040.00,297.00
..Swedish,4105.00,571.00,275.00,95.00
..Danish,2055.00,450.00,295.00,266.00
..Norwegian,2720.00,415.00,450.00,142.00
..Icelandic,320.00,144.00,20.00,27.00
..Faroese,(D),(D),(B),--
.Greek,71233.00,2922.00,20897.00,1180.00
.Russian,226290.00,4082.00,130848.00,2773.00
.Polish,95175.00,3071.00,42182.00,1904.00
.Serbo-Croatian languages,34025.00,2178.00,13233.00,1081.00
..Serbocroatian,16585.00,1566.00,7040.00,807.00
..Croatian,10470.00,924.00,3685.00,489.00
..Serbian,6965.00,1025.00,2510.00,468.00
.Other Slavic languages,36471.00,1833.00,15971.00,1094.00
..Bielorussian,445.00,178.00,265.00,129.00
