Table with column headers in row 5 and row headers in column A,,,,
Table 34. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for North Carolina:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,9027673.00,652.00,437382.00,5492.00
Speak only English at home,8042027.00,6678.00,(X),(X)
Speak a language other than English at home,985646.00,6675.00,437382.00,5492.00
SPANISH AND SPANISH CREOLE,658939.00,4905.00,331648.00,4894.00
..Spanish,658940.00,4905.00,331650.00,4894.00
OTHER INDO-EUROPEAN LANGUAGES,149117.00,4368.00,35938.00,2074.00
".French (incl. Patois, Cajun)",27133.00,1663.00,6254.00,816.00
..French,26580.00,1659.00,6170.00,811.00
..Patois,485.00,226.00,80.00,83.00
..Cajun,70.00,51.00,(B),--
.French Creole,2655.00,587.00,783.00,263.00
.Italian,7394.00,926.00,1460.00,376.00
.Portuguese (incl. Portuguese Creole),6189.00,793.00,1821.00,489.00
..Portuguese,6190.00,793.00,1820.00,489.00
.German (incl. Luxembourgian),23535.00,1235.00,2896.00,296.00
..German,23515.00,1235.00,2895.00,296.00
..Luxembourgian,(D),(D),(B),--
.Yiddish,74.00,83.00,(B),--
.Other West Germanic languages,3481.00,669.00,281.00,124.00
..Pennsylvania Dutch,280.00,183.00,85.00,85.00
..Dutch,2020.00,456.00,115.00,59.00
..Afrikaans,1180.00,411.00,80.00,60.00
.Scandinavian languages,2545.00,554.00,146.00,63.00
..Swedish,1420.00,339.00,125.00,60.00
..Danish,535.00,250.00,(B),--
..Norwegian,420.00,254.00,(D),(D)
..Icelandic,170.00,141.00,15.00,19.00
.Greek,5234.00,660.00,1232.00,258.00
.Russian,10351.00,1384.00,3495.00,591.00
.Polish,3248.00,574.00,737.00,196.00
.Serbo-Croatian languages,3479.00,654.00,1385.00,342.00
..Serbocroatian,2125.00,531.00,835.00,269.00
..Croatian,280.00,144.00,65.00,64.00
..Serbian,1075.00,375.00,485.00,213.00
.Other Slavic languages,4861.00,838.00,1372.00,352.00
..Bielorussian,45.00,36.00,(D),(D)
..Ukrainian,2150.00,682.00,880.00,318.00
..Czech,745.00,294.00,75.00,71.00
..Slovak,525.00,298.00,90.00,93.00
..Bulgarian,1110.00,352.00,195.00,96.00
..Macedonian,35.00,43.00,(D),(D)
..Slovene,255.00,178.00,100.00,119.00
.Armenian,299.00,107.00,21.00,23.00
.Persian,4150.00,762.00,1502.00,386.00
.Hindi,13048.00,1270.00,2174.00,509.00
.Gujarati,9623.00,1247.00,3548.00,624.00
.Urdu,5293.00,866.00,1658.00,407.00
.Other Indic languages,10888.00,1258.00,3619.00,611.00
..India n.e.c.3,1205.00,481.00,260.00,124.00
..Bengali,2475.00,495.00,715.00,240.00
..Panjabi,2150.00,551.00,555.00,229.00
..Marathi,1720.00,441.00,305.00,199.00
..Rajasthani,95.00,99.00,95.00,99.00
..Oriya,330.00,198.00,(D),(D)
..Assamese,(D),(D),(B),--
..Nepali,2260.00,617.00,1440.00,518.00
..Sindhi,55.00,56.00,(B),--
..Pakistan n.e.c.3,265.00,165.00,130.00,102.00
..Sinhalese,320.00,193.00,115.00,105.00
.Other Indo-European languages,5637.00,1023.00,1554.00,441.00
..Jamaican Creole,340.00,128.00,80.00,69.00
..Krio,400.00,276.00,(D),(D)
..Pidgin,80.00,71.00,(D),(D)
..Gullah,(D),(D),(B),--
..Saramacca,(D),(D),(B),--
..Catalonian,40.00,39.00,(D),(D)
..Romanian,2475.00,668.00,935.00,337.00
..Welsh,155.00,101.00,(D),(D)
..Irish Gaelic,330.00,136.00,75.00,84.00
..Scottic Gaelic,35.00,36.00,(B),--
..Albanian,605.00,284.00,230.00,149.00
..Lithuanian,290.00,145.00,45.00,53.00
..Latvian,165.00,182.00,(B),--
..Pashto,595.00,425.00,70.00,48.00
..Kurdish,90.00,67.00,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,134620.00,2602.00,57961.00,1908.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",30083.00,1552.00,13549.00,1066.00
..Chinese,23655.00,1396.00,10720.00,925.00
..Hakka,(D),(D),(D),(D)
..Cantonese,1630.00,465.00,610.00,281.00
..Mandarin,4110.00,683.00,1845.00,513.00
..Fuchow,80.00,81.00,50.00,52.00
..Formosan,550.00,211.00,305.00,160.00
..Wu,(D),(D),(B),--
.Japanese,5717.00,699.00,2189.00,374.00
.Korean,15685.00,1343.00,7595.00,779.00
".Mon-Khmer, Cambodian",5239.00,1056.00,2535.00,564.00
.Hmong,8786.00,963.00,3502.00,503.00
.Thai,2794.00,522.00,1245.00,333.00
.Laotian,4695.00,942.00,1948.00,438.00
.Vietnamese,22459.00,1727.00,14072.00,1271.00
.Other Asian languages,22516.00,1684.00,7201.00,1156.00
..Uighur,55.00,57.00,(D),(D)
..Turkish,1845.00,450.00,330.00,138.00
..Mongolian,60.00,53.00,(D),(D)
..Gondi,265.00,279.00,(D),(D)
..Telugu,6690.00,955.00,1630.00,493.00
..Kannada,1830.00,477.00,235.00,128.00
..Malayalam,2375.00,540.00,570.00,227.00
..Tamil,4900.00,796.00,980.00,331.00
..Munda,(D),(D),(B),--
