Table with column headers in row 5 and row headers in column A,,,,
Table 35. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for North Dakota:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,"644,506",197,"9,554",744
Speak only English at home,"610,268","1,260",(X),(X)
Speak a language other than English at home,"34,238","1,247","9,554",744
SPANISH AND SPANISH CREOLE,"9,190",582,"2,014",325
..Spanish,"9,190",582,"2,015",325
OTHER INDO-EUROPEAN LANGUAGES,"15,565",855,"3,243",372
".French (incl. Patois, Cajun)",894,177,195,90
..French,895,177,195,90
.French Creole,40,30,35,28
.Italian,246,145,16,25
.Portuguese (incl. Portuguese Creole),158,88,29,22
..Portuguese,160,88,30,22
.German (incl. Luxembourgian),"8,541",586,"1,609",204
..German,"8,540",586,"1,610",204
.Other West Germanic languages,152,79,9,10
..Pennsylvania Dutch,40,39,(D),(D)
..Dutch,30,32,(B),--
..Afrikaans,80,55,(D),(D)
.Scandinavian languages,"1,673",196,188,54
..Swedish,100,63,10,11
..Danish,50,30,(D),(D)
..Norwegian,"1,425",203,170,52
..Icelandic,95,50,(B),--
.Greek,96,86,24,27
.Russian,746,295,306,139
.Polish,185,80,21,13
.Serbo-Croatian languages,649,334,205,115
..Serbocroatian,560,303,140,93
..Croatian,80,83,55,61
..Serbian,(D),(D),(D),(D)
.Other Slavic languages,757,196,195,144
..Ukrainian,170,66,20,16
..Czech,490,160,160,142
..Slovak,(D),(D),(D),(D)
..Bulgarian,85,116,(B),--
..Macedonian,(D),(D),(D),(D)
.Persian,46,37,35,34
.Hindi,262,149,44,47
.Gujarati,79,67,35,34
.Urdu,196,181,7,12
.Other Indic languages,695,260,230,168
..India n.e.c.3,20,22,(B),--
..Bengali,100,105,(D),(D)
..Panjabi,(D),(D),(B),--
..Marathi,(D),(D),(D),(D)
..Nepali,260,157,190,155
..Sinhalese,240,222,(B),--
.Other Indo-European languages,150,84,60,47
..Krio,(D),(D),(B),--
..Hawaiian Pidgin,(D),(D),(B),--
..Romanian,50,36,25,24
..Irish Gaelic,(D),(D),(B),--
..Albanian,35,54,(D),(D)
..Lithuanian,(D),(D),(B),--
..Kurdish,45,48,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,"4,032",412,"2,101",312
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)","1,122",266,753,216
..Chinese,"1,060",252,755,216
..Cantonese,(D),(D),(B),--
..Mandarin,55,57,(B),--
.Japanese,391,184,225,146
.Korean,238,105,134,77
".Mon-Khmer, Cambodian",53,79,28,42
.Hmong,11,17,(B),--
.Thai,130,80,52,60
.Laotian,46,41,4,6
.Vietnamese,819,300,506,200
.Other Asian languages,599,257,133,83
..Turkish,125,77,45,41
..Mongolian,15,14,(D),(D)
..Telugu,170,116,55,59
..Malayalam,30,29,(D),(D)
..Tamil,55,58,(B),--
..Tibetan,205,196,(D),(D)
.Tagalog,451,186,151,102
.Other Pacific Island languages,172,123,115,103
..Indonesian,30,32,30,32
..Malay,75,104,55,88
..Bisayan,10,10,(D),(D)
..Chamorro,35,40,(D),(D)
..Marshallese,(D),(D),(D),(D)
..Trukese,(D),(D),(B),--
..Hawaiian,(D),(D),(B),--
ALL OTHER LANGUAGES,"5,451",608,"2,196",441
.Navajo,101,94,14,23
.Other Native North American languages,"1,761",254,187,86
..Yupik,(D),(D),(B),--
..Blackfoot,(D),(D),(B),--
..Cree,70,63,(B),--
..French Cree,25,35,(B),--
..Ojibwa,90,52,(D),(D)
..Ottawa,(D),(D),(D),(D)
..Okanogan,60,89,45,66
..Ingalit,(D),(D),(B),--
..Apache,(D),(D),(B),--
..Crow,(D),(D),(B),--
..Hidatsa,390,92,20,22
..Mandan,35,28,20,22
..Dakota,685,135,25,14
..Winnebago,(D),(D),(B),--
..Omaha,10,9,(D),(D)
..Keres,(D),(D),(D),(D)
..Arikara,145,66,40,27
..Shoshoni,(D),(D),(B),--
..American Indian,200,111,20,19
..Spokane,(D),(D),(B),--
.Hungarian,94,92,24,27
.Arabic,797,270,364,181
.Hebrew,38,37,7,10
.African languages,"2,448",478,"1,529",401
..Amharic,60,52,20,28
..Chadic,10,15,(B),--
..Cushite,835,331,685,316
..Sudanic,40,43,25,30
..Swahili,580,364,245,204
..Bantu,600,272,410,205
..Mande,110,129,45,55
"..Kru, Ibo, Yoruba",175,88,65,56
..African,(D),(D),(D),(D)
.Other and unspecified languages,212,110,71,73
..Finnish,65,36,15,8
..Caucasian,(D),(D),(B),--
..Syriac,40,67,40,67
..Uncodable,65,46,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US38). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
