Table with column headers in row 5 and row headers in column A,,,,
Table 36. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Ohio:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,10843151.00,588.00,254186.00,4449.00
Speak only English at home,10124056.00,6986.00,(X),(X)
Speak a language other than English at home,719095.00,6951.00,254186.00,4449.00
SPANISH AND SPANISH CREOLE,241651.00,3332.00,90725.00,2189.00
..Spanish,241650.00,3332.00,90725.00,2189.00
OTHER INDO-EUROPEAN LANGUAGES,274162.00,4520.00,84485.00,2868.00
".French (incl. Patois, Cajun)",28349.00,1257.00,7001.00,732.00
..French,28005.00,1229.00,6940.00,738.00
..Patois,345.00,190.00,60.00,46.00
.French Creole,1800.00,483.00,495.00,273.00
.Italian,17966.00,1049.00,4803.00,510.00
.Portuguese (incl. Portuguese Creole),3459.00,634.00,953.00,341.00
..Portuguese,3425.00,628.00,955.00,341.00
..Papia Mentae,35.00,46.00,(B),--
.German (incl. Luxembourgian),54215.00,2277.00,14196.00,1087.00
..German,54195.00,2271.00,14195.00,1087.00
..Luxembourgian,(D),(D),(B),--
.Yiddish,689.00,162.00,66.00,44.00
.Other West Germanic languages,41220.00,2146.00,15195.00,1255.00
..Pennsylvania Dutch,28705.00,2001.00,10900.00,1197.00
..Dutch,12160.00,1355.00,4255.00,799.00
..Afrikaans,355.00,146.00,40.00,33.00
.Scandinavian languages,1675.00,404.00,83.00,53.00
..Swedish,725.00,223.00,70.00,52.00
..Danish,620.00,318.00,(D),(D)
..Norwegian,275.00,128.00,(B),--
..Icelandic,55.00,39.00,(B),--
.Greek,10122.00,790.00,2368.00,316.00
.Russian,16917.00,1381.00,8416.00,808.00
.Polish,9504.00,758.00,2575.00,347.00
.Serbo-Croatian languages,12868.00,1146.00,4877.00,568.00
..Serbocroatian,2375.00,554.00,1080.00,292.00
..Croatian,5205.00,612.00,1770.00,330.00
..Serbian,5285.00,823.00,2025.00,371.00
.Other Slavic languages,15688.00,1302.00,5603.00,594.00
..Bielorussian,55.00,144.00,(D),(D)
..Ukrainian,7835.00,996.00,3735.00,572.00
..Czech,755.00,215.00,130.00,67.00
..Slovak,2410.00,346.00,400.00,106.00
..Bulgarian,995.00,447.00,180.00,118.00
..Macedonian,1800.00,423.00,580.00,201.00
..Slovene,1840.00,298.00,560.00,150.00
.Armenian,482.00,184.00,155.00,74.00
.Persian,3266.00,551.00,1152.00,315.00
.Hindi,16159.00,1475.00,2606.00,537.00
.Gujarati,7727.00,893.00,2508.00,465.00
.Urdu,5132.00,678.00,1060.00,251.00
.Other Indic languages,13352.00,1356.00,4893.00,906.00
..India n.e.c.3,1585.00,457.00,360.00,173.00
..Bengali,2660.00,514.00,620.00,187.00
..Panjabi,4070.00,720.00,1560.00,432.00
..Marathi,1625.00,423.00,355.00,204.00
..Oriya,35.00,52.00,35.00,52.00
..Assamese,55.00,59.00,(B),--
..Kashmiri,(D),(D),(B),--
