Table with column headers in row 5 and row headers in column A,,,,
Table 37. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Oklahoma:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,"3,521,583",373,"138,641","2,301"
Speak only English at home,"3,190,076","3,056",(X),(X)
Speak a language other than English at home,"331,507","3,040","138,641","2,301"
SPANISH AND SPANISH CREOLE,"224,324","2,399","103,860","2,025"
..Spanish,"224,325","2,399","103,860","2,025"
OTHER INDO-EUROPEAN LANGUAGES,"33,010","1,559","6,641",652
".French (incl. Patois, Cajun)","5,126",595,783,172
..French,"5,030",600,775,169
..Patois,(D),(D),(B),--
..Cajun,55,40,(D),(D)
.French Creole,339,135,47,42
.Italian,"1,009",216,146,65
.Portuguese (incl. Portuguese Creole),962,225,288,111
..Portuguese,960,225,290,111
.German (incl. Luxembourgian),"10,492",851,"1,603",325
..German,"10,490",851,"1,605",325
.Yiddish,48,36,8,13
.Other West Germanic languages,926,254,135,85
..Pennsylvania Dutch,110,80,40,55
..Dutch,685,232,80,63
..Afrikaans,125,58,(D),(D)
..Frisian,(D),(D),(B),--
.Scandinavian languages,290,121,21,16
..Swedish,130,94,(D),(D)
..Danish,35,30,(B),--
..Norwegian,105,65,(D),(D)
..Icelandic,20,18,(D),(D)
.Greek,698,218,52,43
.Russian,"1,880",360,458,168
.Polish,712,333,188,144
.Serbo-Croatian languages,286,126,78,62
..Serbocroatian,145,111,50,55
..Croatian,60,42,(D),(D)
..Serbian,85,65,(D),(D)
.Other Slavic languages,581,216,78,104
..Ukrainian,130,150,60,90
..Czech,280,95,(B),--
..Slovak,(D),(D),(B),--
..Bulgarian,110,102,(D),(D)
..Macedonian,50,56,(B),--
.Armenian,86,74,14,21
.Persian,"2,148",372,819,201
.Hindi,"1,899",413,273,117
.Gujarati,834,302,249,126
.Urdu,"1,781",451,633,323
.Other Indic languages,"1,884",416,545,149
..India n.e.c.3,285,157,120,81
..Bengali,755,263,230,103
..Panjabi,115,95,(D),(D)
..Marathi,245,180,45,35
..Kashmiri,15,31,(B),--
..Nepali,245,156,50,51
..Sindhi,20,27,(B),--
..Pakistan n.e.c.3,70,67,(D),(D)
..Sinhalese,110,82,65,56
..Romany,25,25,(B),--
.Other Indo-European languages,"1,029",258,223,114
..Jamaican Creole,(D),(D),(B),--
..Krio,(D),(D),(B),--
..Pidgin,75,98,(D),(D)
..Catalonian,55,67,(D),(D)
..Romanian,230,135,70,76
..Welsh,(D),(D),(B),--
..Irish Gaelic,100,63,(B),--
..Scottic Gaelic,85,100,(B),--
..Albanian,185,145,55,59
..Lithuanian,15,16,(D),(D)
..Latvian,75,81,(D),(D)
..Pashto,85,66,(D),(D)
..Kurdish,50,58,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,"49,658","1,702","23,627",991
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)","8,535",667,"4,305",419
..Chinese,"6,915",637,"3,520",428
..Hakka,(D),(D),(D),(D)
..Cantonese,445,168,190,91
..Mandarin,965,248,465,181
..Formosan,200,89,120,77
.Japanese,"2,007",414,747,224
.Korean,"4,498",588,"2,339",353
".Mon-Khmer, Cambodian",404,190,235,138
.Hmong,"3,215",633,"1,089",275
.Thai,991,261,545,185
.Laotian,"1,610",367,797,244
.Vietnamese,"15,084","1,222","8,935",783
.Other Asian languages,"6,466",923,"2,412",449
..Kazakh,(D),(D),(B),--
..Kirghiz,(D),(D),(B),--
..Azerbaijani,70,74,(D),(D)
..Turkish,715,328,220,158
..Telugu,"1,145",567,170,95
..Kannada,120,95,45,46
..Malayalam,"2,375",481,660,234
..Tamil,450,145,60,48
..Burmese,"1,400",379,"1,110",324
..Karen,125,108,95,77
..Kachin,(D),(D),(D),(D)
..Paleo-siberian,(D),(D),(D),(D)
.Tagalog,"3,381",506,994,257
.Other Pacific Island languages,"3,467",486,"1,229",324
..Indonesian,420,146,160,93
..Malay,215,118,45,46
..Bisayan,270,112,95,56
