Table with column headers in row 5 and row headers in column A,,,,
Table 38. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Oregon:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,3635006.00,401.00,225703.00,4549.00
Speak only English at home,3096638.00,6214.00,(X),(X)
Speak a language other than English at home,538368.00,6136.00,225703.00,4549.00
SPANISH AND SPANISH CREOLE,319160.00,3362.00,143041.00,3384.00
..Spanish,319160.00,3362.00,143040.00,3384.00
OTHER INDO-EUROPEAN LANGUAGES,92653.00,3843.00,25476.00,1587.00
".French (incl. Patois, Cajun)",11273.00,892.00,1487.00,316.00
..French,11275.00,892.00,1485.00,316.00
.French Creole,524.00,195.00,50.00,48.00
.Italian,2816.00,364.00,385.00,128.00
.Portuguese (incl. Portuguese Creole),2007.00,417.00,475.00,162.00
..Portuguese,2005.00,417.00,475.00,162.00
.German (incl. Luxembourgian),15185.00,1067.00,1742.00,256.00
..German,15170.00,1066.00,1740.00,256.00
..Luxembourgian,(D),(D),(B),--
.Yiddish,154.00,118.00,3.00,7.00
.Other West Germanic languages,2443.00,321.00,216.00,90.00
..Dutch,2080.00,285.00,195.00,84.00
..Afrikaans,345.00,171.00,(D),(D)
..Frisian,(D),(D),(B),--
.Scandinavian languages,2650.00,515.00,248.00,148.00
..Swedish,955.00,266.00,100.00,122.00
..Danish,660.00,253.00,75.00,50.00
..Norwegian,1000.00,290.00,55.00,54.00
..Icelandic,(D),(D),(D),(D)
.Greek,850.00,215.00,171.00,81.00
.Russian,21884.00,2124.00,9177.00,1021.00
.Polish,1183.00,306.00,323.00,155.00
.Serbo-Croatian languages,1801.00,493.00,849.00,284.00
..Serbocroatian,1205.00,446.00,610.00,251.00
..Croatian,220.00,105.00,45.00,45.00
..Serbian,375.00,170.00,190.00,119.00
.Other Slavic languages,7444.00,1453.00,3444.00,689.00
..Bielorussian,35.00,53.00,(D),(D)
..Ukrainian,5955.00,1327.00,3065.00,618.00
..Czech,735.00,188.00,95.00,75.00
..Slovak,115.00,82.00,(D),(D)
..Bulgarian,570.00,288.00,235.00,185.00
..Macedonian,(D),(D),(D),(D)
..Slovene,(D),(D),(B),--
.Armenian,475.00,251.00,110.00,62.00
.Persian,3375.00,655.00,1231.00,328.00
.Hindi,4783.00,700.00,701.00,270.00
.Gujarati,621.00,337.00,179.00,156.00
.Urdu,813.00,331.00,118.00,114.00
.Other Indic languages,4940.00,1082.00,1895.00,569.00
..India n.e.c.3,95.00,64.00,45.00,36.00
..Bengali,890.00,386.00,270.00,172.00
..Panjabi,1190.00,544.00,415.00,205.00
..Marathi,695.00,330.00,(D),(D)
..Oriya,100.00,82.00,(D),(D)
..Nepali,1045.00,492.00,885.00,468.00
..Sindhi,80.00,87.00,(B),--
..Pakistan n.e.c.3,465.00,395.00,195.00,158.00
..Sinhalese,355.00,232.00,(D),(D)
..Romany,15.00,17.00,(B),--
.Other Indo-European languages,7432.00,1143.00,2672.00,696.00
..Jamaican Creole,45.00,54.00,(B),--
..Krio,(D),(D),(B),--
..Pidgin,120.00,160.00,(B),--
..Catalonian,(D),(D),(B),--
..Romanian,5665.00,955.00,2350.00,667.00
..Welsh,20.00,19.00,(B),--
..Irish Gaelic,460.00,247.00,(D),(D)
..Scottic Gaelic,(D),(D),(B),--
..Albanian,305.00,194.00,140.00,102.00
..Lithuanian,165.00,102.00,(D),(D)
..Latvian,170.00,98.00,(D),(D)
..Pashto,165.00,145.00,80.00,66.00
..Kurdish,230.00,184.00,75.00,61.00
ASIAN AND PACIFIC ISLAND LANGUAGES,105277.00,2217.00,49598.00,1767.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",26410.00,1635.00,13563.00,1086.00
..Chinese,18555.00,1379.00,9970.00,928.00
..Hakka,(D),(D),(D),(D)
..Cantonese,3425.00,582.00,1910.00,402.00
..Mandarin,3855.00,592.00,1405.00,334.00
..Formosan,555.00,200.00,255.00,150.00
.Japanese,9313.00,904.00,3226.00,452.00
.Korean,10382.00,999.00,4868.00,553.00
".Mon-Khmer, Cambodian",2947.00,665.00,1434.00,356.00
.Hmong,799.00,284.00,249.00,134.00
.Thai,2130.00,482.00,1131.00,283.00
.Laotian,2594.00,580.00,1165.00,299.00
.Vietnamese,25813.00,1430.00,16415.00,1180.00
.Other Asian languages,8053.00,1102.00,2753.00,679.00
..Kazakh,(D),(D),(B),--
..Turkish,645.00,255.00,280.00,164.00
..Telugu,1605.00,541.00,430.00,312.00
..Kannada,745.00,335.00,110.00,94.00
..Malayalam,400.00,176.00,(D),(D)
..Tamil,1680.00,441.00,190.00,115.00
..Tibetan,215.00,105.00,70.00,48.00
..Burmese,895.00,510.00,680.00,378.00
..Karen,155.00,129.00,110.00,123.00
..Mien,1500.00,448.00,755.00,278.00
..Paleo-siberian,195.00,226.00,115.00,153.00
.Tagalog,8452.00,797.00,2388.00,388.00
.Other Pacific Island languages,8384.00,913.00,2406.00,471.00
..Indonesian,920.00,269.00,300.00,155.00
..Malay,95.00,58.00,(B),--
..Bisayan,295.00,128.00,85.00,61.00
..Sebuano,90.00,69.00,(D),(D)
..Ilocano,330.00,275.00,160.00,176.00
..Pampangan,(D),(D),(B),--
..Micronesian,550.00,325.00,85.00,91.00
..Carolinian,70.00,75.00,(D),(D)
..Chamorro,420.00,198.00,65.00,81.00
..Marshallese,565.00,227.00,160.00,103.00
..Mokilese,25.00,38.00,25.00,38.00
..Palau,390.00,208.00,85.00,65.00
..Ponapean,105.00,123.00,(B),--
..Trukese,1905.00,613.00,810.00,369.00
..Woleai-Ulithi,55.00,108.00,(B),--
..Yapese,175.00,160.00,(D),(D)
..Samoan,1220.00,467.00,300.00,196.00
..Tongan,735.00,413.00,170.00,128.00
..Fijian,45.00,46.00,(D),(D)
..Rarotongan,(D),(D),(B),--
..Nukuoro,95.00,119.00,(D),(D)
..Hawaiian,240.00,127.00,50.00,51.00
ALL OTHER LANGUAGES,21278.00,1927.00,7588.00,1196.00
.Navajo,326.00,186.00,79.00,68.00
.Other Native North American languages,2151.00,392.00,184.00,103.00
..Eskimo,(D),(D),(B),--
..Inupik,(D),(D),(B),--
..Yupik,35.00,28.00,(D),(D)
..Blackfoot,40.00,47.00,(B),--
..Cheyenne,(D),(D),(B),--
..Fox,(D),(D),(B),--
..Ojibwa,(D),(D),(B),--
..Salish,(D),(D),(B),--
..Okanogan,(D),(D),(B),--
..Chasta Costa,(D),(D),(B),--
..Apache,(D),(D),(B),--
..Tlingit,95.00,67.00,(B),--
..Siuslaw,(D),(D),(B),--
..Klamath,195.00,135.00,(D),(D)
..Nez Perce,105.00,70.00,(D),(D)
..Sahaptian,430.00,131.00,(B),--
..Upper Chinook,215.00,137.00,15.00,19.00
..Mohave,(D),(D),(B),--
..Diegueno,85.00,136.00,(D),(D)
..Dakota,190.00,116.00,30.00,48.00
..Choctaw,10.00,10.00,(D),(D)
..Keres,(D),(D),(B),--
..Cherokee,110.00,71.00,(B),--
..Mono,120.00,113.00,(D),(D)
..Paiute,60.00,43.00,(D),(D)
..Hopi,(D),(D),(B),--
..Pima,(D),(D),(B),--
..Tewa,(D),(D),(B),--
..Zuni,(D),(D),(D),(D)
..Chinook Jargon,30.00,22.00,(D),(D)
..American Indian,200.00,113.00,50.00,67.00
.Hungarian,859.00,238.00,289.00,132.00
.Arabic,7938.00,1518.00,3106.00,838.00
.Hebrew,1112.00,259.00,188.00,137.00
.African languages,6874.00,1084.00,2938.00,791.00
..Amharic,1690.00,384.00,670.00,225.00
..Chadic,(D),(D),(B),--
..Cushite,3055.00,838.00,1580.00,580.00
..Swahili,1160.00,618.00,580.00,563.00
..Bantu,310.00,156.00,(D),(D)
..Mande,(D),(D),(B),--
..Fulani,105.00,98.00,15.00,20.00
"..Kru, Ibo, Yoruba",460.00,178.00,80.00,48.00
..Efik,55.00,60.00,(B),--
..African,30.00,39.00,(D),(D)
.Other and unspecified languages,2018.00,735.00,804.00,390.00
..Finnish,615.00,211.00,150.00,79.00
..Estonian,100.00,69.00,(D),(D)
..Caucasian,35.00,60.00,(D),(D)
..Basque,50.00,39.00,(B),--
..Syriac,(D),(D),(D),(D)
..Mayan languages,470.00,250.00,195.00,118.00
..Tarascan,(D),(D),(D),(D)
..Oto - Manguen,560.00,581.00,365.00,354.00
..Uncodable,45.00,39.00,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US41). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
