Table with column headers in row 5 and row headers in column A,,,,
Table 40. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Rhode Island:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,"995,757",211,"86,168","2,178"
Speak only English at home,"785,383","3,028",(X),(X)
Speak a language other than English at home,"210,374","3,018","86,168","2,178"
SPANISH AND SPANISH CREOLE,"109,457","1,302","50,073","1,442"
..Spanish,"109,455","1,302","50,075","1,442"
OTHER INDO-EUROPEAN LANGUAGES,"71,970","2,610","23,012","1,230"
".French (incl. Patois, Cajun)","10,650",872,"2,029",320
..French,"10,650",872,"2,030",320
.French Creole,"6,321",813,"2,367",386
.Italian,"8,003",880,"1,762",322
.Portuguese (incl. Portuguese Creole),"32,159","1,653","13,063",877
..Portuguese,"32,100","1,662","13,065",877
..Papia Mentae,60,62,(B),--
.German (incl. Luxembourgian),"1,633",282,259,86
..German,"1,620",283,260,86
..Luxembourgian,(D),(D),(B),--
.Yiddish,66,42,7,12
.Other West Germanic languages,224,105,65,61
..Pennsylvania Dutch,(D),(D),(B),--
..Dutch,150,89,(D),(D)
..Afrikaans,70,67,(D),(D)
.Scandinavian languages,523,192,24,29
..Swedish,235,126,(D),(D)
..Danish,165,145,(B),--
..Norwegian,110,82,(D),(D)
..Icelandic,(D),(D),(B),--
.Greek,"1,976",501,350,138
.Russian,"1,719",369,773,194
.Polish,"2,149",428,641,181
.Serbo-Croatian languages,294,212,37,42
..Serbocroatian,155,151,(D),(D)
..Croatian,100,153,(B),--
..Serbian,(D),(D),(D),(D)
.Other Slavic languages,489,178,135,97
..Ukrainian,305,162,120,95
..Czech,(D),(D),(B),--
..Slovak,40,40,(B),--
..Bulgarian,105,65,(D),(D)
..Slovene,(D),(D),(B),--
.Armenian,"1,048",291,153,67
.Persian,326,232,81,52
.Hindi,879,252,58,46
.Gujarati,479,281,181,118
.Urdu,461,205,160,114
.Other Indic languages,"1,736",540,672,417
..India n.e.c.3,370,223,15,17
..Bengali,500,204,185,119
..Panjabi,(D),(D),(B),--
..Marathi,135,102,(D),(D)
..Rajasthani,(D),(D),(B),--
..Oriya,50,57,(D),(D)
..Nepali,575,415,350,330
..Sindhi,85,129,(D),(D)
..Romany,(D),(D),(D),(D)
.Other Indo-European languages,835,209,195,110
..Jamaican Creole,85,111,(D),(D)
..Krio,(D),(D),(B),--
..Catalonian,(D),(D),(B),--
..Romanian,225,154,75,69
..Irish Gaelic,55,42,(D),(D)
..Scottic Gaelic,(D),(D),(B),--
..Albanian,60,43,(D),(D)
..Lithuanian,160,110,(D),(D)
..Latvian,120,63,(D),(D)
..Pashto,75,95,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,"21,246",978,"10,505",722
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)","6,073",714,"3,353",529
..Chinese,"4,490",635,"2,720",458
..Hakka,(D),(D),(D),(D)
..Cantonese,535,193,205,108
..Mandarin,860,305,305,153
..Formosan,160,171,110,123
.Japanese,498,175,188,95
.Korean,"1,114",300,568,203
".Mon-Khmer, Cambodian","4,287",789,"2,143",411
.Hmong,666,292,301,152
.Thai,522,194,182,71
.Laotian,"3,172",626,"1,540",362
.Vietnamese,"1,067",420,593,259
.Other Asian languages,"1,480",408,635,291
..Kazakh,75,75,(D),(D)
..Turkish,400,219,195,159
..Mongolian,(D),(D),(D),(D)
..Telugu,110,75,(B),--
..Kannada,(D),(D),(B),--
..Malayalam,175,115,(B),--
..Tamil,475,256,245,211
..Tibetan,80,123,(D),(D)
..Burmese,120,124,95,100
.Tagalog,"2,151",473,943,328
.Other Pacific Island languages,216,111,59,53
..Indonesian,135,86,(D),(D)
..Malay,(D),(D),(B),--
..Bisayan,40,67,30,48
..Sebuano,(D),(D),(B),--
..Ilocano,(D),(D),(B),--
..Pampangan,(D),(D),(D),(D)
..Polynesian,(D),(D),(D),(D)
..Hawaiian,(D),(D),(B),--
ALL OTHER LANGUAGES,"7,701",963,"2,578",519
.Navajo,9,17,(B),--
.Other Native North American languages,190,142,22,35
..Dakota,(D),(D),(D),(D)
..American Indian,175,137,(D),(D)
.Hungarian,161,111,65,64
.Arabic,"2,920",631,"1,083",321
.Hebrew,390,163,(B),--
.African languages,"3,658",566,"1,264",320
..Amharic,205,188,155,167
..Cushite,(D),(D),(B),--
..Swahili,85,77,(B),--
..Bantu,155,112,65,69
..Mande,235,184,110,97
..Fulani,465,240,95,73
"..Kru, Ibo, Yoruba","2,435",469,795,266
..Efik,(D),(D),(B),--
..African,60,50,(D),(D)
.Other and unspecified languages,373,143,144,94
..Finnish,75,60,(D),(D)
..Estonian,(D),(D),(D),(D)
..Caucasian,(D),(D),(D),(D)
..Basque,30,47,(B),--
..Syriac,110,94,(D),(D)
..Mayan languages,(D),(D),(D),(D)
..Uncodable,70,46,(D),(D)
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US44). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
