Table with column headers in row 5 and row headers in column A,,,,
Table 41. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for South Carolina:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,4381360.00,491.00,128257.00,3036.00
Speak only English at home,4081441.00,4001.00,(X),(X)
Speak a language other than English at home,299919.00,4050.00,128257.00,3036.00
SPANISH AND SPANISH CREOLE,195871.00,2714.00,93640.00,2489.00
..Spanish,195870.00,2714.00,93640.00,2489.00
OTHER INDO-EUROPEAN LANGUAGES,58517.00,2613.00,14487.00,1328.00
".French (incl. Patois, Cajun)",11208.00,1003.00,2207.00,385.00
..French,11035.00,987.00,2185.00,382.00
..Patois,150.00,87.00,20.00,24.00
..Cajun,(D),(D),(B),--
.French Creole,510.00,164.00,86.00,69.00
.Italian,2752.00,398.00,538.00,177.00
.Portuguese (incl. Portuguese Creole),3456.00,758.00,1479.00,509.00
..Portuguese,3455.00,758.00,1480.00,509.00
.German (incl. Luxembourgian),12662.00,894.00,1837.00,289.00
..German,12660.00,894.00,1835.00,289.00
.Yiddish,93.00,74.00,5.00,9.00
.Other West Germanic languages,1241.00,273.00,115.00,70.00
..Pennsylvania Dutch,140.00,133.00,(D),(D)
..Dutch,870.00,234.00,75.00,56.00
..Afrikaans,230.00,126.00,(D),(D)
.Scandinavian languages,922.00,261.00,39.00,35.00
..Swedish,475.00,209.00,20.00,20.00
..Danish,195.00,134.00,(D),(D)
..Norwegian,225.00,127.00,(B),--
..Icelandic,30.00,31.00,(B),--
.Greek,2252.00,458.00,561.00,199.00
.Russian,4307.00,702.00,1498.00,372.00
.Polish,1700.00,409.00,524.00,179.00
.Serbo-Croatian languages,713.00,380.00,34.00,38.00
..Serbocroatian,245.00,185.00,(D),(D)
..Croatian,130.00,117.00,(D),(D)
..Serbian,335.00,306.00,(D),(D)
.Other Slavic languages,3123.00,822.00,1338.00,462.00
..Bielorussian,155.00,177.00,55.00,63.00
..Ukrainian,1880.00,701.00,940.00,415.00
..Czech,355.00,162.00,85.00,82.00
..Slovak,140.00,79.00,65.00,47.00
..Bulgarian,445.00,307.00,165.00,144.00
..Macedonian,(D),(D),(B),--
..Slovene,90.00,78.00,(D),(D)
.Armenian,112.00,93.00,19.00,35.00
.Persian,762.00,295.00,387.00,168.00
.Hindi,2113.00,388.00,450.00,176.00
.Gujarati,4093.00,828.00,1282.00,383.00
.Urdu,1123.00,368.00,276.00,112.00
.Other Indic languages,2875.00,702.00,1070.00,368.00
..India n.e.c.3,710.00,354.00,245.00,133.00
..Bengali,670.00,378.00,190.00,188.00
..Panjabi,665.00,345.00,235.00,157.00
..Marathi,410.00,240.00,60.00,68.00
..Assamese,(D),(D),(B),--
..Nepali,270.00,224.00,265.00,223.00
..Sinhalese,125.00,86.00,75.00,66.00
..Romany,(D),(D),(B),--
.Other Indo-European languages,2500.00,615.00,742.00,381.00
..Jamaican Creole,320.00,308.00,210.00,292.00
..Krio,(D),(D),(B),--
..Pidgin,75.00,93.00,65.00,90.00
..Gullah,205.00,114.00,65.00,49.00
..Romanian,650.00,223.00,145.00,78.00
..Welsh,(D),(D),(B),--
..Irish Gaelic,160.00,92.00,(B),--
..Scottic Gaelic,(D),(D),(B),--
..Albanian,220.00,151.00,145.00,113.00
..Lithuanian,460.00,327.00,35.00,35.00
..Latvian,90.00,74.00,(D),(D)
..Kurdish,250.00,262.00,75.00,92.00
ASIAN AND PACIFIC ISLAND LANGUAGES,37263.00,1208.00,17283.00,956.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",9812.00,1015.00,5283.00,719.00
..Chinese,7895.00,939.00,4250.00,635.00
..Hakka,(D),(D),(B),--
..Cantonese,375.00,199.00,205.00,129.00
..Mandarin,1480.00,455.00,785.00,298.00
..Formosan,60.00,63.00,45.00,58.00
.Japanese,2824.00,464.00,1229.00,286.00
.Korean,4239.00,582.00,2272.00,369.00
".Mon-Khmer, Cambodian",1227.00,408.00,561.00,221.00
.Hmong,1097.00,345.00,314.00,160.00
.Thai,909.00,272.00,371.00,110.00
.Laotian,833.00,265.00,451.00,170.00
.Vietnamese,5693.00,668.00,3661.00,481.00
.Other Asian languages,3291.00,643.00,838.00,286.00
..Uighur,10.00,27.00,10.00,27.00
..Azerbaijani,(D),(D),(B),--
..Turkish,550.00,283.00,170.00,115.00
..Tungus,(D),(D),(D),(D)
..Dravidian,(D),(D),(B),--
..Telugu,940.00,316.00,190.00,114.00
..Kannada,95.00,64.00,(B),--
..Malayalam,725.00,358.00,70.00,69.00
..Tamil,550.00,232.00,150.00,112.00
..Burmese,205.00,176.00,175.00,166.00
..Karen,65.00,101.00,60.00,90.00
..Mien,50.00,46.00,(B),--
.Tagalog,6269.00,616.00,1977.00,329.00
.Other Pacific Island languages,1069.00,368.00,326.00,148.00
..Indonesian,135.00,110.00,85.00,100.00
..Malay,45.00,56.00,(B),--
..Bisayan,110.00,76.00,35.00,50.00
..Sebuano,60.00,55.00,(D),(D)
..Pangasinan,(D),(D),(B),--
..Ilocano,40.00,42.00,(B),--
..Pampangan,(D),(D),(D),(D)
..Micronesian,120.00,86.00,85.00,78.00
..Chamorro,130.00,115.00,(B),--
..Palau,(D),(D),(D),(D)
..Ponapean,260.00,281.00,40.00,46.00
..Samoan,70.00,41.00,15.00,18.00
..Tongan,(D),(D),(B),--
..Hawaiian,(D),(D),(B),--
ALL OTHER LANGUAGES,8268.00,917.00,2847.00,590.00
.Navajo,6.00,12.00,6.00,12.00
.Other Native North American languages,148.00,65.00,23.00,25.00
..Arapaho,(D),(D),(D),(D)
..Ottawa,(D),(D),(B),--
..Apache,30.00,27.00,(D),(D)
..Nez Perce,(D),(D),(B),--
..Dakota,10.00,13.00,(B),--
..Muskogee,(D),(D),(B),--
..Cherokee,45.00,30.00,(B),--
..Tiwa,(D),(D),(B),--
..American Indian,(D),(D),(B),--
.Hungarian,593.00,216.00,119.00,77.00
.Arabic,4084.00,655.00,1631.00,363.00
.Hebrew,697.00,369.00,158.00,138.00
.African languages,2073.00,536.00,791.00,400.00
..Amharic,300.00,210.00,185.00,119.00
..Chadic,45.00,39.00,30.00,28.00
..Cushite,230.00,355.00,230.00,355.00
..Nilo-Saharan,65.00,112.00,65.00,112.00
..Swahili,430.00,181.00,130.00,113.00
..Bantu,145.00,93.00,30.00,38.00
..Mande,(D),(D),(D),(D)
..Fulani,105.00,76.00,65.00,66.00
"..Kru, Ibo, Yoruba",725.00,292.00,45.00,32.00
..Efik,(D),(D),(B),--
.Other and unspecified languages,667.00,193.00,119.00,97.00
..Finnish,255.00,137.00,(D),(D)
..Estonian,(D),(D),(B),--
..Caucasian,(D),(D),(B),--
..Aztecan,(D),(D),(D),(D)
..Mayan languages,75.00,87.00,75.00,87.00
..Quechua,(D),(D),(B),--
..Tupi-Guarani,(D),(D),(D),(D)
..Uncodable,255.00,114.00,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US45). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
