Table with column headers in row 5 and row headers in column A,,,,
Table 42. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for South Dakota:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,"766,263",287,"16,389",957
Speak only English at home,"714,184","1,560",(X),(X)
Speak a language other than English at home,"52,079","1,500","16,389",957
SPANISH AND SPANISH CREOLE,"16,214",767,"6,451",605
..Spanish,"16,215",767,"6,450",605
OTHER INDO-EUROPEAN LANGUAGES,"14,052","1,046","3,387",554
".French (incl. Patois, Cajun)",995,283,202,147
..French,975,285,200,147
..Patois,(D),(D),(B),--
.French Creole,9,13,(B),--
.Italian,267,154,(B),--
.Portuguese (incl. Portuguese Creole),219,87,28,24
..Portuguese,220,87,30,24
.German (incl. Luxembourgian),"7,691",601,"1,353",275
..German,"7,690",601,"1,355",275
.Yiddish,18,23,7,11
.Other West Germanic languages,322,104,51,33
..Pennsylvania Dutch,10,17,(B),--
..Dutch,240,95,25,19
..Afrikaans,65,38,25,21
..Frisian,(D),(D),(D),(D)
.Scandinavian languages,598,127,107,52
..Swedish,95,59,20,25
..Danish,90,45,4,6
..Norwegian,415,114,80,45
.Greek,48,37,43,38
.Russian,885,252,247,119
.Polish,68,39,4,8
.Serbo-Croatian languages,676,363,369,255
..Serbocroatian,585,361,325,252
..Croatian,30,40,30,40
..Serbian,60,82,(D),(D)
.Other Slavic languages,"1,002",337,317,218
..Ukrainian,600,321,235,212
..Czech,400,102,80,54
..Slovak,(D),(D),(B),--
.Armenian,65,60,(B),--
.Persian,17,25,17,25
.Hindi,253,137,36,42
.Gujarati,100,100,73,95
.Urdu,65,90,18,24
.Other Indic languages,601,327,407,221
..India n.e.c.3,(D),(D),(B),--
..Bengali,30,43,(D),(D)
..Panjabi,45,71,(D),(D)
..Nepali,480,295,370,215
.Other Indo-European languages,153,124,108,119
..Jamaican Creole,(D),(D),(B),--
..Romanian,50,44,(D),(D)
..Irish Gaelic,(D),(D),(B),--
..Scottic Gaelic,(D),(D),(B),--
..Pashto,75,112,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,"5,650",545,"3,104",477
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)","1,327",384,640,308
..Chinese,"1,245",381,630,307
..Cantonese,65,56,(D),(D)
..Mandarin,20,20,(D),(D)
.Japanese,288,145,105,76
.Korean,600,201,240,100
".Mon-Khmer, Cambodian",201,164,162,157
.Hmong,54,65,17,30
.Thai,224,137,76,54
.Laotian,263,163,165,116
.Vietnamese,723,279,517,228
.Other Asian languages,"1,238",239,904,257
..Turkish,(D),(D),(B),--
..Telugu,105,75,(D),(D)
..Malayalam,25,32,(D),(D)
..Tamil,170,100,55,55
..Burmese,90,83,90,83
..Karen,845,198,750,235
.Tagalog,534,165,147,58
.Other Pacific Island languages,198,98,131,84
..Indonesian,25,31,25,31
..Malay,4,11,4,11
..Bisayan,(D),(D),(D),(D)
..Sebuano,(D),(D),(D),(D)
..Ilocano,(D),(D),(D),(D)
..Chamorro,55,54,(D),(D)
..Samoan,(D),(D),(D),(D)
..Maori,(D),(D),(B),--
..Hawaiian,45,49,(D),(D)
ALL OTHER LANGUAGES,"16,163",934,"3,447",494
.Navajo,110,58,10,10
