Table with column headers in row 5 and row headers in column A,,,,
Table 43. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Tennessee:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,5998956.00,708.00,168938.00,3389.00
Speak only English at home,5601411.00,4691.00,(X),(X)
Speak a language other than English at home,397545.00,4711.00,168938.00,3389.00
SPANISH AND SPANISH CREOLE,232394.00,3228.00,110114.00,2531.00
..Spanish,232395.00,3228.00,110115.00,2531.00
OTHER INDO-EUROPEAN LANGUAGES,73653.00,2636.00,18961.00,1495.00
".French (incl. Patois, Cajun)",11974.00,997.00,2641.00,414.00
..French,11750.00,989.00,2615.00,412.00
..Patois,130.00,160.00,(D),(D)
..Cajun,90.00,49.00,(D),(D)
.French Creole,1710.00,649.00,356.00,181.00
.Italian,2482.00,370.00,412.00,141.00
.Portuguese (incl. Portuguese Creole),2317.00,443.00,661.00,269.00
..Portuguese,2315.00,443.00,660.00,269.00
.German (incl. Luxembourgian),13920.00,1154.00,1872.00,331.00
..German,13920.00,1154.00,1870.00,331.00
.Yiddish,45.00,42.00,(B),--
.Other West Germanic languages,3117.00,670.00,378.00,183.00
..Pennsylvania Dutch,1170.00,540.00,195.00,164.00
..Dutch,1290.00,369.00,150.00,106.00
..Afrikaans,660.00,275.00,30.00,36.00
.Scandinavian languages,926.00,219.00,105.00,55.00
..Swedish,450.00,182.00,50.00,41.00
..Danish,125.00,82.00,(D),(D)
..Norwegian,255.00,120.00,(D),(D)
..Icelandic,95.00,71.00,25.00,40.00
.Greek,898.00,237.00,145.00,75.00
.Russian,4004.00,640.00,1392.00,354.00
.Polish,1294.00,274.00,438.00,151.00
.Serbo-Croatian languages,2490.00,498.00,917.00,282.00
..Serbocroatian,1715.00,449.00,770.00,275.00
..Croatian,320.00,145.00,40.00,43.00
..Serbian,455.00,213.00,110.00,96.00
.Other Slavic languages,1737.00,487.00,595.00,239.00
..Ukrainian,975.00,399.00,435.00,222.00
..Czech,435.00,293.00,75.00,78.00
..Slovak,155.00,121.00,(D),(D)
..Bulgarian,150.00,81.00,(D),(D)
..Macedonian,(D),(D),(B),--
..Slovene,15.00,17.00,(B),--
.Armenian,250.00,191.00,135.00,120.00
.Persian,2935.00,684.00,1109.00,463.00
.Hindi,5122.00,714.00,1233.00,371.00
.Gujarati,4454.00,814.00,1622.00,417.00
.Urdu,1712.00,535.00,337.00,151.00
.Other Indic languages,6682.00,978.00,2658.00,613.00
..India n.e.c.3,1470.00,501.00,785.00,331.00
..Bengali,1810.00,485.00,420.00,150.00
..Panjabi,800.00,264.00,260.00,137.00
