Table with column headers in row 5 and row headers in column A,,,,
Table 44. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Texas:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,23704400.00,783.00,3374551.00,14695.00
Speak only English at home,15471149.00,15635.00,(X),(X)
Speak a language other than English at home,8233251.00,15504.00,3374551.00,14695.00
SPANISH AND SPANISH CREOLE,6983384.00,15508.00,2926515.00,13992.00
..Spanish,6983380.00,15508.00,2926515.00,13992.00
..Ladino,(D),(D),(B),--
OTHER INDO-EUROPEAN LANGUAGES,481755.00,7420.00,122003.00,3595.00
".French (incl. Patois, Cajun)",62487.00,2286.00,12728.00,947.00
..French,60730.00,2226.00,12410.00,916.00
..Patois,595.00,249.00,135.00,88.00
..Cajun,1165.00,237.00,185.00,83.00
.French Creole,6027.00,802.00,1611.00,426.00
.Italian,11386.00,1040.00,2316.00,405.00
.Portuguese (incl. Portuguese Creole),19762.00,1476.00,4929.00,753.00
..Portuguese,19695.00,1476.00,4920.00,754.00
..Papia Mentae,65.00,57.00,(D),(D)
.German (incl. Luxembourgian),69214.00,2338.00,11204.00,758.00
..German,69140.00,2340.00,11205.00,758.00
..Luxembourgian,75.00,84.00,(B),--
.Yiddish,231.00,104.00,16.00,20.00
.Other West Germanic languages,7628.00,899.00,621.00,165.00
..Pennsylvania Dutch,230.00,168.00,(D),(D)
..Dutch,5395.00,781.00,510.00,153.00
..Afrikaans,2000.00,404.00,100.00,79.00
.Scandinavian languages,6568.00,878.00,792.00,255.00
..Swedish,2900.00,442.00,160.00,70.00
..Danish,1535.00,431.00,250.00,168.00
..Norwegian,2010.00,466.00,345.00,166.00
..Icelandic,120.00,99.00,(D),(D)
.Greek,6615.00,751.00,1294.00,258.00
.Russian,20630.00,1726.00,6663.00,724.00
.Polish,8276.00,822.00,2124.00,386.00
.Serbo-Croatian languages,7897.00,1062.00,2526.00,466.00
..Serbocroatian,4530.00,775.00,1650.00,347.00
..Croatian,1175.00,401.00,340.00,170.00
..Serbian,2190.00,598.00,540.00,209.00
.Other Slavic languages,11300.00,1114.00,2313.00,398.00
..Ukrainian,1940.00,703.00,665.00,235.00
..Czech,6830.00,544.00,1020.00,189.00
..Slovak,420.00,192.00,110.00,65.00
..Bulgarian,1840.00,611.00,480.00,216.00
..Macedonian,130.00,98.00,(D),(D)
..Slovene,135.00,84.00,(D),(D)
.Armenian,1439.00,520.00,530.00,249.00
.Persian,26231.00,1864.00,10405.00,1156.00
.Hindi,59602.00,2942.00,12165.00,1266.00
.Gujarati,30317.00,2452.00,9748.00,1159.00
.Urdu,57662.00,3831.00,16515.00,1701.00
.Other Indic languages,53177.00,2586.00,18427.00,1568.00
..India n.e.c.3,5150.00,951.00,1450.00,380.00
..Bengali,16330.00,1618.00,5225.00,769.00
..Panjabi,7735.00,1202.00,2720.00,644.00
..Marathi,6290.00,1012.00,930.00,300.00
..Bihari,55.00,62.00,(D),(D)
..Rajasthani,195.00,280.00,4.00,19.00
