Table with column headers in row 5 and row headers in column A,,,,
Table 45. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Utah:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,2554331.00,302.00,133359.00,3263.00
Speak only English at home,2187829.00,3995.00,(X),(X)
Speak a language other than English at home,366502.00,3974.00,133359.00,3263.00
SPANISH AND SPANISH CREOLE,245947.00,3330.00,97348.00,2729.00
..Spanish,245945.00,3330.00,97350.00,2729.00
OTHER INDO-EUROPEAN LANGUAGES,50295.00,1996.00,11549.00,849.00
".French (incl. Patois, Cajun)",6661.00,629.00,1004.00,225.00
..French,6645.00,630.00,1005.00,225.00
..Patois,(D),(D),(B),--
..Cajun,(D),(D),(B),--
.French Creole,407.00,230.00,83.00,92.00
.Italian,3064.00,701.00,411.00,148.00
.Portuguese (incl. Portuguese Creole),7151.00,748.00,1213.00,230.00
..Portuguese,7150.00,748.00,1215.00,230.00
.German (incl. Luxembourgian),9023.00,647.00,1208.00,251.00
..German,9025.00,647.00,1210.00,251.00
.Yiddish,3.00,5.00,(B),--
.Other West Germanic languages,2015.00,393.00,248.00,103.00
..Pennsylvania Dutch,95.00,127.00,(B),--
..Dutch,1735.00,372.00,225.00,102.00
..Afrikaans,170.00,81.00,(D),(D)
..Frisian,(D),(D),(D),(D)
.Scandinavian languages,2520.00,459.00,342.00,115.00
..Swedish,895.00,256.00,115.00,68.00
..Danish,800.00,315.00,90.00,59.00
..Norwegian,825.00,192.00,135.00,67.00
.Greek,1012.00,235.00,182.00,77.00
.Russian,4118.00,574.00,1275.00,262.00
.Polish,937.00,427.00,198.00,106.00
.Serbo-Croatian languages,3842.00,618.00,1711.00,303.00
..Serbocroatian,3030.00,582.00,1330.00,284.00
..Croatian,200.00,122.00,105.00,82.00
..Serbian,615.00,325.00,275.00,165.00
.Other Slavic languages,1272.00,405.00,308.00,154.00
..Ukrainian,205.00,99.00,105.00,67.00
..Czech,405.00,305.00,110.00,103.00
..Slovak,275.00,218.00,(B),--
..Bulgarian,360.00,155.00,85.00,65.00
..Slovene,30.00,27.00,(D),(D)
.Armenian,609.00,325.00,197.00,128.00
.Persian,1310.00,369.00,539.00,198.00
.Hindi,1127.00,307.00,193.00,111.00
.Gujarati,333.00,173.00,103.00,104.00
.Urdu,547.00,249.00,169.00,115.00
.Other Indic languages,3245.00,800.00,1756.00,529.00
..India n.e.c.3,110.00,93.00,(D),(D)
..Bengali,350.00,220.00,30.00,30.00
..Panjabi,590.00,261.00,240.00,127.00
..Marathi,155.00,101.00,(D),(D)
..Nepali,1985.00,678.00,1405.00,487.00
..Pakistan n.e.c.3,45.00,70.00,35.00,51.00
..Sinhalese,(D),(D),(B),--
.Other Indo-European languages,1099.00,269.00,409.00,179.00
..Jamaican Creole,30.00,42.00,(B),--
..Pidgin,(D),(D),(B),--
..Catalonian,(D),(D),(B),--
..Romanian,470.00,173.00,120.00,90.00
..Irish Gaelic,40.00,32.00,(D),(D)
..Scottic Gaelic,(D),(D),(B),--
..Albanian,215.00,176.00,120.00,118.00
..Lithuanian,85.00,68.00,(D),(D)
..Latvian,35.00,30.00,(B),--
..Pashto,(D),(D),(B),--
..Kurdish,175.00,125.00,120.00,94.00
ASIAN AND PACIFIC ISLAND LANGUAGES,52584.00,1864.00,20447.00,1002.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",11451.00,992.00,5547.00,510.00
..Chinese,7625.00,857.00,4145.00,526.00
..Hakka,55.00,59.00,45.00,47.00
..Cantonese,1350.00,360.00,570.00,185.00
..Mandarin,2100.00,468.00,570.00,144.00
..Formosan,295.00,128.00,190.00,93.00
..Wu,(D),(D),(D),(D)
.Japanese,4375.00,577.00,1098.00,256.00
.Korean,4614.00,659.00,1903.00,357.00
".Mon-Khmer, Cambodian",1841.00,510.00,1005.00,307.00
.Hmong,315.00,146.00,174.00,118.00
.Thai,1137.00,329.00,434.00,167.00
.Laotian,1400.00,432.00,731.00,269.00
.Vietnamese,6355.00,945.00,3788.00,629.00
.Other Asian languages,3415.00,714.00,1632.00,530.00
..Turkish,500.00,224.00,305.00,183.00
..Turkmen,(D),(D),(B),--
..Mongolian,185.00,104.00,70.00,51.00
..Telugu,580.00,185.00,135.00,85.00
..Kannada,160.00,157.00,(D),(D)
..Malayalam,150.00,135.00,(D),(D)
..Tamil,565.00,244.00,145.00,159.00
..Tibetan,255.00,243.00,150.00,167.00
..Burmese,610.00,478.00,490.00,384.00
..Karen,400.00,254.00,330.00,230.00
.Tagalog,4309.00,532.00,1297.00,287.00
.Other Pacific Island languages,13372.00,944.00,2838.00,438.00
..Indonesian,230.00,119.00,60.00,64.00
..Malagasy,(D),(D),(B),--
..Malay,85.00,79.00,(D),(D)
..Sundanese,(D),(D),(D),(D)
..Bisayan,220.00,145.00,95.00,83.00
..Sebuano,420.00,230.00,(D),(D)
..Ilocano,(D),(D),(B),--
..Micronesian,60.00,39.00,(B),--
..Chamorro,45.00,43.00,30.00,33.00
..Gilbertese,(D),(D),(B),--
..Marshallese,540.00,477.00,50.00,59.00
..Mokilese,20.00,25.00,(B),--
..Palau,30.00,34.00,(B),--
..Ponapean,170.00,150.00,30.00,34.00
..Trukese,160.00,133.00,90.00,79.00
..Yapese,70.00,64.00,(B),--
..Samoan,4915.00,837.00,1035.00,271.00
..Tongan,6080.00,901.00,1330.00,308.00
..Niuean,(D),(D),(B),--
..Fijian,95.00,63.00,(B),--
..Rarotongan,(D),(D),(B),--
..Maori,30.00,34.00,(D),(D)
..Hawaiian,95.00,94.00,(D),(D)
ALL OTHER LANGUAGES,17676.00,1138.00,4015.00,692.00
.Navajo,8193.00,562.00,1288.00,239.00
.Other Native North American languages,1797.00,261.00,115.00,61.00
..Aleut,(D),(D),(B),--
..Yupik,(D),(D),(D),(D)
..Blackfoot,(D),(D),(B),--
..Cheyenne,(D),(D),(B),--
..Cree,(D),(D),(B),--
..Apache,(D),(D),(B),--
..Nez Perce,(D),(D),(B),--
..Crow,(D),(D),(B),--
..Hidatsa,(D),(D),(B),--
..Dakota,125.00,82.00,25.00,24.00
..Choctaw,(D),(D),(B),--
..Keres,(D),(D),(B),--
..Comanche,(D),(D),(B),--
..Paiute,205.00,130.00,15.00,15.00
..Ute,1035.00,220.00,70.00,50.00
..Shoshoni,95.00,91.00,(B),--
..Hopi,(D),(D),(B),--
..Tewa,65.00,52.00,(B),--
..Zuni,(D),(D),(B),--
..American Indian,20.00,24.00,(D),(D)
.Hungarian,314.00,185.00,25.00,23.00
