Table with column headers in row 5 and row headers in column A,,,,
Table 46. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Vermont:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,594667.00,189.00,8754.00,627.00
Speak only English at home,563632.00,1174.00,(X),(X)
Speak a language other than English at home,31035.00,1173.00,8754.00,627.00
SPANISH AND SPANISH CREOLE,6179.00,494.00,1473.00,272.00
..Spanish,6180.00,494.00,1475.00,272.00
OTHER INDO-EUROPEAN LANGUAGES,18349.00,1014.00,4215.00,467.00
".French (incl. Patois, Cajun)",9324.00,685.00,1806.00,307.00
..French,9310.00,687.00,1805.00,307.00
..Patois,15.00,29.00,(B),--
.French Creole,19.00,15.00,(B),--
.Italian,712.00,161.00,124.00,67.00
.Portuguese (incl. Portuguese Creole),342.00,107.00,118.00,87.00
..Portuguese,340.00,107.00,120.00,87.00
.German (incl. Luxembourgian),2180.00,344.00,307.00,89.00
..German,2180.00,344.00,305.00,89.00
.Yiddish,71.00,55.00,2.00,3.00
.Other West Germanic languages,487.00,152.00,48.00,41.00
..Dutch,375.00,113.00,50.00,41.00
..Afrikaans,105.00,100.00,(B),--
..Frisian,10.00,8.00,(B),--
.Scandinavian languages,335.00,130.00,21.00,14.00
..Swedish,135.00,80.00,(D),(D)
..Danish,65.00,35.00,(D),(D)
..Norwegian,135.00,83.00,(D),(D)
.Greek,189.00,90.00,6.00,6.00
.Russian,672.00,204.00,168.00,95.00
.Polish,706.00,190.00,103.00,59.00
.Serbo-Croatian languages,1196.00,365.00,572.00,190.00
..Serbocroatian,1015.00,348.00,455.00,175.00
..Croatian,25.00,18.00,(D),(D)
..Serbian,160.00,118.00,110.00,91.00
.Other Slavic languages,159.00,78.00,29.00,20.00
..Ukrainian,15.00,12.00,(D),(D)
..Czech,60.00,34.00,20.00,18.00
..Slovak,55.00,66.00,(D),(D)
..Bulgarian,10.00,11.00,(B),--
..Slovene,20.00,19.00,(B),--
.Armenian,43.00,47.00,(B),--
.Persian,75.00,44.00,9.00,16.00
.Hindi,123.00,79.00,4.00,8.00
.Gujarati,165.00,106.00,41.00,47.00
.Urdu,100.00,82.00,44.00,59.00
.Other Indic languages,992.00,359.00,641.00,241.00
..India n.e.c.3,(D),(D),(B),--
..Bengali,100.00,144.00,65.00,96.00
..Panjabi,(D),(D),(B),--
..Marathi,75.00,56.00,(D),(D)
..Nepali,790.00,340.00,570.00,238.00
..Sinhalese,(D),(D),(B),--
.Other Indo-European languages,459.00,140.00,172.00,102.00
..Jamaican Creole,40.00,38.00,25.00,26.00
..Krio,4.00,4.00,4.00,4.00
..Romanian,265.00,122.00,85.00,82.00
..Welsh,10.00,8.00,(B),--
..Irish Gaelic,45.00,47.00,(D),(D)
..Albanian,50.00,50.00,(D),(D)
..Lithuanian,25.00,18.00,(B),--
..Latvian,(D),(D),(B),--
..Pashto,10.00,13.00,(B),--
ASIAN AND PACIFIC ISLAND LANGUAGES,4808.00,470.00,2439.00,368.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",1467.00,335.00,791.00,225.00
..Chinese,1110.00,291.00,650.00,208.00
..Cantonese,40.00,28.00,(B),--
..Mandarin,320.00,142.00,140.00,86.00
..Formosan,(D),(D),(B),--
.Japanese,288.00,116.00,121.00,73.00
.Korean,436.00,177.00,114.00,70.00
".Mon-Khmer, Cambodian",4.00,6.00,(B),--
.Thai,142.00,69.00,123.00,69.00
.Laotian,188.00,120.00,96.00,73.00
.Vietnamese,1233.00,381.00,752.00,257.00
.Other Asian languages,507.00,255.00,301.00,189.00
..Uighur,95.00,112.00,70.00,76.00
..Turkish,50.00,43.00,20.00,25.00
..Mongolian,(D),(D),(D),(D)
..Telugu,(D),(D),(B),--
..Kannada,(D),(D),(B),--
..Malayalam,85.00,73.00,50.00,50.00
..Tamil,35.00,38.00,(D),(D)
..Tibetan,105.00,129.00,30.00,48.00
..Burmese,65.00,89.00,65.00,89.00
..Karen,55.00,93.00,55.00,93.00
.Tagalog,486.00,201.00,131.00,94.00
.Other Pacific Island languages,57.00,37.00,10.00,16.00
..Indonesian,35.00,30.00,(B),--
..Bisayan,(D),(D),(B),--
..Sebuano,(D),(D),(D),(D)
..Ilocano,(D),(D),(B),--
..Marshallese,(D),(D),(D),(D)
..Hawaiian,(D),(D),(B),--
ALL OTHER LANGUAGES,1699.00,457.00,627.00,285.00
.Navajo,4.00,9.00,(B),--
.Other Native North American languages,61.00,53.00,35.00,42.00
..Abnaki,4.00,6.00,(B),--
..Dakota,(D),(D),(B),--
..Winnebago,(D),(D),(D),(D)
..Muskogee,(D),(D),(B),--
..American Indian,(D),(D),(D),(D)
.Hungarian,55.00,36.00,4.00,5.00
.Arabic,465.00,290.00,168.00,176.00
.Hebrew,125.00,68.00,29.00,47.00
.African languages,790.00,289.00,380.00,186.00
..Amharic,45.00,39.00,(D),(D)
..Chadic,10.00,9.00,(B),--
..Cushite,500.00,303.00,275.00,171.00
..Swahili,30.00,24.00,(D),(D)
..Bantu,70.00,83.00,60.00,83.00
..Fulani,(D),(D),(B),--
"..Kru, Ibo, Yoruba",130.00,91.00,30.00,27.00
.Other and unspecified languages,199.00,81.00,11.00,16.00
..Finnish,65.00,39.00,(B),--
..Estonian,15.00,14.00,(B),--
..Caucasian,(D),(D),(B),--
..Syriac,30.00,47.00,(D),(D)
..Uncodable,70.00,42.00,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US50). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
#NAME?,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
