Table with column headers in row 5 and row headers in column A,,,,
Table 48. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Washington:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,6378045.00,328.00,500051.00,5477.00
Speak only English at home,5195196.00,8836.00,(X),(X)
Speak a language other than English at home,1182849.00,8774.00,500051.00,5477.00
SPANISH AND SPANISH CREOLE,521751.00,5449.00,232157.00,3812.00
..Spanish,521720.00,5446.00,232155.00,3812.00
..Ladino,30.00,32.00,(B),--
OTHER INDO-EUROPEAN LANGUAGES,242048.00,5642.00,76091.00,2982.00
".French (incl. Patois, Cajun)",22927.00,1311.00,3503.00,483.00
..French,22710.00,1301.00,3480.00,480.00
..Patois,170.00,147.00,(D),(D)
..Cajun,50.00,44.00,(D),(D)
.French Creole,767.00,246.00,322.00,149.00
.Italian,6624.00,741.00,1116.00,219.00
.Portuguese (incl. Portuguese Creole),5289.00,779.00,1264.00,407.00
..Portuguese,5290.00,779.00,1265.00,407.00
.German (incl. Luxembourgian),32474.00,1502.00,4304.00,506.00
..German,32475.00,1502.00,4305.00,506.00
.Yiddish,198.00,100.00,(B),--
.Other West Germanic languages,4036.00,598.00,619.00,164.00
..Pennsylvania Dutch,55.00,71.00,(B),--
..Dutch,3420.00,504.00,520.00,158.00
..Afrikaans,545.00,273.00,85.00,85.00
..Frisian,15.00,16.00,(D),(D)
.Scandinavian languages,8496.00,789.00,791.00,204.00
..Swedish,3475.00,583.00,185.00,73.00
..Danish,1240.00,386.00,100.00,68.00
..Norwegian,3390.00,422.00,510.00,165.00
..Icelandic,390.00,149.00,(B),--
.Greek,3015.00,577.00,714.00,225.00
.Russian,56537.00,2888.00,26219.00,1775.00
.Polish,4818.00,673.00,1396.00,301.00
.Serbo-Croatian languages,5259.00,878.00,1723.00,329.00
..Serbocroatian,3515.00,757.00,1245.00,284.00
..Croatian,1000.00,282.00,235.00,128.00
..Serbian,745.00,253.00,240.00,118.00
.Other Slavic languages,26622.00,2342.00,13711.00,1406.00
..Bielorussian,165.00,109.00,85.00,75.00
..Ukrainian,22710.00,2171.00,12555.00,1337.00
..Czech,1270.00,307.00,330.00,132.00
..Slovak,445.00,182.00,115.00,87.00
..Bulgarian,1915.00,440.00,565.00,212.00
..Macedonian,70.00,65.00,(D),(D)
..Slovene,45.00,48.00,30.00,42.00
.Armenian,1170.00,318.00,466.00,175.00
.Persian,8599.00,1029.00,3250.00,546.00
.Hindi,15528.00,1360.00,2784.00,431.00
.Gujarati,2552.00,571.00,488.00,210.00
.Urdu,3398.00,745.00,667.00,230.00
.Other Indic languages,21706.00,1985.00,8852.00,1031.00
..India n.e.c.3,435.00,261.00,110.00,81.00
..Bengali,1515.00,446.00,290.00,122.00
..Panjabi,14265.00,1690.00,6145.00,900.00
..Marathi,2135.00,527.00,445.00,235.00
..Oriya,220.00,196.00,70.00,83.00
..Assamese,35.00,42.00,(B),--
..Kashmiri,25.00,35.00,(D),(D)
..Nepali,2385.00,669.00,1575.00,502.00
..Sindhi,120.00,77.00,(D),(D)
..Pakistan n.e.c.3,(D),(D),(B),--
..Sinhalese,390.00,199.00,80.00,56.00
..Romany,165.00,157.00,100.00,150.00
.Other Indo-European languages,12033.00,1512.00,3902.00,657.00
..Jamaican Creole,80.00,86.00,(D),(D)
..Krio,95.00,90.00,(D),(D)
..Pidgin,100.00,117.00,(B),--
..Catalonian,60.00,70.00,(B),--
..Romanian,8800.00,1468.00,3160.00,644.00
..Welsh,95.00,69.00,(D),(D)
..Irish Gaelic,505.00,172.00,80.00,49.00
..Scottic Gaelic,115.00,65.00,30.00,30.00
..Albanian,285.00,162.00,120.00,82.00
..Lithuanian,590.00,237.00,115.00,72.00
..Latvian,825.00,250.00,165.00,106.00
..Pashto,75.00,76.00,50.00,65.00
..Kurdish,410.00,284.00,140.00,93.00
ASIAN AND PACIFIC ISLAND LANGUAGES,355112.00,4293.00,166753.00,3118.00
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",81650.00,2491.00,42018.00,1812.00
..Chinese,52980.00,2225.00,27875.00,1356.00
