Table with column headers in row 5 and row headers in column A,,,,
Table 49. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for West Virginia:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,"1,750,012",361,"13,963",943
Speak only English at home,"1,707,752","1,652",(X),(X)
Speak a language other than English at home,"42,260","1,626","13,963",943
SPANISH AND SPANISH CREOLE,"18,308","1,022","6,787",675
..Spanish,"18,310","1,022","6,785",675
OTHER INDO-EUROPEAN LANGUAGES,"12,870",998,"2,861",413
".French (incl. Patois, Cajun)","3,145",408,823,203
..French,"3,105",407,825,203
..Patois,40,57,(B),--
.French Creole,8,11,2,3
.Italian,"1,380",235,274,127
.Portuguese (incl. Portuguese Creole),389,133,61,43
..Portuguese,380,132,60,43
..Papia Mentae,(D),(D),(B),--
.German (incl. Luxembourgian),"2,891",391,652,197
..German,"2,890",391,650,197
.Other West Germanic languages,340,181,(B),--
..Pennsylvania Dutch,165,157,(B),--
..Dutch,165,95,(B),--
..Afrikaans,(D),(D),(B),--
.Scandinavian languages,56,39,28,32
..Swedish,(D),(D),(B),--
..Danish,30,31,25,30
..Norwegian,(D),(D),(D),(D)
.Greek,405,122,67,38
.Russian,760,304,163,121
.Polish,369,142,46,40
.Serbo-Croatian languages,218,238,104,127
..Serbocroatian,165,233,80,124
..Croatian,30,27,(D),(D)
..Serbian,(D),(D),(D),(D)
.Other Slavic languages,294,145,36,29
..Bielorussian,(D),(D),(B),--
..Ukrainian,(D),(D),(B),--
..Czech,105,80,25,25
..Slovak,65,51,(B),--
..Bulgarian,85,88,(D),(D)
..Macedonian,(D),(D),(B),--
.Persian,356,179,69,71
.Hindi,366,133,49,46
.Gujarati,297,149,82,69
.Urdu,421,188,78,73
.Other Indic languages,"1,028",340,305,155
..India n.e.c.3,120,93,40,57
..Bengali,410,222,65,61
..Panjabi,90,110,(B),--
..Marathi,90,77,(D),(D)
..Nepali,305,154,165,115
..Sindhi,(D),(D),(B),--
..Sinhalese,(D),(D),(B),--
.Other Indo-European languages,147,63,22,21
..Jamaican Creole,20,16,(B),--
..Catalonian,(D),(D),(B),--
..Romanian,35,34,(D),(D)
..Welsh,(D),(D),(D),(D)
..Irish Gaelic,35,30,(B),--
..Scottic Gaelic,(D),(D),(B),--
..Lithuanian,(D),(D),(D),(D)
..Pashto,20,29,(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,"7,627",668,"3,359",438
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)","2,469",454,"1,308",301
..Chinese,"2,110",412,"1,165",282
..Cantonese,60,50,(D),(D)
..Mandarin,220,119,95,59
..Formosan,80,130,(D),(D)
.Japanese,605,178,391,155
.Korean,906,268,368,169
".Mon-Khmer, Cambodian",16,22,12,21
.Thai,469,183,156,89
.Laotian,61,50,35,43
.Vietnamese,870,329,527,245
.Other Asian languages,930,269,131,63
..Turkish,135,68,(D),(D)
..Telugu,455,205,65,47
..Kannada,55,68,(D),(D)
..Malayalam,130,94,(D),(D)
..Tamil,95,100,(B),--
..Burmese,55,50,20,20
.Tagalog,"1,087",266,314,139
.Other Pacific Island languages,214,107,117,96
..Indonesian,110,103,(D),(D)
..Malay,35,37,20,23
..Bisayan,20,23,(B),--
..Sebuano,(D),(D),(D),(D)
..Ilocano,(D),(D),(B),--
..Trukese,(D),(D),(D),(D)
..Samoan,(D),(D),(D),(D)
..Fijian,(D),(D),(B),--
..Hawaiian,(D),(D),(B),--
ALL OTHER LANGUAGES,"3,455",580,956,301
.Navajo,11,15,3,4
.Other Native North American languages,185,107,87,83
..French Cree,(D),(D),(B),--
..Shawnee,(D),(D),(D),(D)
..Dakota,(D),(D),(D),(D)
..Alabama,(D),(D),(B),--
..Mohawk,(D),(D),(D),(D)
..Cherokee,90,82,55,74
..American Indian,40,35,(B),--
.Hungarian,179,100,35,35
.Arabic,"1,867",456,629,243
.Hebrew,158,123,17,25
.African languages,800,260,122,87
..Amharic,205,155,90,79
..Chadic,30,28,(B),--
..Swahili,165,136,(B),--
..Bantu,40,39,(B),--
..Mande,(D),(D),(D),(D)
..Fulani,(D),(D),(B),--
"..Kru, Ibo, Yoruba",345,194,(D),(D)
.Other and unspecified languages,255,120,63,89
..Finnish,(D),(D),(D),(D)
..Estonian,(D),(D),(B),--
..Caucasian,(D),(D),(B),--
..Syriac,(D),(D),(B),--
..Arawakian,(D),(D),(B),--
..Uncodable,185,108,55,88
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US54). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
