Table with column headers in row 5 and row headers in column A,,,,
Table 51. Detailed Languages Spoken at Home and Ability to Speak English for the Population 5 Years and Over for Wyoming:  2009-2013,,,,
Release Date: October 2015,,,,
,,,,
,Number of speakers1,Margin of Error2,"Speak English less than ""Very Well""1",Margin of Error2
.Population 5 years and over,"530,725",407,"10,314",935
Speak only English at home,"494,556","1,587",(X),(X)
Speak a language other than English at home,"36,169","1,507","10,314",935
SPANISH AND SPANISH CREOLE,"25,529","1,273","8,202",833
..Spanish,"25,530","1,273","8,200",833
OTHER INDO-EUROPEAN LANGUAGES,"5,467",567,832,189
".French (incl. Patois, Cajun)","1,014",222,85,59
..French,"1,000",220,70,48
..Patois,15,24,15,24
.French Creole,3,6,(B),--
.Italian,256,97,84,64
.Portuguese (incl. Portuguese Creole),507,272,2,4
..Portuguese,505,272,(D),(D)
.German (incl. Luxembourgian),"1,633",276,227,92
..German,"1,635",276,225,92
.Other West Germanic languages,91,58,(B),--
..Pennsylvania Dutch,(D),(D),(B),--
..Dutch,70,56,(B),--
..Afrikaans,(D),(D),(B),--
.Scandinavian languages,192,88,19,32
..Swedish,45,46,(B),--
..Danish,50,31,(B),--
..Norwegian,45,43,(D),(D)
..Icelandic,55,54,(B),--
.Greek,267,123,82,69
.Russian,344,189,48,35
.Polish,106,65,14,23
.Serbo-Croatian languages,41,35,9,14
..Serbocroatian,15,17,(B),--
..Croatian,(D),(D),(D),(D)
..Serbian,(D),(D),(B),--
.Other Slavic languages,202,117,20,20
..Ukrainian,25,28,20,20
..Czech,(D),(D),(B),--
..Slovak,(D),(D),(B),--
..Bulgarian,110,97,(B),--
..Slovene,(D),(D),(B),--
.Persian,126,87,35,33
.Hindi,29,53,(B),--
.Gujarati,42,66,42,66
.Urdu,84,79,(B),--
.Other Indic languages,232,116,110,63
..India n.e.c.3,(D),(D),(B),--
..Bengali,35,32,(D),(D)
..Panjabi,(D),(D),(D),(D)
..Marathi,(D),(D),(D),(D)
..Nepali,90,88,55,57
..Romany,(D),(D),(B),--
.Other Indo-European languages,298,188,55,53
..Jamaican Creole,(D),(D),(B),--
..Pidgin,(D),(D),(B),--
..Romanian,185,166,(D),(D)
..Irish Gaelic,20,23,(D),(D)
..Albanian,(D),(D),(D),(D)
..Latvian,(D),(D),(D),(D)
ASIAN AND PACIFIC ISLAND LANGUAGES,"2,910",445,"1,109",353
".Chinese (incl. Cantonese, Mandarin, other Chinese languages4)",735,298,383,241
..Chinese,420,161,200,89
..Cantonese,(D),(D),(B),--
..Mandarin,280,263,185,232
..Formosan,(D),(D),(B),--
.Japanese,231,96,52,43
.Korean,343,166,152,95
.Hmong,30,45,30,45
.Thai,161,128,6,11
.Laotian,2,4,2,4
.Vietnamese,160,146,57,82
.Other Asian languages,248,132,61,55
..Kazakh,(D),(D),(B),--
..Turkish,70,64,(D),(D)
..Turkmen,(D),(D),(D),(D)
..Telugu,50,71,(D),(D)
..Kannada,(D),(D),(B),--
..Tamil,70,71,(D),(D)
..Munda,(D),(D),(B),--
..Tibetan,(D),(D),(D),(D)
..Burmese,(D),(D),(B),--
.Tagalog,624,207,216,109
.Other Pacific Island languages,376,183,150,121
..Indonesian,140,121,55,57
..Bisayan,10,10,(D),(D)
..Sebuano,85,108,(D),(D)
..Chamorro,20,31,(B),--
..Ponapean,(D),(D),(B),--
..Melanesian,(D),(D),(D),(D)
..Polynesian,(D),(D),(B),--
..Samoan,10,14,(B),--
..Tongan,10,15,(B),--
..Fijian,10,8,(D),(D)
..Hawaiian,50,90,(B),--
ALL OTHER LANGUAGES,"2,263",368,171,70
.Navajo,162,121,18,24
.Other Native North American languages,"1,480",263,35,20
..Aleut,(D),(D),(B),--
..Arapaho,795,196,15,12
..Blackfoot,(D),(D),(B),--
..Cheyenne,10,15,(B),--
..Cree,(D),(D),(B),--
..Ojibwa,25,22,(D),(D)
..Salish,(D),(D),(B),--
..Apache,(D),(D),(B),--
..Crow,25,19,(D),(D)
..Dakota,15,13,(B),--
..Osage,(D),(D),(B),--
..Seneca,(D),(D),(B),--
..Cherokee,25,33,(B),--
..Comanche,15,25,(D),(D)
..Northern Paiute,(D),(D),(B),--
..Shoshoni,415,142,(D),(D)
..Tewa,(D),(D),(D),(D)
..Towa,(D),(D),(B),--
..American Indian,60,73,(B),--
.Hungarian,76,66,9,15
.Arabic,116,100,10,17
.Hebrew,29,38,6,8
.African languages,320,189,89,55
..Amharic,65,58,40,36
..Swahili,65,68,(B),--
..Bantu,75,146,(B),--
"..Kru, Ibo, Yoruba",115,81,50,52
.Other and unspecified languages,80,49,4,7
..Finnish,20,16,(D),(D)
..Uncodable,60,45,(B),--
,,,,
"Notes:
1 Detailed-language estimates are rounded to the nearest multiple of five. Aggregate estimates (bold-face entries) are unrounded and appear in table B16001 (http://factfinder.census.gov/bkmk/table/1.0/en/ACS/13_5YR/B16001/0400000US56). Detailed-language estimates may not sum to aggregate estimates because of rounding.",,,,
"2 Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data at http://www2.census.gov/programs-surveys/acs/tech_docs/accuracy/MultiyearACSAccuracyofData2013.pdf). The effect of nonsampling error is not represented in these tables.",,,,
"3 N.E.C. stands for not elsewhere classified.  These are languages where respondents indicated they spoke either Indian or Pakistan.  For Indian, it cannot be determined if the respondent spoke a native American language or spoke a language from India.  For Pakistan, respondents wrote in Pakistan but it cannot be determined which one of the languages spoken in Pakistan is actually being spoken.  To distinguish these languages, n.e.c. is used to indicated they are not classified in any other language code.",,,,
"4 This category includes literal write-ins of Chinese as well as Hakka, Kan, Hsiang, Cantonese, Mandarin, Fuchow, Formosan, and Wu.",,,,
(D) Data withheld to avoid disclosure.,,,,
(B) Either no sample observations or too few sample observations were available to compute an estimate.,,,,
(X) Question does not apply.,,,,
--  Either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.,,,,
"Source: U.S. Census Bureau, 2009-2013 American Community Survey",,,,
Return to Index,,,,
,,,,
